,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Space Science,18788.0,1.0,0.842266625894138,0.8797425811519511,0.9933937819605729,0.9499083045504153,0.9522713248104532,1.0,0.8797425811519511,1.0,0.842266625894138
Materials Science,181321.0,1.0,0.7929082899341612,0.8042046739220677,0.9993405617026632,0.9604047756927409,0.9030157498807682,1.0,0.8042046739220677,1.0,0.7929082899341612
Computer Science,75740.0,1.0,0.786319644306077,0.8016935094802808,0.9990275026604308,0.9481542151399464,0.9200951931357225,1.0,0.8016935094802808,1.0,0.786319644306077
Physics,122099.0,1.0,0.7632138682721009,0.7728992691035521,0.9994765533453714,0.9424294429915229,0.8940139129299369,1.0,0.7728992691035521,1.0,0.7632138682721009
Chemistry,239288.0,1.0,0.7400139539482198,0.7464908782826779,0.9997377873855711,0.9469744119207592,0.884365488145604,1.0,0.7464908782826779,1.0,0.7400139539482198
Mathematics,56278.0,1.0,0.6702489183311424,0.6940379351149844,0.9985551454496545,0.9002371203007076,0.8865083836205285,1.0,0.6940379351149844,1.0,0.6702489183311424
Engineering,322808.0,1.0,0.6769306779183274,0.685982497111389,0.9997290100780755,0.9508572232794291,0.8189588793774756,1.0,0.685982497111389,1.0,0.6769306779183274
Economics & Business,47828.0,1.0,0.6515548396136537,0.6819871286747565,0.9980658224869745,0.884215700604932,0.8947571490595482,1.0,0.6819871286747565,1.0,0.6515548396136537
Biology & Biochemistry,103532.0,1.0,0.6623124549946049,0.6733575236092266,0.9997141049691891,0.9248459236726851,0.8617241615797618,1.0,0.6733575236092266,1.0,0.6623124549946049
Neuroscience & Behavior,80856.0,1.0,0.6332484391839842,0.6522164039842867,0.999231586198147,0.919889393584312,0.8445993860979443,1.0,0.6522164039842867,1.0,0.6332484391839842
Psychiatry/Psychology,77882.0,1.0,0.5891396556287327,0.6120737193140378,0.9988195322834509,0.8968311186780665,0.8293720472290749,1.0,0.6120737193140378,1.0,0.5891396556287327
Pharmacology & Toxicology,73536.0,1.0,0.5149251776980868,0.5336756249611921,0.9993602498713546,0.8368630746598924,0.8395449544815642,1.0,0.5336756249611921,1.0,0.5149251776980868
Multidisciplinary,5268.0,1.0,0.3974317796848509,0.5136085792113713,0.9726155087630587,0.6705356497625161,0.8694727319291171,1.0,0.5136085792113713,1.0,0.3974317796848509
Molecular Biology & Genetics,62344.0,1.0,0.47485721990326163,0.5008846651836334,0.9990419471283126,0.8701903206437159,0.7865205109453914,1.0,0.5008846651836334,1.0,0.47485721990326163
Agricultural Sciences,80315.0,1.0,0.24267620231075213,0.2665329989008508,0.9989838466718316,0.8034629950132874,0.6620824606257658,1.0,0.2665329989008508,1.0,0.24267620231075213
Geosciences,76619.0,1.0,0.1967684582799626,0.21441952861123545,0.9995442796216611,0.8278551624602835,0.5763455824930859,1.0,0.21441952861123545,1.0,0.1967684582799626
Microbiology,31872.0,1.0,0.008471952138991655,0.042456742451925315,0.998351947362917,0.6714490538382405,0.5959938807494036,1.0,0.042456742451925315,1.0,0.008471952138991655
"Social Sciences, general",172113.0,1.0,0.021646274507801887,0.03501798131312239,0.9996362880276616,0.8509712680018795,0.42172337955384614,1.0,0.03501798131312239,1.0,0.021646274507801887
Clinical Medicine,632795.0,1.0,0.028797185016416548,0.03181638119563705,0.999971438100285,0.9045229157199901,0.33584431428413314,1.0,0.03181638119563705,1.0,0.028797185016416548
Immunology,45177.0,1.0,-0.000787953305255465,0.027362204600480382,0.9986635539077267,0.8224373605755092,0.418535418770241,1.0,0.027362204600480382,1.0,-0.000787953305255465
Plant & Animal Science,103633.0,1.0,-0.1033435401661957,-0.08945866786154456,0.9996533412717754,0.7489703775200467,0.39930939947903193,1.0,-0.08945866786154456,1.0,-0.1033435401661957
Environment/Ecology,101457.0,1.0,-0.2123191611067466,-0.20192137537997976,0.9997317080407959,0.696834548231735,0.3360954283273263,1.0,-0.20192137537997976,1.0,-0.2123191611067466
