,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Neuroscience & Behavior,80856.0,1.0000000000000002,0.3110702481478677,0.5198062393448639,0.7905758915716635,0.8095020773696321,0.7022159124045773,0.9426977902665851,0.5198062393448634,0.9999999999999996,0.31107024814786804
Computer Science,75740.0,0.9999999999999997,0.17995601916316334,0.43628226438038104,0.7223442104041071,0.7700790165065593,0.6125935843398099,0.8984704402274761,0.43628226438038153,1.0,0.17995601916316345
Materials Science,181321.0,0.9999999999999996,0.25575798482692397,0.4268010072616494,0.8724921544858079,0.8471988731121816,0.5833143839755611,0.9398910700354455,0.4268010072616497,1.0000000000000002,0.25575798482692386
Chemistry,239288.0,1.0000000000000004,0.1970135059530025,0.3596198741520084,0.8707413415641605,0.8649830179074705,0.5227569663289515,0.9460664987982752,0.35961987415200836,1.000000000000001,0.19701350595300252
Biology & Biochemistry,103532.0,1.0000000000000002,0.17915208100663324,0.34523734792937577,0.7790452183575147,0.7774064883865305,0.6460939320748775,0.947602649450454,0.3452373479293757,1.0,0.17915208100663338
Economics & Business,47828.0,1.0000000000000002,0.1197829728692346,0.3327538495395537,0.6989980515407392,0.6835824757524706,0.6901024986860638,0.8670750112787334,0.3327538495395538,1.0,0.11978297286923448
Engineering,322808.0,1.0000000000000007,0.19132607328387563,0.28590993897551487,0.9337869305935281,0.866386167996473,0.4955999854356604,0.9425912911707084,0.2859099389755151,0.9999999999999989,0.1913260732838755
Psychiatry/Psychology,77882.0,0.9999999999999999,0.15215000535354659,0.2789794578776915,0.7870107973896546,0.7040151439999544,0.6551746066681887,0.8412204710579035,0.27897945787769135,0.9999999999999998,0.15215000535354667
Mathematics,56278.0,0.9999999999999996,0.05832810037785238,0.2593094446805533,0.638615889870889,0.6963219394552802,0.5924134754306015,0.8266999440743221,0.25930944468055306,1.0000000000000007,0.05832810037785241
Physics,122099.0,1.0000000000000007,0.09000964435596029,0.2335875742080403,0.76022189588568,0.7781897076651815,0.5285413829680997,0.8502895113956715,0.23358757420804033,1.0000000000000004,0.09000964435596034
Molecular Biology & Genetics,62344.0,0.9999999999999997,0.102031303628195,0.1910288540152608,0.7308590999196097,0.619626036756679,0.7035464139221825,0.8619968895519142,0.19102885401526043,1.0,0.10203130362819517
Space Science,18788.0,1.0000000000000002,0.06778443498631773,0.18729991942243435,0.6525495131341541,0.48616625225350485,0.7519140482507591,0.4024655902397779,0.1872999194224343,1.0000000000000002,0.06778443498631773
Pharmacology & Toxicology,73536.0,1.0000000000000004,0.032338569171668274,0.10773128904020618,0.7082094623160526,0.5979309867083982,0.6299818479351585,0.7226181138548465,0.10773128904020608,0.9999999999999999,0.03233856917166834
Multidisciplinary,5268.0,1.0000000000000002,-0.06095874477093236,0.09866324508117946,0.35184446426094157,0.33847612317168296,0.7650709644963226,0.7330094262657392,0.0986632450811795,1.0000000000000004,-0.06095874477093231
Clinical Medicine,632795.0,1.0000000000000002,0.03593677498579729,0.046093096851433056,0.9688315573229052,0.822137325063477,0.4590635430443604,0.9015447139240178,0.04609309685143297,0.9999999999999999,0.03593677498579735
"Social Sciences, general",172113.0,0.9999999999999998,-0.019904115099852914,-0.0046944216913266,0.8736064376346128,0.7500795217965174,0.5070729713030943,0.8920935085369944,-0.004694421691326615,1.0000000000000002,-0.019904115099852838
Agricultural Sciences,80315.0,1.0000000000000002,-0.02281006205658213,-0.009165217175872447,0.6903348378634333,0.6652296886999733,0.5174306667867216,0.7770932616301534,-0.009165217175872466,1.0000000000000002,-0.022810062056582155
Geosciences,76619.0,1.0000000000000002,-0.02463199792610382,-0.060259069199953504,0.7216378703725936,0.6516173458674064,0.5594439613146361,0.7768441177827954,-0.06025906919995353,1.0000000000000004,-0.024631997926103818
Immunology,45177.0,1.0000000000000002,-0.07909171651719961,-0.1309779628993015,0.6868143854923456,0.7167010645795924,0.4119925326668737,0.5414880526647748,-0.13097796289930147,0.9999999999999999,-0.07909171651719966
Plant & Animal Science,103633.0,1.0,-0.1193129458114401,-0.15786479281120597,0.7321680085215845,0.7426791608747014,0.4167633058800158,0.7792124293215019,-0.15786479281120602,1.0000000000000004,-0.11931294581144002
Microbiology,31872.0,1.000000000000001,-0.08895002389180433,-0.15926129030769598,0.5943084691836367,0.5301342204364965,0.6234995056357935,0.690023481900461,-0.15926129030769587,0.9999999999999997,-0.08895002389180429
Environment/Ecology,101457.0,0.9999999999999999,-0.13416795330315268,-0.2563706075546297,0.7326687280547318,0.7247645039111619,0.4151578294071095,0.7766670400375523,-0.25637060755462976,1.000000000000001,-0.13416795330315262
