,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
CHINA MAINLAND,878110.0,0.5464750931172896,0.9999999999999999,0.9867159586026847,0.6477158447957003,0.8247479755022363,0.9110911938808375,0.9814215308366382,0.6477158447957005,0.5464750931172891,0.5464750931172895
USA,590332.0,0.26917625379201354,1.0,0.9854737347918184,0.3196469430993181,0.7846599305849425,0.7848997589282486,0.9789121122259893,0.319646943099318,0.2691762537920136,0.2691762537920138
UNITED KINGDOM,183810.0,0.08116536882554425,1.0000000000000002,0.8715522180784893,0.28774110866422214,0.8215501991566285,0.5908635969385719,0.9445699700537166,0.28774110866422214,0.08116536882554429,0.08116536882554425
ENGLAND,162658.0,0.0916427489867293,1.0000000000000002,0.8563926116179179,0.3232837203205509,0.8300464428011333,0.5847728013026103,0.9437514788431762,0.3232837203205509,0.09164274898672925,0.09164274898672922
GERMANY (FED REP GER),151436.0,-0.072416867970753,1.0000000000000002,0.8215312585089335,0.16895233228340026,0.7855686850229194,0.49893844050920294,0.912612782029017,0.16895233228340026,-0.07241686797075295,-0.07241686797075296
INDIA,144760.0,0.38585056936117323,1.0,0.8912818913774776,0.6256058032049413,0.9044681827958508,0.7139317837959176,0.9832365241934066,0.6256058032049412,0.38585056936117323,0.38585056936117307
ITALY,118074.0,0.05667743000181547,0.9999999999999998,0.8853663349618417,0.2673452319515813,0.8793158091371984,0.4569656898945308,0.9241644288873622,0.2673452319515812,0.05667743000181555,0.05667743000181552
JAPAN,102077.0,0.2532254321331198,1.0,0.8457851474856504,0.4853615152386666,0.9058217101342857,0.5576099786235402,0.9521910269848274,0.48536151523866655,0.2532254321331197,0.25322543213311977
CANADA,101035.0,0.1335544781059089,0.9999999999999998,0.7805592914498747,0.46657534345570717,0.9010344785618782,0.47152978138307955,0.9701522212207284,0.46657534345570745,0.13355447810590879,0.13355447810590876
AUSTRALIA,94420.0,0.1848681950899587,1.0,0.753594240457879,0.5711063273612103,0.887829681478103,0.5511416274563858,0.9740522677994636,0.5711063273612103,0.18486819508995864,0.1848681950899587
FRANCE,94156.0,-0.07127986840588307,1.0,0.6812768672279034,0.39605662252912543,0.8131758958449046,0.45897398995902045,0.9119563504641577,0.39605662252912543,-0.07127986840588305,-0.07127986840588307
SPAIN,92558.0,-0.06944111809958932,1.0000000000000002,0.7690043308581264,0.246945944773188,0.8705992328801807,0.3427793824312012,0.9293374782354518,0.246945944773188,-0.06944111809958933,-0.06944111809958933
SOUTH KOREA,86444.0,0.4781348712585508,0.9999999999999999,0.8380556816479795,0.7355328552438937,0.9593499755301197,0.6411684518272833,0.9839414515286684,0.7355328552438938,0.4781348712585508,0.47813487125855086
BRAZIL,63318.0,0.22407224181221266,0.9999999999999997,0.5825421576397699,0.8215717399935771,0.8858080642116729,0.5931794378288622,0.9609828985606241,0.8215717399935774,0.2240722418122127,0.22407224181221266
NETHERLANDS,60126.0,0.12803232143481938,1.0000000000000002,0.6539996985200792,0.6336886838445168,0.8847536112378754,0.5094562267419676,0.9186243810891549,0.6336886838445169,0.12803232143481927,0.12803232143481927
TURKIYE,57350.0,0.4505732525299491,0.9999999999999997,0.7659700074895799,0.824120587574329,0.9269860686634307,0.6715903159882025,0.9883199776826471,0.8241205875743288,0.4505732525299494,0.45057325252994923
SAUDI ARABIA,52872.0,0.45781356753836244,0.9999999999999998,0.7914766640654328,0.7992985237675034,0.9221569315013505,0.7156915451816911,0.96233114077785,0.7992985237675033,0.45781356753836233,0.4578135675383624
SWITZERLAND,47906.0,0.0804703603156544,1.0,0.5854619184668943,0.6366277812231542,0.9043575187908063,0.4097043758358431,0.9255398829050715,0.636627781223154,0.08047036031565438,0.08047036031565437
IRAN,45880.0,0.2841077825218852,1.0000000000000002,0.7271639742074413,0.6665613975812791,0.9405522163040319,0.5019114271716704,0.9818274701746631,0.6665613975812793,0.2841077825218852,0.2841077825218851
POLAND,43623.0,0.1820748205037145,0.9999999999999998,0.6723525931462832,0.6292157571707339,0.9405271102475731,0.429468473317253,0.9797264807616105,0.6292157571707341,0.18207482050371457,0.18207482050371462
RUSSIA,41524.0,0.5807386912368936,1.0,0.830886242393353,0.8913609244396381,0.9171371337034688,0.8017850080407626,0.9374041142146592,0.891360924439638,0.5807386912368935,0.5807386912368937
SWEDEN,40217.0,0.043396465953349304,1.0,0.5574699052950887,0.6099594304734539,0.9229988432104387,0.312631254375937,0.9356936669945161,0.6099594304734539,0.04339646595334921,0.043396465953349235
TAIWAN,35278.0,0.1690531520981142,1.0,0.6727988021177381,0.6367148276984417,0.9380383678322912,0.3835117860928927,0.9690453294672291,0.6367148276984418,0.16905315209811414,0.16905315209811414
BELGIUM,34138.0,0.052359931743201714,1.0,0.552950976340842,0.6606220236135499,0.9392792108702015,0.27179508560526533,0.9350008045247094,0.66062202361355,0.05235993174320172,0.05235993174320164
HONG KONG,32769.0,0.4883652423606031,1.0000000000000002,0.6962810521287122,0.9315344025464758,0.9404650843902466,0.7046362069093803,0.956340519894767,0.9315344025464758,0.48836524236060297,0.48836524236060314
DENMARK,29481.0,0.10368467533213918,1.0,0.5142877084390707,0.7433019443934087,0.9276611386621123,0.3493593328242792,0.9219664757228471,0.7433019443934088,0.10368467533213926,0.10368467533213925
PAKISTAN,29352.0,0.31752285822322474,0.9999999999999999,0.6417561328449652,0.7721251793394627,0.9401859126855961,0.5643107559392859,0.986262938878997,0.7721251793394628,0.31752285822322457,0.3175228582232246
EGYPT,28212.0,0.3490606385607294,1.0000000000000002,0.6246650173266317,0.8406980184913929,0.9296662980129001,0.6178110325842131,0.9631343703044857,0.840698018491393,0.3490606385607295,0.34906063856072933
AUSTRIA,26360.0,-0.031767026676243156,0.9999999999999998,0.4321926964756391,0.6188503887606808,0.9526883130847009,0.11322334741238692,0.9433151290925909,0.6188503887606807,-0.031767026676243294,-0.03176702667624323
PORTUGAL,25324.0,-0.03653075144726293,0.9999999999999998,0.41607979628891806,0.6791993853663607,0.9392106247465446,0.1485034552556124,0.987741960079516,0.6791993853663608,-0.03653075144726308,-0.0365307514472631
SCOTLAND,23471.0,0.02210553450662023,0.9999999999999999,0.361384370021136,0.803536603386577,0.9283509710955125,0.2933403745480724,0.8900214733594436,0.8035366033865771,0.022105534506620304,0.0221055345066203
SINGAPORE,22573.0,0.4304672665024999,0.9999999999999998,0.5897345120025252,0.9470475485464858,0.9279696988765282,0.6592429934475172,0.8996792378024372,0.9470475485464859,0.43046726650249967,0.43046726650249967
MEXICO,22124.0,0.11440151333466751,1.0,0.38359783063395203,0.883263142530698,0.9121047896078514,0.436570179316557,0.9543416181859754,0.8832631425306979,0.11440151333466753,0.11440151333466747
NORWAY,22067.0,0.2669692057181768,0.9999999999999998,0.5016995997895389,0.8853008536637585,0.9352626952556823,0.5221588845799053,0.9702166076774192,0.8853008536637583,0.26696920571817684,0.2669692057181768
ISRAEL,20854.0,0.17630710044769035,1.0,0.42949229373931685,0.8780821137931892,0.9218435683113201,0.4504237528154344,0.9442359439395442,0.8780821137931891,0.17630710044769035,0.17630710044769046
SOUTH AFRICA,20572.0,0.06284523030263263,1.0000000000000002,0.388764858735512,0.8253365601417325,0.9122469875780763,0.41105893584611003,0.9369789748556436,0.8253365601417324,0.06284523030263263,0.0628452303026326
MALAYSIA,19283.0,0.3023629375730469,1.0,0.6039034629989181,0.7858054694887426,0.9463910070169199,0.49956188337616736,0.975223659771791,0.7858054694887432,0.3023629375730466,0.3023629375730466
CZECH REPUBLIC,19073.0,-0.14173330309254825,1.0,0.23498475343363284,0.7652897269620752,0.940436716372154,0.11287796270235298,0.9514565633638798,0.7652897269620751,-0.14173330309254803,-0.14173330309254825
FINLAND,19035.0,-0.0071649018849400765,1.0000000000000002,0.2901793370012893,0.8408076941836556,0.9292936503231334,0.24930406185949344,0.9488574029632938,0.8408076941836554,-0.007164901884939961,-0.007164901884939912
GREECE,18668.0,0.17777597729473632,1.0000000000000002,0.5436285428917433,0.8064838835425528,0.9521696755433068,0.29892030225891736,0.9397332498998976,0.8064838835425527,0.1777759772947363,0.1777759772947362
IRELAND,17218.0,0.26521175009177983,0.9999999999999998,0.5323740971761841,0.87831518255222,0.9500016594509368,0.427655448523475,0.9665282054610894,0.87831518255222,0.2652117500917799,0.26521175009177983
THAILAND,16680.0,0.07694460120898812,1.0,0.3748142694955163,0.7634925888395905,0.938343560713571,0.29880175758597477,0.9736756603062415,0.7634925888395907,0.07694460120898802,0.07694460120898805
CHILE,14377.0,0.2627506342364221,0.9999999999999998,0.3218806325978433,0.9914220941924247,0.8789861212402542,0.6277234808354275,0.7793785383319398,0.9914220941924246,0.262750634236422,0.2627506342364221
ROMANIA,13475.0,0.1960651796857207,1.0000000000000002,0.34113801744548305,0.9633937672390263,0.9287795115521054,0.44696592251456413,0.9494949317014256,0.9633937672390265,0.19606517968572076,0.19606517968572085
NEW ZEALAND,12800.0,0.2866666579389917,1.0000000000000002,0.42844950808981747,0.9506740694093154,0.9341160762156314,0.5343746054199014,0.9770727881344851,0.9506740694093154,0.28666665793899165,0.28666665793899165
ARGENTINA,12066.0,0.26554594797228287,1.0000000000000002,0.40755296633600924,0.9561715642454158,0.9247503575021817,0.5254657079010381,0.92935424896105,0.9561715642454156,0.265545947972283,0.26554594797228304
UNITED ARAB EMIRATES,11911.0,0.2907934854502474,1.0000000000000004,0.4819840865719958,0.9135921606688735,0.9592174142664187,0.44534609218216054,0.9649884875353463,0.9135921606688733,0.2907934854502476,0.29079348545024747
HUNGARY,11848.0,-0.15619920865866807,1.0000000000000002,0.08542309374671318,0.8339429162543472,0.9474551582931235,0.017691098963141864,0.9388427291954491,0.8339429162543474,-0.15619920865866807,-0.15619920865866804
INDONESIA,11211.0,0.3061590528193894,1.0000000000000002,0.5158622853300471,0.8629295796597554,0.9483064756754385,0.5002514862798733,0.9655253876979893,0.8629295796597551,0.3061590528193895,0.30615905281938943
VIETNAM,10623.0,0.3197727457732307,1.0,0.44639773211414147,0.9723719152831415,0.9382491406995022,0.5579705641814133,0.9425976996430505,0.9723719152831417,0.31977274577323067,0.3197727457732308
