,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Neuroscience,124363.0,1.0000000000000007,0.2804765275201126,0.4715162239597205,0.7933482235544593,0.7371963261735597,0.7662888803502728,0.9332699843737532,0.4715162239597203,0.9999999999999996,0.28047652752011265
Materials Science,255732.0,1.0000000000000004,0.19574587923058656,0.3152588224735941,0.8798775660387822,0.7764485769623924,0.6272705337811344,0.857095344586603,0.31525882247359427,1.0,0.19574587923058684
"Biochemistry, Genetics and Molecular Biology",411842.0,1.0000000000000013,0.2278420847106789,0.30243438904903336,0.9305526131105033,0.7661616331230141,0.7058239717245615,0.9414589872305299,0.3024343890490333,1.0000000000000009,0.22784208471067902
Engineering,1158243.0,0.9999999999999994,0.2359522218226341,0.27373198742443955,0.986381861109683,0.8779061878440452,0.5164889432065072,0.8776254601567883,0.2737319874244396,1.0000000000000009,0.23595222182263398
Chemical Engineering,25328.0,1.0000000000000002,0.1533790383770188,0.2660390680356732,0.5963074754078688,0.401959093084011,0.8401655938669397,0.881920529871948,0.2660390680356735,0.9999999999999999,0.1533790383770188
Physics and Astronomy,207519.0,1.0000000000000007,0.14593113604266017,0.25564422103531353,0.8373615610683398,0.7407809325748418,0.6479773730188088,0.7960155791215745,0.25564422103531365,1.0,0.14593113604266025
Dentistry,36377.0,1.0000000000000002,0.05069601184191517,0.22555236680887808,0.7249467583556716,0.5644898648393788,0.7626679363874012,0.7194587092571507,0.22555236680887827,0.9999999999999993,0.05069601184191513
"Business, Management and Accounting",291442.0,0.9999999999999998,0.1443600567798819,0.21598670852411514,0.927086644974456,0.8094263186791709,0.5807602412862319,0.9191762440467962,0.21598670852411497,0.9999999999999996,0.14436005677988165
Computer Science,666875.0,0.9999999999999999,0.14624281035538378,0.19356271566101052,0.9567170102264112,0.8352945854834688,0.5552801630253291,0.9243254297664139,0.19356271566101071,0.9999999999999998,0.14624281035538367
Energy,80214.0,0.9999999999999981,0.10148497725992318,0.1927259937810447,0.7294099025060669,0.5646119893263151,0.7368173742544345,0.8527637322699473,0.19272599378104477,1.0000000000000004,0.10148497725992323
Psychology,258734.0,1.0,0.07821275908856926,0.17079192431504395,0.8595798430365137,0.6809333812713699,0.6797585912671006,0.9526755038376038,0.17079192431504397,1.0,0.07821275908856916
Chemistry,117421.0,1.0000000000000002,0.08526305893861848,0.15080695421638599,0.7781568818879008,0.5757736709683446,0.7137548715187875,0.63874483387047,0.15080695421638615,1.0000000000000002,0.08526305893861837
Mathematics,111984.0,0.9999999999999997,-0.004944543956611613,0.1351141145940229,0.7465582810522483,0.6285016745982318,0.6821559274983873,0.9080361455468536,0.13511411459402298,1.0000000000000004,-0.004944543956611692
Social Sciences,1196740.0,0.9999999999999993,0.06094371555127924,0.08905539800918569,0.9779905060322103,0.9181427566006811,0.3648189670255495,0.9517705010644869,0.08905539800918572,0.9999999999999998,0.06094371555127919
Arts and Humanities,344642.0,1.0000000000000002,0.04251495007611605,0.07231926553114609,0.9207115027191277,0.809443974675214,0.4781860328997207,0.7488576212218443,0.0723192655311461,1.0000000000000002,0.042514950076116005
Decision Sciences,89618.0,0.9999999999999996,-0.014114556952672493,0.06343030698093084,0.7289455258208919,0.498003156844602,0.7513011459125627,0.8433126199590102,0.06343030698093084,0.9999999999999994,-0.014114556952672493
"Pharmacology, Toxicology and Pharmaceutics",26690.0,0.9999999999999998,-0.00466561344780504,0.0372767837440811,0.5717805281984705,0.3462374826724779,0.8261312822409629,0.7374362129570792,0.03727678374408099,1.0,-0.004665613447805014
Veterinary,10523.0,1.0000000000000002,-0.054576516237485384,0.033426692144624244,0.4850630118131551,0.27213936733204747,0.8479948597833722,0.6166398083332033,0.033426692144624355,1.0,-0.05457651623748543
Earth and Planetary Sciences,174452.0,1.0000000000000004,0.03450260356960935,0.0005656496268694869,0.9072709470547026,0.7442535605213466,0.5561501994783467,0.7250399008396199,0.0005656496268694871,1.0000000000000002,0.034502603569609346
Medicine,1553060.0,1.0,-0.03385379747865508,-0.04094510086762975,0.9863994629530036,0.8804062370257077,0.3446938127815494,0.8990553449556647,-0.040945100867629786,0.9999999999999994,-0.03385379747865502
"Economics, Econometrics and Finance",204509.0,0.9999999999999994,-0.07912131209657979,-0.06605430064848819,0.8218762124704794,0.7107042331339843,0.485293705471244,0.695515453361897,-0.06605430064848823,1.0,-0.0791213120965797
Nursing,42065.0,0.9999999999999999,-0.11115455240106134,-0.08790578448897465,0.5609543134987675,0.5268372484165279,0.6748276620329483,0.7798761602598637,-0.08790578448897476,1.0000000000000002,-0.11115455240106138
Agricultural and Biological Sciences,385587.0,0.9999999999999989,-0.09314352795174205,-0.09165044677438437,0.9034162422136088,0.8128144407683858,0.40583098940921314,0.8765078066251362,-0.09165044677438446,1.0000000000000002,-0.093143527951742
Health Professions,226174.0,1.0,-0.07582982490860868,-0.09847655090955586,0.858834701245378,0.680346543019168,0.5786734867395399,0.8454408571227844,-0.09847655090955583,0.9999999999999998,-0.07582982490860869
Immunology and Microbiology,73874.0,0.9999999999999996,-0.05909272776378726,-0.13337145737952422,0.7058751085364576,0.6224104651466364,0.6236387297286266,0.5989364818810438,-0.13337145737952422,1.0,-0.05909272776378724
Environmental Science,427551.0,1.0000000000000002,-0.11402755201421008,-0.17304650901326346,0.9122860799779561,0.8717922822343984,0.28593276193510114,0.8440627230993508,-0.17304650901326346,1.0,-0.11402755201421004
