,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
CN,1022098.0,0.3805995421811032,1.0000000000000002,0.9706128544885194,0.49269929811789925,0.7898449528215683,0.833887045108555,0.9500054553443701,0.49269929811789936,0.3805995421811035,0.38059954218110337
JE,31.0,0.9603927281818123,0.9999999999999997,0.9604040010626639,0.9999999991086154,0.9834293850968143,0.9687587971811211,0.8330230595951619,0.9999999991086156,0.9603927281818122,0.9603927281818121
US,938407.0,0.3180061326084295,1.0000000000000002,0.9519476279958147,0.5056196110560691,0.805962262531972,0.7765739866226103,0.9424025440193171,0.5056196110560692,0.3180061326084295,0.3180061326084295
PW,47.0,0.8758613770415551,1.0000000000000002,0.875922751017099,0.9999999874256942,0.9784610380973837,0.8533662639121183,0.866351327003046,0.9999999874256941,0.8758613770415554,0.8758613770415554
IN,334115.0,0.09860607618511316,1.0,0.8700566210824056,0.3020999337882881,0.857105531920586,0.5494412408990441,0.9126768353364065,0.30209993378828787,0.09860607618511329,0.09860607618511325
ID,207003.0,0.6800034214318651,0.9999999999999999,0.860654718776023,0.9348560578963544,0.9037873179242392,0.8602763336529897,0.9068893722575779,0.9348560578963547,0.6800034214318648,0.680003421431865
VI,78.0,0.8490881665797384,1.0000000000000004,0.8491896984176894,0.9999999680853101,0.9697227894151396,0.7708607188213918,0.8025873976356325,0.9999999680853096,0.8490881665797385,0.8490881665797385
GB,272512.0,0.18429396606309043,1.0,0.8448501248762634,0.3788328595682958,0.9208360983880802,0.42043764671049355,0.9878509645311476,0.37883285956829543,0.1842939660630905,0.18429396606309045
PF,195.0,0.8279177221305686,1.0000000000000002,0.8281394392043303,0.9999998148621957,0.9785043505001402,0.7649141698869922,0.7877061227244697,0.9999998148621959,0.8279177221305686,0.8279177221305686
SJ,32.0,0.8161855275959436,1.0000000000000002,0.8163022116318774,0.9999999700327232,0.9898549694174273,0.7633348322076862,0.7043649011840035,0.999999970032723,0.8161855275959438,0.8161855275959438
IT,157450.0,0.3354973511424017,1.0,0.8117166621739866,0.5714046750169713,0.941364580374517,0.48372585771910176,0.9757288513131801,0.5714046750169713,0.33549735114240153,0.33549735114240165
SC,95.0,0.8108629246791574,0.9999999999999999,0.8114831541874438,0.9999988692451341,0.9701843166577391,0.7170923762976826,0.7798936296447571,0.9999988692451341,0.8108629246791571,0.8108629246791572
BM,57.0,0.8035083397752943,0.9999999999999999,0.8036603228872885,0.9999999304768127,0.9796393237928588,0.7999760277731515,0.908279050495953,0.9999999304768126,0.803508339775294,0.8035083397752941
JP,157432.0,0.3743038272779275,1.0000000000000007,0.7980334421299179,0.6990515476569532,0.9116797397344325,0.6384731128835814,0.9631252688990232,0.6990515476569534,0.3743038272779274,0.37430382727792744
MQ,286.0,0.7934130987512815,1.0000000000000002,0.7941775727987742,0.9999973723672758,0.9541420421262174,0.8587002635249176,0.9156758445402325,0.9999973723672753,0.7934130987512816,0.7934130987512816
GL,214.0,0.7842257284835289,1.0000000000000002,0.7844958827537202,0.9999998338578447,0.968125733922699,0.7614674341855749,0.8359027154971665,0.9999998338578446,0.7842257284835291,0.784225728483529
KR,104892.0,0.2874103950876085,0.9999999999999999,0.7622673162510246,0.6362294050508693,0.9394236380204968,0.505934619062269,0.9576259010298542,0.6362294050508698,0.28741039508760813,0.2874103950876082
VA,54.0,0.7597908240446729,1.0,0.759825473892599,0.9999999975784993,0.9913609791781837,0.7556930610093433,0.8781728898980921,0.9999999975784994,0.7597908240446729,0.7597908240446729
