,Documents,Share
1980,,
1981,,
1982,,
1983,1,7.300735549106573e-07
1984,,
1985,1,6.754164617903399e-07
1986,,
1987,,
1988,,
1989,1,5.467244372155324e-07
1990,2,1.0051205868296034e-06
1991,2,1.0038094568888933e-06
1992,,
1993,2,9.203226098876701e-07
1994,,
1995,,
1996,1,3.7979909387532183e-07
1997,3,1.0993940140194725e-06
1998,3,1.0317944005205746e-06
1999,1,3.3229712014700825e-07
2000,,
2001,3,8.204324882514068e-07
2002,5,1.1728964278500972e-06
2003,4,8.84624996406211e-07
2004,7,1.4245176583208925e-06
2005,11,2.0946571769810125e-06
2006,9,1.5715407245571048e-06
2007,10,1.597679147363374e-06
2008,5,7.515164851153142e-07
2009,8,1.1095714266494924e-06
2010,10,1.2972933142562026e-06
2011,11,1.3131299143887045e-06
2012,19,2.1999759623679057e-06
2013,24,2.6396655279809496e-06
2014,35,3.6408930965130022e-06
2015,19,1.9358502035037054e-06
2016,26,2.5668823407281593e-06
2017,24,2.4062130828011006e-06
2018,29,2.9015322992072114e-06
2019,44,4.277492611603671e-06
2020,49,4.454342579487971e-06
2021,45,4.464820341086477e-06
2022,55,5.702447137796629e-06
2023,56,5.552805594689614e-06
2024,39,4.1355848305475925e-06
