,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3,1,,,1,,,,1,,,,,,,,,,,,1,,,,,
1981,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
1982,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,1,,,,,,,,
1984,,3,,,,,,,,,,,,,,,,,,,,,,,,
1985,,1,2,,,,,,,1,,,,,,,,,,,,,,,,
1986,2,1,1,,,1,,,,,,,,,,,,1,,,,,,,,
1987,1,5,1,,,,,,,1,,,,,,,,,,,,,,,,
1988,,4,1,,,1,,,,,,,,,,,,1,,,,,,,,
1989,,2,1,,1,,,,,1,,,,,,,,,,,,,,,,
1990,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,5,,,,,,,1,1,,,,,,,,,,,,,,,,
1993,1,4,,1,,,,,,,1,,,,,,,,,,1,,,,,
1994,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
1995,,2,,,,,,,,,,,,,,,,,,,,,,,,
1996,1,3,,,,,1,,,4,,,,,,,,,,,,,,,,
1997,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,
1998,,2,,,,1,1,,,,,,,,,,,,,,,,,,,
1999,,1,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,15,2,2,1,1,,,,1,,,1,,1,,,,,,,,,,,
2001,1,1,1,,,1,,,,1,,,1,,,,,,,,,,,,,
2002,,7,,1,,,,,,2,1,,,,,,,,,,,,,,,
2003,2,4,,,1,,,,,3,2,,,,1,,,,,,1,,,,,
2004,2,9,2,,1,1,,2,,1,,,2,,,,,,,,,,,,,
2005,6,7,2,,,,1,,,1,,,,1,,,,1,,,,,,1,,
2006,,3,3,,,,,,,2,,,,,1,,,,,,,,,,,
2007,9,6,,1,,,1,2,,3,,,1,,,,,,,,,,,,,
2008,12,5,,1,,,1,,,2,,,4,1,,,,1,,,,,,,,
2009,10,12,3,1,,1,,2,,4,1,1,2,5,1,,,,,,,1,,,,
2010,19,9,6,4,,1,4,,,6,,2,2,3,1,,,,,,1,2,,1,,
2011,23,16,3,1,5,2,3,4,1,1,,2,2,5,,,,,,,,,,2,,
2012,22,14,9,2,1,,2,2,3,7,3,4,1,8,1,1,1,3,,4,,2,,1,,1
2013,28,19,7,8,5,5,4,2,,1,1,4,5,7,,,,3,,3,1,,,,,
2014,31,21,10,7,2,5,5,1,2,3,1,6,9,6,,,,3,1,1,4,1,,1,,1
2015,41,18,7,4,3,3,3,,1,4,1,1,6,8,1,,1,,,2,2,2,,,,1
2016,53,24,17,26,18,11,6,3,7,3,7,3,7,3,1,2,,5,,1,4,,,2,,
2017,41,33,17,23,7,11,11,4,1,7,2,2,9,4,,3,2,2,2,1,6,5,,2,,
2018,71,61,27,33,12,4,13,15,3,12,5,1,18,17,8,3,4,3,2,1,4,2,,,,
2019,85,103,44,32,14,11,21,12,4,9,20,1,20,25,1,2,1,8,3,3,4,6,2,5,,2
2020,166,154,67,53,42,16,44,21,6,16,23,,39,21,7,2,4,6,5,10,7,8,4,3,4,
2021,269,197,81,62,54,26,43,48,8,28,27,1,31,39,12,5,3,6,5,20,14,8,7,5,,3
2022,256,198,55,84,55,18,67,60,14,34,33,9,37,38,19,10,7,17,4,35,13,14,7,1,1,3
2023,262,289,98,83,55,32,85,61,7,36,45,6,34,69,18,8,4,15,17,22,13,20,14,2,,1
2024,261,208,84,113,72,36,66,51,16,28,39,20,40,37,12,5,9,16,20,36,13,21,11,5,2,6
