,Documents,Share
1980,7,5.401801423606181e-06
1981,6,4.666257591417819e-06
1982,4,3.0298737981816213e-06
1983,2,1.4601471098213146e-06
1984,3,2.106716422626977e-06
1985,4,2.7016658471613596e-06
1986,6,3.847105758219662e-06
1987,8,4.8661800486618e-06
1988,8,4.656582836534152e-06
1989,5,2.733622186077662e-06
1990,5,2.5128014670740085e-06
1991,,
1992,7,3.368938197310047e-06
1993,8,3.6812904395506802e-06
1994,3,1.3102021510898916e-06
1995,2,8.233600417608213e-07
1996,9,3.4181918448778965e-06
1997,7,2.5652526993787693e-06
1998,4,1.3757258673607663e-06
1999,1,3.3229712014700825e-07
2000,33,9.037265575384899e-06
2001,6,1.6408649765028136e-06
2002,11,2.580372141270214e-06
2003,15,3.3173437365232913e-06
2004,23,4.680558020197218e-06
2005,20,3.808467594510932e-06
2006,10,1.7461563606190055e-06
2007,23,3.6746620389357604e-06
2008,28,4.208492316645759e-06
2009,46,6.380035703234581e-06
2010,63,8.172947879814077e-06
2011,78,9.311284847483541e-06
2012,104,1.2041973688750643e-05
2013,106,1.1658522748582527e-05
2014,127,1.3211240664490036e-05
2015,115,1.1716988073838217e-05
2016,206,2.0337606238076956e-05
2017,196,1.965074017620899e-05
2018,325,3.2517172318701504e-05
2019,443,4.3066573339555144e-05
2020,736,6.690604364292135e-05
2021,1011,0.00010030963032974286
2022,1109,0.0001149820704693902
2023,1306,0.00012949935904758278
2024,1243,0.00013180851139411943
