,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,5,,1,1,5,2,2,1,2,,,,,,2,1,1,1,,,,,,,,
1981,3,2,4,4,3,2,1,,,,,,,,,,1,,,,1,,,2,,
1982,4,,2,2,6,5,1,1,,,,1,,,1,,7,,,,1,,,,,1
1983,2,1,2,1,4,1,,,,,,,,,4,,2,,,,2,,,,,
1984,7,,5,1,4,3,,,,,,1,,,,,3,,,,1,,,,,
1985,3,,6,3,6,3,,1,1,,,,,,,,,1,,,1,,,,,
1986,2,,4,3,8,3,,,2,1,,,1,,,1,4,,,,1,,,,1,
1987,6,,6,3,2,1,,,1,1,,,,,,,1,,,,1,,,,,
1988,7,1,6,2,1,3,,,,1,,,,,1,,2,,,,4,,,,,
1989,2,1,3,6,1,3,,,,,,,,,1,,1,,,,3,,,1,,
1990,4,,7,1,4,5,1,,1,,,,,,3,,,1,2,1,3,,,,,
1991,2,2,4,5,3,4,,,1,1,4,1,,,1,,1,1,,,,,,,,
1992,7,2,2,7,4,8,,,,,,2,,,2,,3,,1,,,,,1,,
1993,10,3,2,2,4,5,1,1,,1,1,,1,,7,1,1,,,1,3,1,,1,,
1994,2,2,11,5,5,5,,1,1,,2,3,,,2,,2,,,,2,,,,,
1995,3,3,3,5,2,2,,,1,,1,5,1,,5,,5,,,,2,,,,,
1996,3,3,9,8,10,4,,,2,2,,3,2,,5,,1,,2,,1,1,,,1,2
1997,7,3,3,5,2,4,,,3,,,2,,1,2,,3,1,,,2,,,,1,
1998,7,9,5,8,9,8,1,,2,,4,4,,1,9,,1,,,2,,,,,,
1999,4,2,6,3,12,9,1,,1,1,1,3,1,,5,,2,,,1,1,,,,,
2000,6,3,8,7,9,6,1,,2,2,2,,,1,5,,1,1,,1,,,,,1,
2001,11,4,7,5,9,3,2,,5,,2,,3,,9,,2,1,,,,,,,,
2002,10,7,6,7,7,1,2,2,4,2,3,1,,1,6,,,2,,,,2,,,1,
2003,16,8,10,2,10,3,2,4,3,4,,,1,2,4,1,1,7,,,,,1,,1,
2004,20,4,7,5,13,5,1,2,,6,1,1,2,2,8,,,2,,1,,,,,,
2005,19,7,13,11,9,4,4,,5,1,3,1,3,2,4,,1,4,,1,1,1,,,2,
2006,25,10,8,11,15,9,3,2,2,3,3,1,7,,10,,,4,1,,,1,,,1,
2007,29,7,8,11,22,5,6,,2,2,3,5,1,,9,2,3,1,1,2,,1,,1,1,
2008,30,29,10,10,12,6,19,2,4,3,13,4,6,4,12,1,2,2,1,3,1,,,1,,
2009,36,11,11,17,19,13,10,1,3,2,5,5,5,4,10,1,7,5,2,1,,1,,1,2,
2010,85,44,17,44,26,24,37,5,12,7,6,11,14,5,12,1,3,4,1,4,,2,,2,1,2
2011,87,49,22,29,33,23,47,11,3,5,19,2,21,14,14,8,2,6,2,5,,3,,2,,1
2012,85,87,27,48,13,20,42,12,14,10,19,3,26,33,13,2,3,5,1,7,4,7,,1,,2
2013,142,250,50,75,42,23,81,31,12,27,76,9,86,89,10,8,11,8,7,19,1,17,,3,,
2014,167,309,43,70,50,19,116,41,19,28,86,9,88,67,20,6,16,8,4,19,1,23,6,1,2,3
2015,214,283,58,81,54,23,113,52,4,48,78,5,122,103,32,11,11,16,7,16,5,13,4,5,,2
2016,203,217,56,54,44,34,74,35,11,38,56,13,91,68,13,5,17,13,4,9,,5,4,2,,2
2017,149,152,57,72,36,28,84,32,11,29,56,6,47,56,24,6,10,15,3,22,1,15,14,1,2,3
2018,178,177,71,74,61,38,106,35,15,27,47,9,78,65,13,6,13,10,3,38,3,17,20,,2,3
2019,190,159,46,66,71,35,72,24,12,36,62,14,46,62,18,4,11,6,6,28,9,12,23,2,2,3
2020,259,180,63,100,77,33,69,47,23,45,61,10,75,80,16,10,8,10,9,53,3,17,30,,1,2
2021,314,327,79,129,83,51,95,62,26,51,62,10,99,76,41,13,10,10,5,52,2,20,35,2,2,5
2022,363,232,79,99,119,45,119,54,27,47,84,11,106,76,38,10,8,19,10,60,6,28,43,,1,2
2023,391,387,84,110,147,53,114,72,12,66,77,7,100,106,27,14,7,15,13,40,7,22,30,7,3,2
2024,310,259,78,114,110,47,104,54,11,68,71,11,75,86,41,9,6,21,8,31,9,29,24,,4,2
