,Documents,Share
1980,2,1.5433718353160516e-06
1981,,
1982,1,7.574684495454053e-07
1983,1,7.300735549106573e-07
1984,2,1.4044776150846513e-06
1985,1,6.754164617903399e-07
1986,2,1.2823685860732207e-06
1987,3,1.8248175182481753e-06
1988,6,3.492437127400614e-06
1989,3,1.6401733116465973e-06
1990,3,1.507680880244405e-06
1991,4,2.0076189137777867e-06
1992,4,1.925107541320027e-06
1993,8,3.6812904395506802e-06
1994,6,2.6204043021797832e-06
1995,10,4.116800208804106e-06
1996,11,4.17779003262854e-06
1997,8,2.931717370718593e-06
1998,17,5.8468349362832565e-06
1999,14,4.652159682058115e-06
2000,17,4.65556105398616e-06
2001,16,4.375639937340836e-06
2002,14,3.2841099979802723e-06
2003,36,7.961624967655898e-06
2004,34,6.919085768987193e-06
2005,42,7.997781948472957e-06
2006,49,8.556166167033127e-06
2007,51,8.148163651553208e-06
2008,39,5.861828583899451e-06
2009,70,9.708749983183058e-06
2010,93,1.2064827822582685e-05
2011,81,9.669411187771371e-06
2012,143,1.6557713822032134e-05
2013,142,1.561802104055395e-05
2014,283,2.9439221323233704e-05
2015,278,2.832454508284369e-05
2016,266,2.6261180870526555e-05
2017,288,2.8874556993613208e-05
2018,269,2.6914213396094476e-05
2019,350,3.4025509410483746e-05
2020,568,5.163401194181974e-05
2021,687,6.816292387392023e-05
2022,647,6.708151451189852e-05
2023,540,5.354491109164985e-05
2024,407,4.315853912904795e-05
