,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,325,45,109,68,37,132,10,18,52,30,20,73,9,11,26,29,54,16,14,19,9,,2,2,12,2
1981,302,40,156,102,78,120,16,17,43,14,33,132,6,9,33,40,51,14,10,13,18,3,3,3,9,2
1982,345,65,142,113,42,123,21,20,61,24,28,126,22,10,40,33,61,21,10,13,11,5,2,10,12,7
1983,323,58,143,110,33,144,16,15,77,14,37,113,16,7,40,31,83,24,12,20,11,1,5,8,13,12
1984,279,103,136,121,72,168,35,14,79,16,43,157,25,6,34,34,76,11,13,17,19,1,,5,15,3
1985,282,74,161,133,77,149,28,15,65,12,35,159,9,5,46,35,78,29,14,17,19,,2,9,16,5
1986,368,79,220,177,114,205,35,10,102,21,27,186,15,5,60,48,89,23,13,30,21,6,6,6,23,7
1987,426,71,215,234,94,212,45,25,109,24,35,245,24,7,70,53,121,25,12,20,16,11,3,11,19,5
1988,356,92,219,190,109,223,43,14,121,17,34,263,17,8,68,52,110,23,10,27,16,7,6,5,20,6
1989,365,103,210,192,87,222,29,17,95,18,60,248,21,7,64,58,124,22,12,31,25,6,3,8,21,7
1990,529,144,253,186,116,253,55,25,124,35,59,262,26,10,100,79,136,35,12,36,18,6,13,13,31,8
1991,474,104,220,215,116,215,51,18,131,29,41,244,15,6,98,69,135,36,15,26,24,4,9,7,24,7
1992,451,85,203,189,115,234,25,28,115,41,63,250,21,5,104,61,116,38,19,28,17,9,5,7,30,8
1993,529,150,298,224,107,247,43,25,126,33,60,266,17,7,125,65,129,43,12,30,16,2,14,9,28,8
1994,582,157,280,239,132,326,46,47,156,38,77,315,21,2,120,66,141,52,28,40,19,2,8,15,34,8
1995,572,195,402,248,188,362,61,39,142,30,74,320,29,8,126,97,153,51,16,51,27,4,6,26,31,15
1996,707,225,438,337,229,411,93,42,241,46,113,412,26,8,156,88,188,68,28,59,32,3,8,24,38,20
1997,828,255,477,312,259,493,107,44,198,42,132,461,46,18,151,99,218,101,16,66,26,9,19,18,35,19
1998,906,300,498,319,304,477,113,52,241,40,109,481,63,19,198,95,229,88,27,54,34,7,12,16,40,12
1999,991,356,558,371,317,475,135,58,301,39,139,531,52,29,176,122,247,115,23,87,31,8,23,25,42,37
2000,1126,485,676,436,350,616,221,70,289,41,173,552,69,34,193,117,332,118,27,95,49,14,18,29,58,24
2001,1137,507,663,481,452,552,238,82,290,74,193,621,75,49,240,118,310,110,34,94,42,21,22,20,57,29
2002,1228,551,710,599,481,612,367,119,352,53,197,628,78,46,271,148,321,118,37,107,43,28,13,26,41,23
2003,1286,654,856,632,554,618,374,100,342,87,256,598,152,47,342,126,306,124,41,131,42,23,24,22,55,20
2004,1460,831,908,570,534,663,361,154,451,108,252,673,137,76,378,151,277,158,45,133,54,24,26,29,44,48
2005,1515,1009,983,648,752,685,490,164,375,123,360,630,132,78,440,129,334,141,69,138,54,27,27,29,54,38
2006,1812,1129,1078,737,716,782,504,203,456,111,401,675,156,99,425,173,308,154,71,148,61,30,20,35,40,43
2007,1802,1300,1219,763,826,794,521,211,449,156,431,649,173,112,533,183,320,193,71,171,65,41,20,30,51,34
2008,1930,1644,1206,819,920,813,525,237,461,123,553,716,181,113,596,195,344,174,73,197,56,54,35,34,66,48
2009,2182,1910,1418,890,1044,962,593,308,538,162,600,809,230,111,688,211,317,199,85,206,67,48,27,40,41,56
2010,2497,2324,1496,963,1059,1027,635,406,489,205,773,812,249,146,666,279,362,214,98,224,80,42,23,52,46,65
2011,2795,2906,1692,988,1194,1080,731,420,600,221,952,870,254,204,705,271,339,244,101,224,101,69,38,41,46,67
2012,2839,3759,1716,1062,1350,1184,754,542,613,262,1196,863,287,232,733,262,365,268,137,208,105,59,57,57,45,66
2013,2922,4247,1726,1277,1444,1098,861,643,605,295,1276,942,352,245,701,310,377,282,156,237,84,81,56,47,65,76
2014,3122,4616,1842,1133,1574,1182,1055,733,674,306,1429,921,342,255,833,301,412,311,163,195,98,90,52,69,49,47
2015,3290,4747,2013,1260,1576,1228,898,740,712,351,1542,976,328,290,855,365,375,270,152,256,105,64,55,63,47,50
2016,3475,5498,2069,1291,1698,1304,893,750,789,335,1804,944,372,311,816,357,448,291,181,266,120,80,54,53,145,77
2017,3796,5829,2196,1245,1658,1339,919,831,636,404,1846,1018,399,294,893,364,348,354,172,254,144,96,59,63,49,78
2018,4121,6479,2329,1488,1784,1437,952,922,695,427,2081,915,441,343,918,439,406,338,192,298,138,114,55,72,65,77
2019,4169,6388,2352,1413,1951,1449,978,1062,709,493,2295,980,472,336,889,401,349,353,172,276,144,94,46,59,58,66
2020,5282,7840,2720,1533,2290,1576,1200,1127,665,579,2247,995,528,374,1243,419,405,351,195,354,166,73,80,73,62,84
2021,5369,7045,2440,1338,2249,1501,1233,1123,617,616,2083,1021,513,356,1180,442,291,347,185,304,153,94,120,95,47,68
2022,4902,5604,2322,1261,2066,1486,972,916,524,502,1622,804,476,379,942,475,278,336,156,294,148,91,85,75,38,63
2023,4955,5163,2354,1205,2140,1481,945,943,567,494,1490,1097,441,332,1013,421,979,359,171,288,158,112,72,81,64,81
2024,4374,3265,1840,1083,1697,1262,665,600,448,406,965,652,327,212,760,390,257,331,105,211,128,67,54,55,47,72
