,Documents,Share
1980,1136,0.0008766352024595173
1981,1275,0.0009915797381762866
1982,1382,0.00104682139727175
1983,1379,0.0010067714322217964
1984,1493,0.0010484425396606923
1985,1484,0.0010023180292968645
1986,1904,0.001220814893941706
1987,2147,0.0013059610705596107
1988,2069,0.001204308736098645
1989,2072,0.0011328130339105832
1990,2585,0.0012991183584772623
1991,2343,0.0011759627787453386
1992,2285,0.0010997176829790655
1993,2626,0.0012083835867825108
1994,2967,0.0012957899274279028
1995,3294,0.0013560739887800728
1996,4060,0.0015419843211338065
1997,4489,0.0016450599096444706
1998,4768,0.0016398652338940334
1999,5319,0.0017674883820619368
2000,6259,0.0017140680374646692
2001,6545,0.0017899102118684857
2002,7248,0.001700230661811501
2003,7857,0.0017376246491909
2004,8592,0.0017484936743275869
2005,9493,0.0018076891437346137
2006,10447,0.001824209549938675
2007,11185,0.001787004126325934
2008,12180,0.0018306941577409053
2009,13829,0.0019180329073919787
2010,15325,0.0019881020040976305
2011,17256,0.0020599427093355898
2012,19139,0.0022160705233557555
2013,20540,0.0022591137476970294
2014,21987,0.002287209043229468
2015,22777,0.002320676846589679
2016,24708,0.0024393280336427446
2017,25547,0.0025613135677633216
2018,27830,0.002784470478859886
2019,28271,0.002748386218696531
2020,32832,0.002984591338158144
2021,31168,0.003092433786466296
2022,27117,0.0028115138006478396
2023,27677,0.0027443750079325794
2024,20473,0.002170969954764125
