,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1946,821,771,972,433,827,234,213,244,123,189,482,179,74,409,270,320,188,42,246,70,76,40,51,61,88
1981,2129,835,807,904,506,907,245,261,263,141,207,520,178,78,440,336,328,206,62,237,79,62,38,45,52,100
1982,2140,836,817,942,456,901,281,285,241,151,215,589,209,75,451,321,361,220,47,246,80,73,39,47,44,109
1983,2294,958,929,922,610,982,254,303,260,207,229,604,240,108,473,321,340,208,47,250,89,73,40,60,44,94
1984,2638,996,947,1067,614,981,300,286,240,251,230,610,217,96,528,349,365,221,62,226,114,72,50,52,53,100
1985,2629,993,952,1042,605,1069,306,314,299,241,245,635,236,110,521,332,394,248,42,259,112,92,46,56,67,109
1986,2650,1021,984,1078,737,1038,291,359,306,228,307,634,224,117,620,366,353,249,58,285,101,62,56,57,56,87
1987,3183,1046,986,1167,675,1186,330,388,364,241,280,711,223,101,586,432,495,307,44,266,96,68,65,72,55,95
1988,3463,1227,1078,1221,783,1325,329,415,344,280,351,753,264,155,700,509,473,320,46,291,99,96,53,87,83,110
1989,3666,1296,962,1120,727,1425,392,455,341,272,305,818,272,150,648,537,463,350,38,287,114,97,82,77,70,102
1990,4199,1397,1103,1371,906,1424,498,520,360,374,356,771,347,168,685,552,501,381,44,302,133,114,76,61,89,114
1991,4223,1481,1055,1492,891,1457,520,528,471,427,358,893,347,195,684,538,486,340,46,302,153,110,91,77,74,95
1992,4590,1534,1182,1652,906,1639,629,556,462,435,351,833,377,223,829,515,543,409,51,362,140,124,82,80,77,97
1993,4911,1833,1273,1911,1047,1711,731,667,488,510,428,1111,407,310,744,577,541,464,47,354,144,155,74,87,57,124
1994,5171,2007,1261,1970,1070,1796,844,727,577,565,511,1194,462,370,783,586,520,453,51,392,163,165,96,83,83,111
1995,5465,2095,1327,2282,1157,1879,1011,769,629,692,531,1254,552,419,860,701,557,483,43,447,149,182,64,81,80,124
1996,5777,2336,1366,2604,1364,2065,1267,853,690,665,608,1465,615,446,872,729,728,522,57,534,176,188,97,97,99,137
1997,6310,2680,1496,2495,1440,2210,1347,899,701,784,605,1528,683,502,933,753,747,646,53,585,182,216,90,109,93,107
1998,6715,2812,1500,2681,1598,2333,1374,988,707,771,622,1634,711,581,1069,831,744,624,62,561,196,258,84,107,103,108
1999,7205,2890,1554,2850,1703,2350,1554,977,822,810,666,1628,750,701,1041,962,646,641,55,554,233,257,74,81,93,126
2000,7777,3073,1664,3015,1924,2586,1597,1204,790,923,683,1595,922,825,1181,929,757,673,48,561,192,290,112,112,100,83
2001,8134,3352,1770,3103,1998,2661,1778,1214,837,1004,683,1716,948,949,1321,940,837,649,72,524,171,333,95,107,84,101
2002,8521,3546,1932,6115,2462,2844,5455,1362,1061,1120,725,2097,1083,1233,1275,1067,824,634,117,628,210,475,126,99,90,93
2003,9385,4215,2035,4837,2473,3164,3730,1433,1085,1218,807,1944,1304,1406,1438,1063,875,737,110,653,226,524,116,157,104,99
2004,10626,4294,2035,4909,2727,3241,3619,1643,1135,1348,929,2130,1412,1316,1520,1120,908,789,128,600,239,514,137,155,122,117
2005,11306,4786,2389,5566,3070,3546,4606,1785,1311,1480,1018,2296,1462,1568,1504,1294,942,829,127,713,230,579,135,140,123,117
