,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,1,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,1,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,1,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,,,,,,,,,,,,,,,1,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,1,,,,,,,,,,,,,,,,,,
1998,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,1,,,,,,,,,,,1,,,,,,,,,,,,,
2001,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2002,1,,,,,,,,,1,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,1,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,3,,,1,,,,,,,,,,,,,,,,,,,,
2006,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2007,2,,,2,,,,,,,,,,,,,,,,,,,,1,,
2008,1,,,,,,1,,,1,,,,,,,,,,,,,,,,
2009,1,,,,,,,,,,1,,,,,1,,,,,,,,,,
2010,3,4,1,,,,,1,,,2,,,,,,,,,,,,,,,
2011,4,3,1,1,,1,,,,1,,,,,,,,,,,,,,,,
2012,2,1,,,,,,,,1,,,,1,,1,,1,,,1,,,,,
2013,7,5,,,,,,,,,,,2,2,,,,,,,,,,,,
2014,10,5,,,1,,,3,,4,1,,1,2,,,,,,,,,,4,,
2015,12,12,,,2,,,4,,3,,,4,,,,,1,,1,,,,2,,
2016,29,4,,,1,3,,1,,,1,,4,,,,,4,,,1,,,1,,
2017,12,3,,,,,,1,,1,1,,1,,,1,,1,,,,,,1,,
2018,11,5,,,1,,1,1,,3,2,,,,,2,,,,,,,,,,
2019,17,6,1,,6,1,,,,1,1,,,1,,2,,,,,,,,1,,
2020,27,3,1,,,3,1,1,,5,1,,1,1,,1,,,,,,,,,,
2021,32,15,1,,3,3,1,1,,1,1,,,1,,2,,2,,,,,,,,
2022,32,3,1,,2,3,2,2,,1,,1,,2,,2,,1,,,1,,,1,,1
2023,34,5,,3,3,5,,1,1,3,,,,,,4,,2,,,,1,,,,
2024,29,4,,,2,2,,1,,,,,1,1,2,1,1,3,,,,,,,,1
