,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,1,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,2,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,1,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,1,,,,,,,,
2000,,,,,,,,,,,,,1,,,,,,,,,,,,,
2001,1,,,,,,,,,,,,,,2,,,1,,,,,,,,
2002,,1,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,1,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,1,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,1,,,,,,,,,,,,,,,,,,,,,,
2009,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2010,,1,,,,,,,,,,,,,,,,,,,1,,,,,
2011,1,,2,1,,,,,,,,,,,,,,1,,,,,,1,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,3,,,1,1,,1,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,2,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,1,,,,,,,,,,,
2016,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2017,,3,,,,,,,,,,,,,,,,,,,,,,,,
2018,,6,,,,,,,,,,,2,,,,,,,,,,,,,
2019,,2,,1,,,,,,,,,,,,,,2,,,,,,,,
2020,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021,,1,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,,,1,,,,,,,,,,,,,,,,,,,,,
2023,1,,,1,,1,,,,,,,,,,,,1,,,,,,,,
2024,,,,,,,,,,,1,,1,,,,,1,,,,,,,,
