,Documents,Share
1980,,
1981,,
1982,,
1983,,
1984,,
1985,1,6.754164617903399e-07
1986,,
1987,,
1988,,
1989,1,5.467244372155324e-07
1990,,
1991,,
1992,,
1993,2,9.203226098876701e-07
1994,,
1995,,
1996,,
1997,,
1998,1,3.439314668401916e-07
1999,2,6.645942402940165e-07
2000,2,5.477130651748423e-07
2001,4,1.093909984335209e-06
2002,2,4.691585711400389e-07
2003,2,4.423124982031055e-07
2004,,
2005,1,1.904233797255466e-07
2006,,
2007,,
2008,1,1.5030329702306284e-07
2009,2,2.773928566623731e-07
2010,2,2.5945866285124057e-07
2011,7,8.356281273382666e-07
2012,,
2013,6,6.599163819952374e-07
2014,2,2.0805103408645727e-07
2015,1,1.018868528159845e-07
2016,2,1.9745248774831995e-07
2017,3,3.007766353501376e-07
2018,9,9.004755411332725e-07
2019,5,4.860787058640535e-07
2020,1,9.090495060179532e-08
2021,1,9.921822980192171e-08
2022,4,4.1472342820339113e-07
2023,4,3.9662897104925814e-07
2024,3,3.181219100421225e-07
