,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3,2,2,1,3,3,,,1,,1,3,,,,,1,,,,,,1,,,
1981,5,3,,2,,2,2,,,,,4,,,,,,,1,1,,,,,,
1982,2,,1,2,1,1,1,,4,,2,3,,,1,,2,,,3,,,,1,,
1983,1,1,2,6,2,4,,,2,,2,,1,,,,1,,,1,,,,,,
1984,1,,,4,,2,,1,1,1,1,3,1,,1,,2,,,2,,1,1,1,,
1985,6,1,,4,,1,2,1,1,,,7,1,,,,2,,,4,,,,,,
1986,,1,,8,1,,3,,1,1,3,2,,,,,1,1,,6,,1,,,,
1987,5,1,3,3,,4,1,,3,,1,2,2,,,,1,1,,5,,,,,,1
1988,6,,4,5,1,2,3,,3,,2,5,,,,,2,,,1,,,3,,,
1989,5,2,,3,,2,5,,4,1,,2,4,,,,,,,1,,,,,,
1990,13,5,3,9,1,9,2,1,2,,2,4,3,1,,,3,2,,5,,,1,,3,
1991,31,7,,6,2,2,4,1,1,,4,4,2,,,1,3,2,,5,,,,,,
1992,13,2,5,16,1,2,,,4,1,,8,4,1,1,,1,2,1,3,,,1,,,
1993,14,5,4,12,,2,,,1,2,2,1,1,,,1,,1,,,,,,,,
1994,28,4,3,5,5,4,,2,,8,2,1,3,,,,1,,,,,,,2,,1
1995,23,5,,4,1,3,1,2,,5,3,,7,,2,,1,1,,,1,,1,,,
1996,11,4,1,1,1,3,2,,,8,3,4,3,2,,1,2,,,,1,,2,,,1
1997,12,2,,2,,4,,4,,3,2,5,4,,,1,1,,1,1,,,,,,
1998,18,11,7,2,1,3,2,,,6,2,6,6,,,,,1,1,2,,,1,,,
1999,41,14,4,7,4,6,2,6,1,5,1,3,7,2,1,1,,3,,1,,,3,1,,
2000,44,2,4,8,,9,2,1,1,3,1,3,7,,,1,,2,,5,,,1,1,,
2001,36,9,8,6,5,5,5,5,2,6,,4,7,2,1,2,1,3,,1,,2,2,2,,
2002,67,9,15,24,4,13,11,9,3,9,4,11,9,4,1,5,1,2,,2,,,2,,,
2003,87,16,13,21,4,11,12,16,6,11,2,9,12,4,1,4,5,5,1,4,,1,1,1,,
2004,120,8,18,26,6,15,9,9,3,10,4,5,5,4,1,3,2,,,2,,,4,4,,1
2005,122,17,18,33,5,18,11,11,6,16,3,9,11,8,3,2,3,4,,4,2,,5,2,1,1
2006,134,24,19,34,9,26,13,4,3,9,12,14,23,10,3,6,4,12,2,7,,2,,,,3
2007,152,61,40,37,16,26,16,20,8,11,10,16,29,12,2,8,7,2,3,8,,2,3,2,2,1
2008,191,50,35,54,17,28,19,24,1,13,11,13,56,20,6,4,2,8,1,10,4,1,6,4,,5
2009,208,63,55,56,29,29,44,26,5,20,23,25,64,29,11,4,8,8,,9,3,3,4,5,2,2
2010,248,88,62,84,33,34,46,43,10,25,31,18,68,37,8,8,6,7,3,11,2,5,9,9,1,5
2011,319,126,66,108,43,48,73,46,11,28,35,17,93,43,11,10,10,9,4,9,,9,17,2,2,
2012,321,144,107,159,55,58,114,52,18,37,43,25,102,69,12,14,7,11,4,12,2,10,17,3,1,7
2013,352,166,92,160,46,65,118,63,25,36,52,21,138,87,9,19,11,15,5,10,6,11,17,6,1,2
2014,379,177,100,181,63,66,118,53,26,49,52,47,160,76,19,12,25,17,9,17,5,13,23,7,,4
2015,425,197,93,197,71,75,101,57,26,46,84,33,208,67,15,11,7,15,13,32,7,20,23,2,1,3
2016,464,238,116,212,97,84,125,56,24,59,86,45,233,97,13,14,18,16,13,27,13,22,29,6,4,4
2017,462,321,159,250,120,91,130,83,43,94,126,41,282,122,18,24,27,18,9,24,8,33,28,7,1,1
2018,484,297,187,372,134,102,171,88,43,73,94,43,316,143,29,23,26,28,10,30,12,40,36,7,1,5
2019,565,352,148,340,151,118,173,102,42,106,132,36,291,138,24,27,28,24,15,36,15,46,33,17,4,9
2020,587,445,198,367,170,100,161,132,47,98,136,30,320,168,32,28,21,14,25,68,23,49,31,7,4,6
2021,618,458,240,407,211,123,189,160,49,90,154,38,313,158,26,29,27,33,14,61,17,48,45,21,3,4
2022,678,472,224,402,173,109,176,140,40,107,165,38,282,158,35,27,33,31,31,41,23,56,34,10,1,8
2023,661,447,195,413,184,117,210,135,46,88,141,45,210,131,30,36,25,27,23,43,17,46,37,21,3,10
2024,644,269,146,262,134,93,153,73,29,98,77,25,157,76,19,27,34,39,19,41,13,26,24,11,5,7
