,Documents,Share
1980,4,3.0867436706321032e-06
1981,5,3.888547992848183e-06
1982,6,4.5448106972724315e-06
1983,9,6.570661994195915e-06
1984,10,7.022388075423257e-06
1985,8,5.403331694322719e-06
1986,23,1.4747238739842038e-05
1987,22,1.3381995133819952e-05
1988,31,1.804425849156984e-05
1989,36,1.9682079739759167e-05
1990,45,2.2615213203666076e-05
1991,59,2.9612378978222353e-05
1992,61,2.9357890005130412e-05
1993,42,1.9326774807641072e-05
1994,56,2.4457106820344643e-05
1995,59,2.428912123194423e-05
1996,64,2.4307142008020597e-05
1997,67,2.455313297976822e-05
1998,117,4.023998162030241e-05
1999,105,3.4891197615435865e-05
2000,84,2.300394873734338e-05
2001,130,3.5552074490894296e-05
2002,129,3.026072783853251e-05
2003,181,4.0029281087381045e-05
2004,167,3.398492127708415e-05
2005,184,3.503790186950057e-05
2006,247,4.313006210728943e-05
2007,320,5.112573271562797e-05
2008,329,4.944978472058767e-05
2009,398,5.520117847581224e-05
2010,400,5.189173257024811e-05
2011,469,5.598708453166386e-05
2012,669,7.746231151705942e-05
2013,621,6.830134553650706e-05
2014,681,7.08413771064387e-05
2015,830,8.456608783726714e-05
2016,901,8.895234573061814e-05
2017,945,9.474464013529334e-05
2018,1102,0.00011025822736987403
2019,1187,0.0001153950847721263
2020,1461,0.00013281213282922296
2021,1494,0.00014823203532407105
2022,1592,0.00016505992442494968
2023,1894,0.00018780381779182374
2024,1503,0.00015937907693110338
