,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,101,8,25,115,16,52,10,6,78,6,6,59,6,3,17,13,132,4,6,23,4,,,8,11,2
1981,88,6,29,103,15,63,15,3,66,3,4,70,2,1,17,22,140,4,2,18,2,1,,4,10,
1982,58,17,28,107,16,68,13,2,90,5,6,73,5,2,23,11,131,,4,26,,2,,9,16,1
1983,76,5,22,120,16,82,18,1,94,3,,78,2,1,30,23,123,3,4,25,1,5,,8,12,
1984,68,10,27,132,11,93,18,3,99,3,5,123,3,2,20,19,169,3,3,39,4,2,,2,12,1
1985,67,19,28,176,21,80,33,2,109,4,4,131,6,4,36,16,133,3,6,36,4,7,,3,17,1
1986,104,11,28,193,15,73,26,3,116,1,2,147,4,5,22,24,134,2,7,54,2,6,,7,15,
1987,134,8,49,158,22,98,39,2,147,4,4,127,2,5,25,37,173,5,6,61,5,4,,9,19,1
1988,146,11,55,219,24,133,39,3,136,5,15,153,1,1,31,52,160,8,7,81,9,4,,8,9,2
1989,148,15,46,177,28,120,43,8,145,7,5,149,5,6,30,59,171,8,4,65,8,10,,10,22,3
1990,203,20,44,249,33,162,70,4,193,6,16,184,8,4,51,54,188,9,6,73,5,6,,10,24,2
1991,212,11,63,292,30,157,58,5,195,1,14,161,9,4,45,60,211,18,6,76,3,7,1,4,15,
1992,221,19,76,302,51,158,75,1,215,8,13,189,4,2,44,50,172,7,12,80,8,7,,3,22,2
1993,158,23,74,320,44,147,71,7,202,17,10,189,9,5,54,39,182,19,6,77,12,6,1,7,22,1
1994,193,29,75,312,52,166,65,16,199,15,12,211,9,10,48,36,155,4,8,86,8,6,2,6,29,2
1995,191,33,87,310,61,140,78,14,218,14,12,209,9,13,48,54,160,13,9,92,7,5,6,13,14,5
1996,206,41,75,370,66,162,73,18,239,19,14,211,10,2,59,47,167,10,4,102,5,11,,9,15,1
1997,229,120,108,348,53,189,87,20,219,14,72,194,18,10,56,53,160,16,13,103,7,7,1,5,19,1
1998,258,73,112,370,75,152,108,20,262,20,49,216,21,11,40,71,151,31,6,104,11,6,5,7,35,
1999,271,60,118,357,65,179,113,11,223,17,62,255,25,8,65,62,156,22,14,89,8,9,3,12,28,1
2000,256,81,141,355,82,165,101,24,252,19,73,235,33,18,65,73,150,22,14,120,6,3,5,9,23,2
2001,273,94,107,340,65,171,132,18,202,32,80,249,26,18,82,64,119,29,10,135,7,16,10,8,17,
2002,253,100,134,513,84,187,184,15,272,23,69,267,36,7,80,69,147,26,14,109,11,18,8,6,35,5
2003,324,125,123,479,106,200,219,16,266,29,69,284,56,31,77,77,141,40,12,113,9,16,4,8,23,
2004,336,150,154,503,88,230,250,19,290,25,83,327,48,29,73,58,169,33,12,128,7,22,4,11,29,3
2005,369,132,183,529,139,283,206,24,286,24,83,319,49,39,93,68,197,32,18,129,12,20,6,12,29,4
2006,439,146,217,574,144,241,230,26,293,33,51,312,41,29,96,65,1116,35,28,142,21,17,8,122,21,2
2007,477,184,210,592,156,278,271,31,372,34,66,405,49,42,106,94,167,27,22,136,12,19,7,11,24,4
2008,510,184,215,714,182,280,317,40,366,42,75,323,68,69,124,77,1534,40,31,145,12,36,7,92,31,4
2009,521,218,320,635,214,333,363,41,384,43,96,377,54,58,108,105,157,49,38,147,12,27,9,15,27,10
2010,588,266,294,687,202,327,360,57,427,42,105,352,84,69,126,90,135,41,34,169,16,34,33,15,23,7
2011,631,260,250,623,187,353,351,51,359,66,111,338,97,88,121,108,578,39,50,161,11,34,10,399,16,10
2012,706,289,253,707,237,347,376,72,392,57,122,364,102,97,149,93,157,44,40,219,20,41,15,15,24,7
2013,890,339,359,765,274,363,336,69,350,64,120,322,134,98,144,115,155,60,46,209,21,35,27,18,20,4
2014,939,393,380,844,318,421,423,95,391,88,151,313,158,138,172,108,158,61,63,223,21,38,43,33,23,9
2015,963,455,395,721,274,371,389,101,344,122,168,339,235,156,148,99,152,54,49,228,30,59,40,30,29,8
2016,1148,396,403,847,304,382,419,113,352,147,174,387,210,153,99,114,158,59,49,238,21,53,79,24,23,9
2017,1301,607,428,916,327,374,547,155,323,200,190,315,287,257,169,122,146,68,63,258,27,54,64,29,22,10
2018,1479,622,476,1131,397,421,589,155,365,201,222,340,242,209,175,123,156,68,65,263,42,98,85,25,27,17
2019,1602,748,525,1364,480,429,774,166,352,204,235,442,318,285,223,157,196,80,101,299,45,98,91,33,32,18
2020,1799,783,634,1376,513,515,847,216,378,231,240,404,376,312,227,152,161,88,90,266,35,100,102,32,33,12
2021,1905,895,822,1504,543,474,885,216,397,202,295,352,351,315,318,154,158,99,87,293,50,98,105,36,25,9
2022,1999,795,815,1431,564,538,777,217,348,203,256,319,253,256,265,150,171,112,97,253,44,103,110,38,33,19
2023,2039,727,834,1519,658,585,825,218,422,200,239,354,264,321,311,180,204,98,105,266,42,108,112,44,30,18
2024,1760,510,689,1437,485,437,676,150,355,134,144,274,151,218,143,132,201,130,109,189,42,67,85,43,20,12
