,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,16,3,1,1,1,,1,,,2,2,,,,,1,,1,1,,,,,,
1981,,5,6,1,1,5,,4,2,1,2,,,,,2,1,,,,,,,,,
1982,2,7,2,2,,2,2,3,,,,,,,1,,,,,3,,,,,,
1983,2,5,3,1,,2,,2,2,1,4,1,1,,,,1,,,1,,,,,,
1984,,3,2,1,,1,,,2,,1,5,,,,,,1,,,1,,,,,
1985,1,2,1,1,,3,,,,1,,3,2,,2,,1,,,5,,,,,,
1986,2,2,3,5,1,2,1,,1,,4,6,,,3,,,2,,1,,,,,,
1987,3,3,6,1,6,4,2,,1,,2,4,,,1,,,1,,4,,,,,1,
1988,9,1,5,1,1,1,1,1,1,,2,2,1,1,,,3,4,,5,,2,,,,
1989,4,2,4,3,1,2,6,,1,,1,5,1,1,2,1,,4,1,3,,,,,,
1990,8,7,3,1,1,2,9,,2,,3,4,,,1,,1,3,,3,1,,,,,
1991,8,3,3,4,2,5,6,,2,,9,9,1,,2,,2,2,,10,1,1,,,1,
1992,8,2,4,1,1,6,4,,2,,3,3,,,3,,4,1,,5,2,1,,,,
1993,10,8,4,2,2,7,5,,1,,5,7,4,1,2,,1,1,,5,,,,,,
1994,8,7,6,1,1,6,9,1,2,,7,9,2,,2,1,2,2,1,9,,,,1,,
1995,10,7,7,3,2,3,15,,2,,12,14,2,,3,,,1,,5,,,,,,
1996,7,6,7,3,2,7,15,,4,,8,7,2,,4,1,3,3,,9,,,,,1,
1997,13,8,4,6,3,2,15,,,,5,12,3,,3,3,1,3,,5,,2,,,,
1998,7,4,4,6,3,2,28,1,2,1,9,13,3,1,,,1,1,,11,,2,,,,
1999,5,10,3,2,13,3,9,2,3,,15,13,6,1,,,,,1,7,,,,,,
2000,8,9,5,6,4,2,16,,2,2,12,19,6,3,8,1,3,2,,10,,1,,,,
2001,2,8,1,13,2,2,20,,1,,9,24,10,1,5,,,1,,10,,,,,,
2002,3,21,2,4,4,4,20,2,4,1,9,11,10,3,5,,,1,,8,,1,,,1,
2003,4,15,4,7,7,11,23,4,2,3,13,24,7,,5,3,3,,,16,,,,,,
2004,5,28,7,5,4,7,24,5,7,2,12,21,11,1,5,2,1,,,18,,2,,,,
2005,5,30,5,4,4,3,38,4,2,9,22,13,11,3,1,1,,,,12,,2,,,,
2006,5,20,5,16,7,13,47,4,6,8,8,25,19,3,4,3,6,,,19,,3,,2,1,
2007,10,10,2,14,7,12,33,3,10,3,20,15,20,5,6,7,2,1,,20,1,1,,1,,
2008,3,34,3,17,6,17,35,3,1,3,31,24,7,1,12,4,12,,,30,,4,,,,
2009,9,50,8,23,2,11,40,8,3,2,39,22,17,4,6,7,6,1,,11,,2,,,,
2010,8,43,12,32,8,19,54,8,4,6,22,46,13,3,12,3,2,2,,19,2,2,,,1,
2011,11,42,14,26,2,7,38,6,6,3,35,31,14,3,11,9,6,1,2,20,2,4,,,2,
2012,20,60,13,24,6,10,63,10,7,3,40,36,14,2,8,15,5,1,2,24,,7,,,1,
2013,34,56,24,20,9,9,76,12,7,5,40,32,18,3,7,5,4,,,20,1,3,,,1,1
2014,18,56,17,35,16,24,94,19,7,7,43,45,13,7,25,11,5,2,1,30,1,6,,2,1,1
2015,27,52,28,25,10,13,85,14,16,7,54,39,16,9,14,11,5,1,1,20,3,7,,2,,
2016,37,64,18,23,10,33,79,15,7,5,60,25,8,5,8,8,14,3,,18,2,7,,1,,
2017,31,100,23,40,14,28,66,22,9,11,62,52,15,6,8,21,14,2,1,27,2,5,,2,,
2018,42,121,34,52,21,25,78,14,12,11,69,36,17,14,21,12,11,9,1,16,1,8,,,,
2019,48,126,54,48,16,47,87,19,20,7,75,82,15,13,11,17,15,4,,34,2,7,1,1,2,2
2020,67,144,65,53,46,31,111,21,7,19,104,54,26,13,30,17,14,12,3,36,8,12,,1,5,3
2021,87,153,64,59,29,32,82,25,17,20,94,46,21,12,30,24,20,6,4,45,5,6,1,,,1
2022,75,140,71,50,37,25,86,17,20,21,91,52,17,14,47,34,16,8,3,29,2,5,2,,1,1
2023,76,126,67,57,54,30,68,24,21,11,44,47,24,6,29,24,16,9,4,23,2,8,3,2,2,2
2024,59,78,35,31,44,40,46,24,18,20,28,69,15,6,16,34,11,12,3,15,8,1,,1,,1
