,Documents,Share
1980,31,2.39222634473988e-05
1981,34,2.644212635136764e-05
1982,25,1.8936711238635132e-05
1983,27,1.9711985982587746e-05
1984,19,1.3342537343304188e-05
1985,24,1.6209995082968157e-05
1986,34,2.1800265963244752e-05
1987,39,2.372262773722628e-05
1988,42,2.4447059891804296e-05
1989,49,2.678949742356109e-05
1990,50,2.5128014670740084e-05
1991,79,3.965047354711129e-05
1992,51,2.4545121151830345e-05
1993,69,3.175113004112462e-05
1994,83,3.624892618015367e-05
1995,91,3.746288190011737e-05
1996,92,3.494151663652961e-05
1997,89,3.261535574924435e-05
1998,120,4.1271776020822985e-05
1999,96,3.190052353411279e-05
2000,122,3.341049697566538e-05
2001,112,3.0629479561385856e-05
2002,117,2.7445776411692275e-05
2003,154,3.405806236163912e-05
2004,174,3.5409438935405044e-05
2005,172,3.2752821312794014e-05
2006,231,4.033621193029903e-05
2007,209,3.3391494179894515e-05
2008,255,3.832734074088102e-05
2009,275,3.81415177910763e-05
2010,330,4.281067937045469e-05
2011,309,3.688701304964634e-05
2012,383,4.434688387299516e-05
2013,401,4.410441153001503e-05
2014,501,5.2116784038657545e-05
2015,466,4.747927341224878e-05
2016,467,4.610515588923271e-05
2017,588,5.895222052862697e-05
2018,647,6.473418612369192e-05
2019,783,7.611992533831078e-05
2020,932,8.472341396087324e-05
2021,939,9.31659177840045e-05
2022,923,9.569743105793251e-05
2023,814,8.071399560852403e-05
2024,638,6.765392620229139e-05
