,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
1981,1,7,2,,,,,,,1,2,,,,,,,,,,,,,,,
1982,1,5,4,,,1,,1,,1,,2,2,,,,1,,,,,,,,,
1983,,6,,,1,2,1,3,,2,1,,,1,1,,,,,,,,,,,1
1984,,6,1,,3,1,,,,,2,1,,,,,,,,,,,,,,
1985,6,4,3,1,,1,1,,,,1,,,,,,,,,,,,,,,
1986,3,3,2,1,1,,,,,1,,3,,,1,,,,,,,,,,,
1987,8,3,2,1,3,,,1,,1,1,,,,,,1,,,1,,,,,,
1988,7,5,2,2,,,,,,,3,,2,,1,1,1,2,,,1,1,,,,
1989,5,6,8,,1,4,2,1,,,2,,,,1,,1,,,,1,,,,1,
1990,4,1,8,,1,1,,1,1,,1,,2,,,,,1,,,,,,2,,
1991,17,4,8,3,,2,,1,,1,,,2,,,,,,,,,,,1,,
1992,9,6,7,2,,2,1,1,,,,1,1,,1,,,,,,,,,,,
1993,8,4,23,,1,2,,,,,2,,,1,1,,,,,,2,,,,,
1994,5,2,16,,2,3,,1,,1,,2,,,,,,1,,,,,,,,
1995,6,2,18,,2,1,,,,1,3,2,,,,,,,,,,,,,,
1996,6,3,27,1,2,4,1,,,,,2,,,,,,1,,,,,,,,1
1997,13,5,31,1,2,5,,,,1,1,2,1,,1,,,4,,1,1,,,,,2
1998,4,4,26,2,3,4,1,1,,2,,2,1,,,1,,2,,1,1,,,,,
1999,17,3,30,4,6,4,1,,,2,1,5,,1,1,,,1,,5,1,,,,,
2000,17,3,41,3,14,8,1,,1,1,,7,,,1,,,2,,4,3,,,,,
2001,26,9,47,2,8,6,1,,1,1,1,,,,8,2,,3,,4,6,,,,1,1
2002,37,18,47,7,8,14,1,2,2,3,,5,3,,9,,,3,,5,2,,,1,,1
2003,29,19,51,3,13,14,2,,2,4,1,5,,,12,,1,4,1,3,4,,,1,,
2004,47,23,58,8,10,10,4,2,1,2,2,8,,1,8,,,2,,7,2,,,,,1
2005,47,19,53,4,21,12,3,2,2,4,1,2,,1,7,,1,2,,2,6,,,1,,2
2006,48,14,72,9,29,13,2,,,6,4,4,2,4,13,,1,4,1,5,5,,1,,,2
2007,75,28,88,26,30,15,9,3,6,5,7,14,8,8,13,1,,7,,6,4,,,1,,
2008,65,22,103,7,30,22,3,3,3,8,3,13,6,2,13,,,9,,5,8,1,,1,1,
2009,82,25,124,38,46,28,7,4,5,12,3,12,7,2,13,,2,8,1,5,4,2,,1,,
2010,89,29,129,9,46,23,6,2,6,6,6,11,6,4,20,1,1,8,3,8,4,2,,,,
2011,99,50,156,30,45,31,9,2,4,6,4,12,16,7,22,3,2,9,2,3,4,1,1,2,1,5
2012,134,50,240,28,62,28,14,6,2,14,13,17,25,12,17,2,5,16,4,9,10,5,2,2,1,4
2013,161,41,235,50,76,38,19,8,4,18,9,29,14,16,15,2,2,12,4,11,16,6,,4,1,
2014,162,62,224,28,70,43,16,4,4,30,5,26,20,13,28,2,9,22,3,13,18,2,,3,,
2015,190,66,234,45,64,60,18,4,4,11,15,28,21,14,21,2,7,12,3,8,25,4,,1,,2
2016,161,68,287,40,92,45,26,11,5,24,26,39,14,15,16,1,3,13,2,10,11,,2,4,1,2
2017,226,73,376,47,112,45,21,5,14,33,21,20,23,14,28,2,11,14,4,13,27,6,4,4,,9
2018,249,119,383,77,131,59,33,12,9,32,36,43,19,29,54,1,5,16,2,15,33,6,5,8,,4
2019,267,101,457,105,134,72,33,15,6,45,17,45,36,24,40,1,7,20,4,22,22,10,2,6,,3
2020,348,144,436,97,152,79,38,13,16,47,46,47,49,42,25,1,6,22,10,40,29,9,10,8,,3
2021,361,158,515,116,182,95,50,17,21,42,35,44,63,33,30,2,11,28,7,65,43,10,3,6,1,5
2022,373,129,535,92,226,74,58,25,14,57,37,47,54,41,35,8,13,35,9,49,34,11,3,15,,11
2023,432,134,494,99,239,64,56,28,14,52,29,42,72,29,35,5,8,47,5,42,53,7,2,7,2,3
2024,298,72,339,84,165,49,47,26,8,70,17,27,30,21,26,2,10,24,14,27,25,14,4,6,2,4
