,Documents,Share
1980,4,3.0867436706321032e-06
1981,13,1.0110224781405274e-05
1982,19,1.43919005413627e-05
1983,21,1.5331544653123803e-05
1984,14,9.83134330559256e-06
1985,18,1.2157496312226118e-05
1986,16,1.0258948688585765e-05
1987,23,1.3990267639902677e-05
1988,28,1.6298039927869532e-05
1989,34,1.8588630865328102e-05
1990,23,1.155888674854044e-05
1991,39,1.957428440933342e-05
1992,31,1.491958344523021e-05
1993,44,2.024709741752874e-05
1994,33,1.4412223661988808e-05
1995,36,1.4820480751694783e-05
1996,49,1.861015559989077e-05
1997,73,2.6751921007807165e-05
1998,56,1.9260162143050727e-05
1999,82,2.7248363852054677e-05
2000,106,2.9028792454266643e-05
2001,129,3.527859699481049e-05
2002,170,3.987847854690331e-05
2003,170,3.759656234726397e-05
2004,196,3.988649443298499e-05
2005,193,3.675171228703049e-05
2006,244,4.2606215199103734e-05
2007,363,5.7995753049290476e-05
2008,330,4.960008801761074e-05
2009,436,6.047164275239733e-05
2010,420,5.4486319198760515e-05
2011,528,6.303023589065782e-05
2012,739,8.556748611525698e-05
2013,798,8.776887880536658e-05
2014,810,8.426066880501519e-05
2015,864,8.803024083301061e-05
2016,928,9.161795431522046e-05
2017,1168,0.00011710237002965357
2018,1411,0.0001411745542821164
2019,1527,0.00014844843677088194
2020,1732,0.0001574473744423095
2021,1961,0.00019456694864156848
2022,1998,0.00020715435238759388
2023,2024,0.00020069425935092462
2024,1417,0.00015025958217656255
