,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,1,1,,1,,1,,,,1,1,1,,1,,,,,,,,,,
1981,,,1,1,1,1,1,1,,,1,,,1,,1,,,,,,,,,,
1982,2,1,1,3,,5,,2,1,,,1,,,1,1,2,,,1,1,,,,,
1983,,3,1,4,1,3,2,2,1,1,,,1,1,1,1,,,1,,,,,,1,
1984,2,3,1,8,,1,,1,2,,1,1,1,,,,,,,,1,,,,,
1985,1,3,,6,,,4,,2,,,,1,,,,2,,1,1,,,,,,
1986,1,5,,4,,2,,,2,,,1,,,1,,,,,1,,1,,,,
1987,,5,,2,2,1,1,3,3,,1,1,1,,,,1,,,3,,1,,1,1,
1988,1,6,,9,1,2,,1,3,,,2,,1,,,2,,,3,,,,,,
1989,,10,,4,,,4,1,2,,,,,,,,1,2,,,,1,,,1,
1990,7,10,,4,1,,4,1,1,,2,,,1,1,1,1,,,2,,1,,,,
1991,4,7,6,1,4,,4,,6,,4,2,2,1,,,1,,,1,,,,,1,
1992,6,13,6,4,3,,4,,2,,,2,1,1,1,1,2,,2,2,,,,,,
1993,3,3,5,5,,1,1,,2,1,1,2,1,2,1,1,2,,,2,,2,,,,
1994,9,4,2,12,3,2,1,1,1,,2,1,1,1,,,1,,,,,,,,,
1995,4,9,1,7,3,2,,1,1,,5,1,1,,4,,3,,,1,,,,,2,
1996,7,6,1,7,7,3,5,2,2,1,3,3,,3,1,2,,1,1,,,1,,,2,
1997,10,8,5,5,3,1,2,,1,,4,2,2,1,2,1,1,,,3,,1,,,,
1998,8,13,4,6,2,2,5,,2,,1,2,2,2,3,,,,,2,,1,,,,
1999,8,7,3,10,8,3,3,1,2,1,1,,3,2,8,,,,,4,,,,,1,
2000,9,15,2,10,9,,2,1,1,1,2,1,,5,6,,,,2,3,,1,,,,
2001,9,9,7,5,3,1,3,1,1,,4,3,4,4,3,,,,,2,,3,,,,
2002,6,9,3,21,5,,29,1,1,,1,1,2,5,5,,1,,1,3,,1,,,,
2003,8,10,,17,9,2,15,1,2,3,1,,5,3,5,,1,,1,1,,3,,,,
2004,8,11,5,12,4,,10,2,,1,2,2,3,5,6,,2,,,,,4,,,,
2005,13,16,3,24,3,2,12,,,1,2,3,2,9,4,,1,,,,,3,,,1,
2006,23,19,5,16,6,1,14,2,1,2,1,2,3,2,3,2,1,,,2,1,1,,,,
2007,17,16,8,24,6,5,23,2,,3,1,2,2,4,6,1,1,,,5,2,2,2,1,,
2008,38,21,5,17,4,6,17,5,2,5,7,,1,5,7,2,1,1,1,5,1,1,,,,
2009,34,28,3,15,9,7,16,3,1,2,12,3,4,10,5,3,1,1,,1,1,5,,,,
2010,35,28,8,16,12,1,6,3,1,3,,2,8,10,1,2,7,,2,3,,3,,,,
2011,40,29,7,25,9,4,8,4,1,3,3,5,4,16,,1,4,,1,4,1,4,1,,,
2012,45,46,11,22,9,7,27,9,1,13,5,4,23,33,2,2,7,1,1,5,,16,,1,,
2013,52,61,7,36,20,10,23,13,7,14,4,,10,35,7,1,5,1,6,6,1,14,3,,,
2014,64,74,9,78,41,13,33,11,12,9,11,2,15,30,9,6,9,,5,8,,2,,1,1,
2015,46,88,19,108,43,18,47,13,32,10,8,9,6,17,16,4,5,2,20,3,,7,2,2,1,
2016,45,112,18,99,47,23,33,16,26,12,11,8,14,34,18,3,7,,20,4,3,2,2,1,2,
2017,48,126,27,83,56,26,48,12,30,14,12,5,21,48,21,1,3,1,14,6,1,6,2,4,,
2018,58,136,22,116,71,24,49,15,34,14,17,5,24,65,32,2,6,,18,4,1,8,1,1,,
2019,50,117,24,122,71,31,36,20,45,21,12,3,13,74,42,1,5,1,18,2,3,9,4,2,,
2020,117,161,45,187,101,25,43,23,58,19,22,2,18,76,36,3,14,7,10,18,3,3,5,5,4,2
2021,147,209,51,212,123,41,66,39,67,33,22,3,52,106,41,5,14,7,42,13,6,11,5,6,8,
2022,150,233,74,209,163,52,117,44,89,34,20,5,34,93,43,6,23,12,39,9,9,14,9,11,6,
2023,135,272,81,270,181,47,148,37,126,19,21,8,58,121,14,4,24,8,54,17,5,13,8,9,9,1
2024,122,211,71,176,101,33,99,26,102,27,25,4,36,76,13,3,19,12,38,19,7,8,2,3,3,
