,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,1,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,1,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,1,,,,,,,,,,,,,,,,,,1,,,,,
1990,,1,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,1,,,,,,,,,,,,,,,,,,,,,,,
1994,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,1,,,1,,,,,,,,,,,,,,,,,,,,,
1997,,,1,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,1,,,,,,,,,,,,,,,,,,,,
1999,,1,,1,,,,,,,,,,,,,,,,,,,,,,
2000,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
2001,,,1,,2,,,,,,,,,,,,,,,,,,,,,
2002,,,,,1,,,,1,,,1,1,,1,,,,,,,,,,,1
2003,,,2,,1,2,,,,,,,,,1,,,,,,,,,,,
2004,1,2,,,,,,,2,,,,,,,,,,,,,,,,,
2005,,1,5,1,3,,,,3,,,,,,1,,,,,,,,,,,1
2006,3,2,2,4,4,1,2,2,1,1,,,,1,1,,1,,,,,,,,,
2007,1,6,1,3,2,,1,,,,,,,,,,,,,,,,,,,
2008,,,3,3,3,2,1,1,1,,,,,,1,,,,,,,,,,,
2009,3,1,2,,8,2,,,,,,,,,2,,,,1,,,,,,,
2010,1,3,5,2,6,4,,2,,2,1,,,,,,,5,,,,1,,2,,
2011,4,6,2,5,5,4,,,,1,1,,,1,1,,,1,,,,,,,,
2012,7,1,2,1,3,1,,1,,,,,4,2,2,1,,1,,,1,1,1,,,
2013,12,13,5,3,5,,2,1,,1,,,4,1,4,,,1,,,,2,,,,
2014,12,9,12,4,6,6,2,1,,1,,2,1,8,4,,,1,,,1,,,,,
2015,18,19,7,2,14,4,4,6,,2,2,3,2,3,5,1,,1,,,,,,,,
2016,28,14,14,2,15,5,1,6,,2,,,,7,7,,,4,,,1,,1,1,,
2017,20,16,19,8,19,8,7,4,,2,2,,2,5,3,,,4,,,1,1,2,,,
2018,36,15,15,7,29,4,6,6,,5,2,,4,7,2,,,6,2,,2,,1,1,,
2019,33,23,18,12,41,3,6,18,,2,1,1,3,5,3,1,,8,2,,,,,1,,
2020,60,44,28,16,42,7,7,13,,7,3,2,3,13,5,,,8,3,1,,1,3,1,,
2021,64,67,49,25,82,12,30,29,,8,6,1,7,14,8,1,,7,4,10,3,3,5,1,2,1
2022,46,68,60,32,64,13,16,20,2,7,5,,9,14,6,,2,9,6,2,2,3,,,,3
2023,56,56,42,20,52,15,11,16,3,8,13,4,8,9,7,1,,9,2,4,3,4,2,1,,1
2024,66,27,20,15,37,8,12,6,1,3,2,,6,6,4,1,,2,2,4,2,4,1,3,1,1
