,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,4,,1,,1,,,,,,,,1,,,,,,,,,,,,
1981,1,4,1,,2,1,,,,,,,,,,,,,,,,,,,,
1982,,3,2,,3,3,,,,,1,,,1,,,,1,,,,,,,,
1983,,2,3,,,,,,,,,,,,2,,,,,,,,,,,
1984,,7,3,1,3,2,,2,,,1,,3,1,1,,,,,,,,,,,
1985,1,10,2,,2,,,2,,1,1,,1,,3,,,1,,,1,,,,,
1986,1,14,2,1,3,,2,,,,1,2,1,,1,,,,,2,,,,,,
1987,2,5,2,3,5,,1,,,,2,1,,,,,,1,,2,1,,,,,
1988,1,7,4,1,3,,2,,,,,,1,,5,,,,2,3,,,,,,
1989,4,8,,1,1,1,,,,1,1,1,2,2,1,,,2,,2,,1,,,,
1990,1,12,2,1,4,2,2,,,,,1,3,2,3,,,,,3,1,1,,,,
1991,,21,8,3,11,3,,,,1,,4,,3,5,,,,,2,,,,,,
1992,,11,4,2,5,1,,,,,,1,2,,7,,,,,1,,,,,,
1993,3,12,3,2,6,2,4,,,1,1,4,,2,2,,3,,,,,,,,,
1994,3,20,4,2,7,3,2,1,,1,2,2,2,1,5,,,,2,,,,,,,
1995,,26,3,3,6,,5,,,,1,2,4,4,1,,1,1,1,3,,,,,,
1996,3,27,14,2,12,1,5,2,,2,3,,8,2,1,,,1,1,2,,,,,,
1997,1,31,9,1,6,4,5,2,3,2,3,3,2,2,9,,3,1,,1,,,,,,1
1998,4,36,20,4,8,8,4,3,1,2,6,3,1,3,5,,,3,,2,1,,,,,1
1999,4,46,9,13,3,7,4,1,,,7,3,,1,6,,6,,,2,2,1,,,,2
2000,11,32,15,6,10,13,7,2,3,,5,10,6,5,11,,4,1,,9,1,5,,,2,
2001,13,34,11,7,10,14,4,5,2,3,5,6,5,2,10,,5,2,,5,,2,,2,1,1
2002,11,68,19,18,14,7,10,4,1,2,6,4,6,5,7,1,7,4,1,3,1,1,,1,1,
2003,9,47,24,14,22,8,12,,1,3,1,5,6,4,11,,7,2,1,5,,2,,,1,2
2004,20,49,17,12,16,11,7,2,2,7,6,2,8,12,12,,13,1,1,4,2,3,1,,2,
2005,26,76,16,22,31,11,9,7,1,7,15,3,7,4,24,1,11,4,,3,3,2,,1,1,
2006,19,80,14,19,44,7,15,8,2,13,10,1,13,9,16,,13,3,,3,5,6,,,1,
2007,26,76,23,21,38,6,23,9,1,13,11,1,8,8,20,,10,7,2,3,6,5,,4,,
2008,26,81,23,20,23,9,18,9,5,12,12,6,8,10,8,,9,3,,10,2,6,,3,1,1
2009,40,86,17,17,36,9,11,11,4,13,17,3,7,8,12,,6,7,1,8,4,7,,2,,
2010,47,88,24,27,22,10,11,10,4,16,6,,9,25,5,1,1,7,1,11,6,12,,,1,
2011,75,105,31,38,48,12,39,12,2,19,18,3,20,18,4,1,15,10,3,8,6,8,,2,,
2012,71,118,37,40,40,14,32,4,6,11,20,2,13,24,11,,13,14,,10,4,8,,,3,
2013,105,129,40,42,53,9,29,11,4,22,17,3,16,35,17,1,15,10,1,13,5,11,,,1,1
2014,121,149,41,40,35,17,25,21,3,34,20,4,19,18,13,1,9,7,1,18,5,14,,1,8,
2015,108,146,39,31,58,15,31,16,7,19,31,3,29,39,11,1,12,12,4,16,12,7,,2,1,
2016,139,147,48,69,71,19,46,12,16,29,36,10,30,27,20,,3,16,2,24,7,10,1,1,4,1
2017,164,150,59,90,109,21,53,20,22,25,24,15,23,33,20,2,10,13,5,29,6,17,,1,1,
2018,171,135,58,112,130,29,61,17,24,26,34,20,27,32,22,2,8,10,4,20,9,4,,2,2,3
2019,184,124,71,132,133,31,54,16,24,24,13,30,24,33,30,1,8,18,10,18,7,13,,2,10,
2020,268,121,94,153,125,31,63,39,32,32,20,25,25,45,33,2,5,16,12,20,9,7,,3,1,1
2021,279,128,79,155,142,42,77,38,19,34,12,22,34,58,32,1,11,20,15,44,18,4,,7,1,3
2022,260,145,96,132,142,34,72,34,22,18,13,31,38,37,48,1,11,22,11,28,11,17,1,3,1,2
2023,271,152,98,147,136,46,68,23,28,45,13,50,35,39,35,7,11,28,7,37,8,17,1,2,1,4
2024,236,140,99,131,132,55,72,20,22,31,7,23,31,30,23,5,8,29,9,23,12,13,,4,4,
