,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,19,,5,50,4,4,2,,25,,,7,,,2,1,33,,,3,,,,1,4,
1981,10,1,4,56,,9,1,,17,1,1,11,,,3,,22,2,1,5,1,,,,2,
1982,10,2,1,52,1,4,2,1,15,,,13,,,4,,32,,7,5,,,,5,5,
1983,12,1,4,33,3,9,2,1,15,,,13,,,5,1,36,,1,2,1,1,,5,2,1
1984,10,,3,59,2,14,3,,17,,,29,1,1,3,1,29,1,3,5,,1,,,1,
1985,9,,6,44,4,14,3,,26,,,22,1,1,4,3,45,1,3,4,,,,3,3,
1986,23,,3,79,6,14,3,,31,,1,20,,1,4,3,41,1,,4,,1,,,2,
1987,24,1,2,52,4,17,1,,17,,,14,,,3,4,40,,2,7,1,,,3,2,
1988,30,2,6,68,4,13,2,,36,,2,18,2,,4,,38,2,1,4,,,,4,8,
1989,35,,4,78,6,23,2,2,30,,5,37,,,4,1,47,1,1,6,3,,,8,1,
1990,38,1,7,97,4,22,3,1,52,,1,43,,,7,3,62,1,5,5,,2,,7,3,
1991,46,5,9,78,5,28,4,,50,2,1,47,,,,3,64,2,2,12,3,1,,12,6,
1992,35,2,10,76,13,31,8,1,55,3,1,67,,,6,2,59,3,5,6,,1,,1,5,
1993,47,3,12,138,23,36,18,1,73,1,3,89,2,1,6,5,67,2,4,27,1,2,,2,1,
1994,42,3,8,155,15,35,25,,50,,2,94,,1,9,9,42,3,,15,1,1,2,6,2,
1995,62,2,17,175,18,38,32,2,104,3,,83,1,2,7,9,49,7,3,17,3,,,3,3,
1996,86,6,19,207,25,32,48,,95,2,1,121,3,4,9,7,46,2,4,20,1,3,,3,4,
1997,87,10,15,249,35,63,35,2,165,3,3,139,3,1,15,10,66,6,4,33,1,2,,8,4,
1998,91,11,30,272,23,65,60,2,151,5,4,136,3,2,16,7,50,5,4,40,1,2,,7,4,
1999,107,7,23,242,41,74,39,6,173,5,5,149,2,6,10,6,73,6,5,38,,,3,11,3,
2000,142,12,33,353,32,75,43,3,202,6,8,218,3,3,21,13,104,9,3,67,3,3,1,6,6,1
2001,104,11,37,366,45,87,32,1,239,9,11,185,5,9,27,15,111,6,5,51,5,4,,14,9,2
2002,132,18,43,456,68,104,88,4,224,6,12,235,4,12,15,12,98,11,6,56,8,2,1,9,9,2
2003,140,24,41,481,53,93,59,6,278,7,19,234,6,10,22,19,124,5,4,69,2,5,,7,10,
2004,150,22,36,436,37,103,64,5,255,10,12,238,6,10,23,12,138,5,10,44,3,6,1,5,8,
2005,253,32,44,513,39,77,64,4,281,9,24,234,9,12,18,18,129,15,4,64,2,3,2,11,11,
2006,228,41,54,505,65,100,73,7,264,14,19,213,11,11,22,20,118,7,15,65,2,2,,9,15,1
2007,283,26,59,581,66,107,75,15,254,16,16,253,13,16,33,26,118,8,13,67,9,1,1,13,10,
2008,249,37,43,455,39,73,46,7,196,15,14,196,3,11,25,14,91,11,12,58,4,3,1,9,14,1
2009,265,23,47,434,45,100,57,8,235,13,21,193,5,20,17,18,87,19,11,76,5,2,7,9,8,
2010,284,39,42,401,60,97,64,15,232,18,18,213,4,14,13,23,76,17,8,59,8,,4,6,17,
2011,333,40,32,472,52,84,53,14,270,21,19,188,3,18,16,18,96,27,11,73,5,2,3,11,17,1
2012,342,41,43,496,41,101,61,15,291,25,25,190,9,35,19,23,97,22,16,57,7,4,2,7,4,1
2013,405,46,51,502,56,117,58,17,362,29,24,205,22,29,14,35,77,22,12,69,4,9,5,6,21,1
2014,424,90,83,690,77,121,112,17,350,20,37,168,27,33,21,32,97,26,28,89,4,10,6,9,12,
2015,409,83,88,776,79,120,81,13,473,25,20,159,22,44,19,27,104,30,20,88,9,12,10,8,16,6
2016,484,117,90,742,99,98,114,20,450,24,20,190,24,44,34,31,64,25,22,82,7,11,11,10,13,3
2017,529,179,141,853,108,117,114,29,524,43,29,192,60,53,32,44,103,42,31,91,8,13,17,16,20,2
2018,542,231,148,905,124,169,140,21,429,38,40,184,87,64,33,39,98,43,21,83,8,14,8,14,21,1
2019,758,322,232,1044,181,219,248,37,592,41,59,251,80,93,55,45,133,54,37,147,13,22,14,11,34,1
2020,793,422,308,955,210,232,266,63,503,43,66,245,76,87,62,50,117,51,55,133,14,25,16,15,19,2
2021,946,556,474,1007,251,275,239,69,507,68,88,251,104,123,61,56,133,60,41,143,25,15,18,28,22,6
2022,861,473,420,958,247,246,252,54,553,34,84,239,103,141,50,47,149,65,58,138,13,18,10,37,14,5
2023,817,395,241,805,198,220,190,54,465,44,66,207,85,113,52,58,110,50,54,111,14,10,13,17,13,5
2024,664,304,188,685,153,190,161,61,315,41,49,141,79,93,38,49,80,60,37,97,16,20,12,8,12,4
