,Documents
1980,1295864
1981,1285827
1982,1320187
1983,1369725
1984,1424017
1985,1480568
1986,1559614
1987,1644000
1988,1717998
1989,1829075
1990,1989811
1991,1992410
1992,2077806
1993,2173151
1994,2289723
1995,2429071
1996,2632971
1997,2728776
1998,2907556
1999,3009355
2000,3651547
2001,3656608
2002,4262951
2003,4521690
2004,4913944
2005,5251456
2006,5726864
2007,6259079
2008,6653214
2009,7209991
2010,7708357
2011,8376932
2012,8636458
2013,9092061
2014,9613026
2015,9814809
2016,10129019
2017,9974179
2018,9994719
2019,10286400
2020,11000501
2021,10078793
2022,9644982
2023,10084992
2024,9430347
