,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2397,1548,1068,2044,922,1419,645,560,527,194,656,1096,259,131,702,722,794,181,80,563,95,127,23,84,112,45
1981,2687,1620,980,2091,944,1450,721,576,534,253,697,1100,290,170,673,766,814,187,76,537,120,140,25,85,100,38
1982,2732,1820,1104,2141,983,1540,727,629,583,239,872,1108,316,209,777,864,813,229,65,555,135,159,28,93,93,35
1983,2990,1845,1143,2246,1000,1630,850,696,572,258,764,1147,367,178,820,801,860,186,70,568,144,149,35,105,114,51
1984,3527,1937,1283,2464,1137,1739,858,770,640,296,790,1301,359,238,848,937,887,236,98,576,141,195,36,84,144,50
1985,3707,2072,1388,2776,1171,1967,907,832,627,301,940,1379,409,251,867,1000,919,262,80,579,150,204,39,77,160,62
1986,3951,2110,1388,3095,1364,1951,1069,902,738,319,895,1493,504,314,1094,995,913,273,105,631,189,226,52,111,133,64
1987,5112,2127,1554,3123,1412,2393,1118,974,725,414,933,1603,519,285,1023,1225,1206,301,91,713,216,217,63,119,150,65
1988,6107,2389,1572,3102,1554,2832,1237,1054,838,464,974,1692,542,338,1083,1265,1218,459,95,784,273,268,71,142,145,87
1989,6491,2493,1704,3478,1650,2911,1415,1119,903,502,896,1755,612,381,1300,1291,1266,464,89,789,269,297,91,142,165,85
1990,6974,2481,1815,3711,1642,3154,1476,1152,918,663,1007,1920,619,418,1391,1428,1187,546,89,823,262,249,135,147,180,82
1991,7172,2723,1705,3973,1648,3261,1676,1138,958,640,1005,1963,672,431,1444,1323,1172,567,93,802,255,261,132,146,142,79
1992,7542,2732,1709,4231,1746,3415,1802,1157,971,631,1040,2019,705,424,1305,1515,1260,533,88,873,261,309,134,153,126,76
1993,7789,2975,1737,4446,1719,3537,1920,1220,944,795,1074,2180,693,458,1410,1593,1318,523,90,879,244,318,127,142,145,99
1994,8079,3066,1914,4480,1913,3642,2054,1308,988,804,1137,2250,741,551,1379,1518,1211,659,99,865,236,303,140,125,163,89
1995,8792,3089,1900,4469,2142,3653,2092,1270,1068,880,1173,2176,707,534,1380,1519,1272,610,71,924,221,332,121,171,168,109
1996,9142,3234,1907,4575,2222,3943,2219,1339,1175,850,1044,2113,824,574,1550,1726,1537,671,99,1055,255,428,127,169,164,105
1997,9520,3334,1924,4315,2314,3960,2027,1401,1108,960,1174,2238,856,615,1463,1636,1435,646,98,997,289,364,101,163,143,120
1998,10064,3327,1809,4536,2350,4280,2026,1450,1153,1009,1197,2249,1000,715,1358,1727,1446,804,95,918,273,343,138,168,183,114
1999,10589,3376,1926,4304,2298,4332,2193,1459,1073,1017,1262,2108,1001,657,1395,1682,1425,723,69,1047,289,325,120,160,190,114
2000,11022,3433,2000,4763,2761,4575,2391,1512,1208,1044,1289,2395,936,795,1611,1781,1585,737,85,975,283,368,109,155,191,101
2001,11110,3883,1926,4541,2841,4566,2666,1755,1207,1171,1278,2266,1152,869,1672,1736,1708,758,96,1007,268,441,117,162,209,101
2002,11883,4391,2092,11728,3144,4818,8785,1806,1744,1412,1497,3066,1303,1017,2056,1966,1476,731,123,1201,300,608,127,205,198,124
2003,13456,4757,2298,8891,3430,5557,6110,2074,1583,1453,1486,3114,1534,1222,1943,2120,1642,831,98,1331,308,618,144,201,217,107
2004,14794,5327,2514,8520,3454,5908,5806,2277,1596,1609,1520,3258,1521,1213,2021,2153,1706,931,141,1308,357,654,129,220,211,149
2005,16182,6885,2757,10149,4298,6050,7171,2511,1905,2019,1875,3630,1630,1535,2171,2313,1879,1021,163,1506,361,751,142,179,241,146
2006,18239,6748,2965,11454,4464,6875,7647,2837,2211,2138,2033,4020,1774,1544,2391,2498,2386,1055,208,1566,371,865,149,227,243,180
2007,18882,7542,3026,10882,4741,7026,7737,2966,2231,2260,2043,3888,1977,1741,2715,2572,2496,1113,226,1649,447,937,155,238,259,154
2008,20929,8623,3027,11338,5047,7256,7962,3232,2347,2427,2414,4255,2089,2000,2734,2850,1802,1330,233,1912,486,1048,190,240,293,151
2009,21867,10083,3248,11947,5560,7761,8673,3617,2570,2773,2999,4249,2571,2306,2736,2945,1924,1272,261,1935,496,1126,205,282,260,154
2010,23403,9988,3276,13166,5807,7896,8407,3995,2653,2907,2746,4314,2405,2271,2950,3855,2020,1341,322,1883,524,1155,224,264,264,208
2011,24792,11130,3554,13618,6532,8520,8952,4299,2900,3223,3102,4411,2624,2679,3287,3289,2050,1395,405,1885,575,1176,219,257,307,166
2012,27561,11002,3688,13738,6483,8720,8404,4331,2899,3376,2931,4766,2709,2645,3125,3451,1949,1442,450,1953,573,1180,240,269,247,225
2013,29659,12098,3859,14033,6998,8963,8461,4773,2944,3725,3778,4726,2660,2721,3373,3707,1891,1460,487,2012,675,1289,264,276,276,217
2014,30958,12393,4085,15374,7523,9146,8485,5153,3138,3687,3459,4899,2780,2724,3528,3857,2006,1603,570,2093,654,1428,268,301,271,257
2015,32325,12897,4166,15332,7368,9219,8456,5314,3111,3982,3710,4787,2707,2815,3745,3878,1973,1536,563,1951,701,1441,268,290,285,255
2016,33834,13396,4469,16054,8565,9419,8101,5503,3114,4249,3768,4913,2714,2676,3387,4046,3073,2195,648,2007,861,1389,302,355,455,363
2017,35018,14315,4311,15868,8085,9342,8244,5898,3164,4618,3958,4486,2936,2927,3546,4055,1998,1553,734,1908,741,1488,301,324,377,297
2018,36996,14999,4569,17476,8830,9953,9170,6236,3183,4807,4172,4606,2919,2967,3933,4381,1755,1713,770,1960,780,1469,318,325,326,307
2019,39349,15681,4855,17974,9231,10513,9643,6513,3286,4870,4248,4872,2895,3061,4253,4688,1873,1833,877,2119,838,1662,335,359,314,336
2020,45468,16737,5077,20491,10994,10664,10628,7728,3572,5739,3892,5052,3493,3235,4392,4934,1843,1971,1118,2704,896,1792,433,378,374,351
2021,46022,19351,5422,21812,11934,10993,11688,8768,3456,6196,4710,5084,3881,3508,4924,5190,2346,1920,1121,2716,808,1782,463,374,392,334
2022,42751,16072,5267,19026,11206,10714,9886,7861,3203,5868,3908,4540,3091,3179,4523,4841,1605,1893,1156,2236,762,1620,414,337,384,298
2023,42752,16521,5144,20083,11651,10855,10966,7887,3346,5805,3596,5308,3265,3220,4462,4921,2246,1946,1183,2349,761,1691,446,381,351,365
2024,38917,12891,4237,16244,8908,9240,8783,6823,2771,5139,2452,3803,2314,2471,3373,4402,1467,1728,901,1635,805,1275,395,312,300,290
