,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,2,,1,,,,,,,,,1,,,,,,,,,,,1,1,
1981,1,1,3,3,1,,,,,,,1,,,,,,,1,,,,,,,
1982,3,3,2,1,,,,,,,,,,1,2,,,,,,,,,,,
1983,3,1,6,1,,2,,,1,,,,,,,,2,1,,,,,,,,2
1984,4,1,,1,,1,1,,,,,,,,2,,1,1,,,,,,,,
1985,3,4,2,1,,2,,,2,,4,1,,,1,2,,,,,,,,,,1
1986,8,3,6,1,1,1,,1,1,1,,1,,,,,,6,,,1,,,,,1
1987,5,1,1,3,2,1,,,,,1,,,,1,,1,2,,1,,,,,,
1988,11,1,2,1,,2,1,,2,3,,3,1,,,1,2,5,,1,,,,,,2
1989,8,2,1,1,1,1,,,1,2,,1,1,,,,,2,,,,,,1,,
1990,14,4,2,1,1,2,1,,,3,1,2,1,,1,,,8,,1,,,,,,
1991,9,4,2,1,,2,1,,,,1,2,,,7,1,,2,,,,1,,1,,
1992,8,2,1,2,3,5,,1,1,,1,2,,1,3,,,3,,,,,,,,
1993,12,4,2,2,,2,2,,1,,1,,1,,2,,,2,,,1,,,,1,
1994,9,2,3,1,1,4,,,,1,1,,,,3,,,2,,,,,,,,
1995,10,4,1,2,,1,,,,1,1,,,,2,,3,,,,2,,1,,,
1996,11,2,6,,2,4,,1,,,,,,,,,,1,,,,,,1,,
1997,19,1,2,,1,,,,,,1,,2,1,2,,1,3,,,1,,,,,
1998,18,1,4,,2,5,,,,1,,,,,5,1,,,,,,,,,,
1999,20,5,1,,1,2,,3,,,,,,,,,2,2,1,,,,1,,1,
2000,14,3,3,,,2,,,,1,1,,,,2,,1,4,,,,,,,,
2001,7,2,3,,,1,,2,,,2,,1,1,,,,2,,,,,,1,,
2002,9,,7,2,1,2,1,,1,,,1,,,1,1,3,1,,,,,,,,
2003,20,4,3,3,2,,,1,,2,,,1,,1,,3,1,,,,,,,,
2004,17,,2,,1,3,,2,,1,,,1,,,,,4,,1,,,,4,,
2005,21,7,2,1,5,3,,1,,2,1,,3,,2,,,6,,,,,1,,1,
2006,32,10,5,3,6,2,3,1,,,4,,,1,5,,1,3,1,,1,,,2,,
2007,44,9,7,4,4,1,,1,,3,1,,3,1,5,,2,4,,,,,1,,,1
2008,55,10,16,4,10,5,,1,1,4,1,,,2,,,,3,1,1,1,,,2,1,1
2009,48,10,13,5,8,3,2,3,,8,13,3,,1,7,2,,5,,,4,1,,1,,
2010,71,11,22,4,9,5,3,5,,10,4,2,2,7,6,1,1,4,,,3,2,,3,,
2011,79,14,18,2,8,14,2,3,1,8,2,2,4,3,4,1,4,4,,,6,,,4,,1
2012,115,24,46,6,24,15,7,5,1,11,5,,2,1,1,,5,10,,,5,1,,6,,
2013,118,24,68,14,29,23,6,4,2,7,2,1,8,3,4,5,3,13,1,1,2,,1,2,,
2014,185,32,84,10,43,32,6,7,1,17,5,1,6,7,11,3,7,9,3,2,7,,,2,,1
2015,175,61,99,12,48,26,16,4,7,15,6,,13,5,10,2,6,9,,3,6,1,2,5,,
2016,207,64,112,19,51,26,9,10,3,17,3,3,13,10,11,4,8,14,,2,15,2,2,,1,
2017,281,76,113,23,57,23,14,5,4,22,10,3,12,14,13,6,9,31,1,8,24,3,1,3,2,1
2018,316,82,132,20,63,36,9,7,5,36,12,3,22,12,16,4,10,17,2,1,17,2,4,4,,1
2019,375,103,150,32,74,40,16,11,8,31,26,3,16,22,14,4,6,32,2,3,22,3,2,5,,2
2020,513,133,196,52,122,46,25,30,7,51,19,2,45,18,11,5,8,36,1,11,23,3,3,10,,1
2021,585,148,205,63,157,42,25,37,8,84,33,4,35,22,18,2,7,41,6,20,26,4,4,8,,
2022,606,322,276,83,191,53,38,39,8,96,46,10,78,39,42,5,14,33,3,29,35,7,3,5,,
2023,644,203,254,77,160,73,39,26,8,82,16,10,59,33,33,9,12,47,2,17,37,7,2,8,,2
2024,550,143,172,68,151,76,34,21,11,48,11,5,32,22,20,10,6,73,,17,32,8,2,6,2,1
