,Documents,Share
1980,8,6.1734873412642065e-06
1981,11,8.554805584266002e-06
1982,13,9.84708984409027e-06
1983,21,1.5331544653123803e-05
1984,12,8.426865690507908e-06
1985,24,1.6209995082968157e-05
1986,32,2.051789737717153e-05
1987,19,1.1557177615571776e-05
1988,38,2.2118768473537223e-05
1989,24,1.3121386493172778e-05
1990,42,2.110753232342167e-05
1991,37,1.8570474952444527e-05
1992,34,1.636341410122023e-05
1993,33,1.5185323063146555e-05
1994,27,1.1791819359809025e-05
1995,28,1.1527040584651498e-05
1996,28,1.0634374628509011e-05
1997,36,1.3192728168233669e-05
1998,37,1.2725464273087088e-05
1999,40,1.329188480588033e-05
2000,31,8.489552510210056e-06
2001,23,6.289982409927452e-06
2002,30,7.037378567100584e-06
2003,41,9.067406213163663e-06
2004,38,7.733095859456275e-06
2005,58,1.1044556024081703e-05
2006,81,1.4143866521013944e-05
2007,92,1.4698648155743041e-05
2008,121,1.8186698939790605e-05
2009,137,1.9001410681372556e-05
2010,178,2.309182099376041e-05
2011,187,2.2323208544607977e-05
2012,295,3.4157521520975383e-05
2013,345,3.794519196472615e-05
2014,485,5.045237576596589e-05
2015,533,5.430569255091974e-05
2016,613,6.0519187494860066e-05
2017,768,7.699881864963522e-05
2018,842,8.424448951491282e-05
2019,1015,9.867397729040287e-05
2020,1395,0.00012681240608950446
2021,1595,0.00015825307653406513
2022,2091,0.00021679667209332273
2023,1895,0.00018790297503458605
2024,1557,0.0001651052713118616
