,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,,1,,,,,,,,,,,,,,,,,,,,,,,
1981,1,,,,1,,,,,,,,,,2,,,,,1,,,,,,
1982,4,2,,,,1,,1,,,1,,,,,,,1,,1,,,,,,
1983,3,,,,1,,,,,,,,,,1,,,,,,,,,,,
1984,4,,,,,,,,,,,,,,,,,,,,,,,,,
1985,4,,,,,,1,,,,,,,,,,,,,,,,,,,
1986,3,,,,,,,,,,,,,,,,,1,,2,1,,,,,
1987,7,,1,1,,1,,,,1,,,,,,,,2,,,1,,,,,1
1988,8,,1,,1,,,,,,,,1,,,,,5,,,,,,,,
1989,9,,2,,3,,,1,,1,,,,,1,,,8,,,,,,,,1
1990,5,,3,,,,,,,,,,2,,1,,,6,,,1,,,,,1
1991,7,,1,,,,,,,1,,,,,,,,1,,,,,,,,
1992,8,2,,,,1,,,,1,,,,,4,1,,2,,,,,,,,
1993,2,,1,,,,,1,,,,,,,,,,2,,,,,,,,
1994,3,,1,1,,,,,,1,,,1,,1,,,3,,,,,,,,
1995,4,,2,,,2,,,,,,,,,1,,,2,,,,,,,,
1996,2,,,,,,,,,,,,,,,,,1,,,,,,,,
1997,4,,1,1,,1,,,,,,,,,,,,3,,,,,,,,
1998,6,,,,,1,,,,,,,,,1,,,3,,,,,,,,
1999,4,,,,,2,,,,1,,,,,1,,,2,,,,,,,,
2000,9,,,,,,,,,,,,,,,,,2,,,,,,,,
2001,8,,,,,1,,1,,,,,,,1,,,3,,,,,,,,
2002,10,1,2,,,2,,,,,,,,,,,,,,,,,,,,
2003,3,,4,,,2,,1,1,,,,,,,,,2,,,,,,,,
2004,7,,1,1,,1,,3,5,1,,,,,,,,3,,,,,,,,
2005,11,1,1,,2,1,,1,,,,,,,,,1,,,,1,,,,,
2006,10,,1,1,,5,1,,,,,,,,,,,2,,,,,,,,
2007,9,,2,,1,1,,1,,1,,,,,1,,,3,,,,,,,,
2008,9,1,1,,1,1,,1,,,,,1,,1,,,2,,,,,,,,
2009,10,,4,,2,3,,,,2,,,,,,,,2,,,,,,,,
2010,12,,1,,1,1,1,,,3,,1,,,,,,2,,,,,,,,
2011,14,1,6,,4,4,,1,,,,,,,3,,,3,,,,,,,,
2012,12,,6,,3,,,1,2,3,,,,,1,,,5,,1,,,,,,
2013,20,,9,,6,2,,2,,1,,,,,1,,,2,,,,,,,,
2014,27,3,8,1,7,3,,3,1,1,,,,,1,,1,2,,1,,,,,,1
2015,25,2,10,,3,1,1,,,2,,,1,,,,,1,1,,1,,,,,2
2016,26,1,10,,3,8,1,1,1,3,,,,,1,,,8,,,,,,,,
2017,31,3,8,1,5,6,,4,,2,,,1,,1,,1,2,1,,2,,,,,
2018,30,2,12,2,8,4,,2,1,1,,1,1,,,,,8,,3,3,,,,,1
2019,40,4,6,5,7,7,2,1,1,1,1,1,2,2,1,,1,6,,,1,,,1,,
2020,53,2,9,5,6,5,3,5,,2,1,,2,,1,1,1,5,1,3,1,,,1,,
2021,39,5,15,4,5,6,2,2,3,2,,1,,1,1,1,1,2,4,2,2,,,,,
2022,59,16,12,5,7,9,3,3,1,1,1,1,1,3,3,,,18,,5,4,,,,,
2023,76,13,10,6,10,4,4,4,,,1,,4,2,3,,1,15,2,5,,1,,,,
2024,64,10,11,4,9,12,1,5,2,2,1,2,4,,1,,3,12,7,1,3,,,,1,1
