,Documents,Share
1980,4,3.0867436706321032e-06
1981,8,6.221676788557092e-06
1982,6,4.5448106972724315e-06
1983,10,7.300735549106572e-06
1984,11,7.724626882965582e-06
1985,9,6.078748156113059e-06
1986,8,5.129474344292883e-06
1987,25,1.5206812652068127e-05
1988,21,1.2223529945902148e-05
1989,28,1.5308284242034908e-05
1990,27,1.3569127922199646e-05
1991,31,1.5559046581777848e-05
1992,32,1.5400860330560216e-05
1993,28,1.2884516538427381e-05
1994,33,1.4412223661988808e-05
1995,24,9.880320501129856e-06
1996,26,9.874776440758368e-06
1997,9,3.2981820420584172e-06
1998,19,6.53469786996364e-06
1999,33,1.0965804964851271e-05
2000,34,9.31112210797232e-06
2001,36,9.845189859016881e-06
2002,52,1.2198122849641012e-05
2003,61,1.3490531195194716e-05
2004,97,1.9739744693875225e-05
2005,107,2.0375301630633486e-05
2006,129,2.252541705198517e-05
2007,134,2.1408900574669213e-05
2008,153,2.2996404444528613e-05
2009,198,2.7461892809574935e-05
2010,147,1.907021171956618e-05
2011,197,2.3516963012234074e-05
2012,197,2.2810277083498815e-05
2013,240,2.6396655279809495e-05
2014,259,2.6942608914196216e-05
2015,263,2.6796242290603924e-05
2016,355,3.504781657532679e-05
2017,370,3.7095785026516967e-05
2018,444,4.4423460029241444e-05
2019,585,5.6871208586094264e-05
2020,705,6.40879901742657e-05
2021,771,7.649725517728164e-05
2022,811,8.408517506823755e-05
2023,822,8.150725355062255e-05
2024,639,6.77599668389721e-05
