,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,871,101,164,471,147,539,71,55,223,76,50,676,30,12,112,152,370,86,13,76,16,22,17,36,34,11
1981,950,107,179,537,123,632,80,68,228,59,54,847,55,15,102,176,417,52,25,94,33,16,14,27,40,14
1982,1103,111,165,490,116,648,109,57,205,73,61,752,36,22,123,166,390,87,24,87,29,23,23,59,35,16
1983,1062,104,185,561,140,648,114,55,206,58,58,856,47,20,94,201,425,85,15,156,25,17,21,39,32,9
1984,1182,139,215,549,131,684,125,50,211,55,68,937,78,29,157,190,426,105,29,111,33,21,18,38,23,13
1985,1405,143,231,603,165,770,173,67,235,79,66,957,52,23,125,272,407,157,23,116,32,28,28,47,28,24
1986,1368,148,196,570,182,761,144,63,227,70,83,956,96,34,120,235,371,153,17,122,53,22,40,66,40,9
1987,1720,156,231,611,203,894,190,77,311,82,70,1079,70,35,132,237,542,167,40,118,54,32,29,51,37,10
1988,2234,196,256,659,195,1051,192,87,282,88,95,1080,85,48,119,310,565,245,21,140,78,26,32,77,45,26
1989,2193,202,296,842,193,1057,240,80,327,101,113,1215,89,49,163,279,598,254,21,186,48,37,26,59,54,20
1990,2829,231,346,909,231,1159,312,132,337,151,155,1338,117,69,173,346,625,279,25,190,52,40,74,89,58,23
1991,3065,255,343,951,233,1209,368,117,402,149,140,1416,92,73,186,344,650,310,33,173,59,36,78,87,51,28
1992,3334,252,390,971,286,1339,376,118,357,147,139,1565,138,123,214,326,645,270,33,163,60,49,86,67,52,30
1993,3458,255,381,1136,298,1380,420,143,483,184,144,1523,127,71,237,354,589,342,35,178,77,38,64,88,55,30
1994,3532,318,445,1227,273,1548,492,139,499,166,155,1710,143,134,221,385,712,337,37,214,58,63,99,74,60,34
1995,3463,335,361,1254,339,1569,563,157,507,176,204,1823,164,108,233,393,646,364,34,199,64,55,80,69,48,28
1996,3774,357,420,1489,388,1705,609,156,530,173,158,1880,199,129,248,452,756,352,45,269,63,62,85,86,66,38
1997,3970,401,498,1424,451,1647,655,189,626,205,201,1853,262,199,353,463,727,435,49,233,77,65,82,72,83,46
1998,4329,381,541,1630,459,1860,743,176,631,173,156,2019,305,289,350,509,804,430,53,213,91,53,84,102,96,42
1999,4331,511,610,1741,540,1921,734,169,739,197,185,2215,346,246,385,548,890,465,54,236,90,73,70,85,73,44
2000,4545,639,595,1845,587,2062,850,247,774,322,234,2149,436,295,454,594,870,466,59,245,109,70,68,98,88,69
2001,4695,638,671,1907,634,1990,847,255,802,329,225,2127,514,290,449,589,902,435,45,230,90,95,92,95,78,50
2002,4761,843,635,3561,638,2117,2162,251,793,327,302,2458,493,427,522,662,796,472,53,312,100,136,85,107,79,58
2003,5350,939,775,2963,771,2335,1726,342,856,348,301,2646,717,436,571,705,910,471,84,319,96,161,103,107,109,88
2004,6197,1035,723,2929,827,2441,1659,379,896,452,353,2594,670,444,661,761,975,546,77,342,103,162,148,104,120,72
2005,6561,1152,802,3082,982,2462,2043,488,965,503,380,2758,708,486,650,773,973,560,98,352,117,190,156,106,139,97
2006,7510,1309,1011,3779,1424,2724,2102,577,2623,547,442,3236,870,575,841,814,1735,596,124,421,121,222,153,116,133,97
2007,7816,1479,984,3760,1181,2818,2392,607,1308,602,488,3033,1024,686,919,941,1078,652,122,457,137,257,172,128,118,106
2008,8654,1903,1030,3829,1332,3017,2449,733,1209,687,549,3143,1138,759,973,967,999,683,117,513,153,330,202,142,94,109
2009,9186,2147,1117,3954,1518,3292,2746,840,1399,696,742,3125,1233,775,1124,1086,1019,686,185,474,163,345,230,129,95,112
2010,9908,2345,1278,4541,1752,3490,2918,890,1458,761,715,3418,1283,877,1133,1223,1080,752,186,522,142,338,233,166,112,157
2011,10710,2449,1262,4489,1784,3731,2944,970,1456,788,806,3555,1423,1005,1187,1279,1056,786,229,640,172,407,262,158,106,116
2012,11909,2866,1361,5016,1970,3972,3051,1115,1886,847,849,3994,1502,1208,1372,1286,1277,851,271,580,190,411,306,158,164,107
2013,12954,3076,1490,5315,2143,4158,3009,1283,1516,908,1026,4134,1454,1214,1430,1474,1090,859,264,662,202,470,321,207,134,127
2014,13210,3448,1471,5643,2334,4396,3319,1288,1671,904,1079,4067,1517,1218,1481,1492,1145,978,300,741,201,489,309,212,179,141
2015,14173,3776,1555,6005,2502,4424,3148,1522,1752,1110,1126,4356,1540,1226,1553,1576,1147,1050,328,731,207,559,321,198,152,135
2016,14938,3980,1664,5806,2711,4531,3053,1499,1646,1125,1195,4493,1486,1317,1586,1544,1435,977,347,783,252,462,336,214,201,157
2017,15932,4277,1684,5998,2804,4666,3376,1714,1603,1325,1331,4388,1515,1406,1717,1763,1064,1062,343,842,271,574,323,192,179,146
2018,16371,4488,1860,6148,3064,4771,3484,1872,1752,1367,1448,4340,1569,1389,1882,1802,998,1085,326,753,276,548,403,182,205,167
2019,17674,4765,1958,6845,3563,5663,3802,1902,2401,1336,1480,4458,2019,1644,1916,1875,1201,1271,426,801,288,655,411,211,203,154
2020,20680,5648,2316,6576,4089,5729,4272,2290,1845,1656,1711,4726,1835,1544,2655,2147,1245,1319,458,1092,348,643,541,186,185,188
2021,21682,6128,2428,6728,4821,5836,4322,2528,1804,1691,1822,4780,1663,1454,3385,2279,1188,1258,433,1093,319,729,581,205,176,159
2022,20988,5963,2429,6781,4791,5732,3835,2607,1603,1612,2013,4531,1635,1447,3086,2176,1040,1322,414,1000,317,630,525,162,163,186
2023,21227,5682,2491,7102,5090,5967,4238,2617,1755,1662,1710,5157,1673,1657,3111,2195,1249,1228,446,961,269,679,540,185,186,214
2024,18457,3896,2002,5407,3814,4792,3077,2063,1262,1419,905,3541,1058,897,2133,1880,898,1047,342,699,333,511,491,149,139,154
