,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,11,5,5,,2,15,2,6,1,1,1,,2,,1,3,3,1,,1,,,,2,,
1981,15,7,5,1,,11,,5,,,1,1,,,,1,2,1,,,,,,3,,
1982,13,4,2,1,,7,2,4,,3,2,,,,1,1,1,2,,2,,,,,,
1983,13,8,2,2,2,5,1,7,1,2,2,1,,,1,5,,3,,2,,,,2,,
1984,12,7,2,,,11,3,8,1,2,1,,,,1,3,3,,,2,,,,1,,
1985,10,4,4,2,,9,,5,,1,,,,,,4,2,1,,,,1,,,,
1986,18,6,2,3,1,12,1,8,,,,,,1,,4,2,1,,4,1,1,,1,,
1987,15,8,7,2,1,9,2,4,3,2,1,1,1,,2,1,3,2,,3,1,,,1,,1
1988,30,9,11,2,1,11,1,10,1,1,,1,,,3,4,,6,,3,1,,,1,,
1989,31,8,11,3,1,10,2,6,1,4,1,,,,2,3,,4,,3,1,,,2,,
1990,46,14,12,3,6,14,1,5,1,7,2,1,,,8,1,1,6,,2,2,,,,,1
1991,51,14,18,3,3,12,4,5,2,1,1,7,,1,3,3,6,10,,1,1,,,1,1,
1992,60,15,25,1,3,14,1,13,3,5,2,4,2,1,4,5,3,7,,1,2,,,,,1
1993,54,19,19,11,4,19,5,12,,1,,8,4,1,3,10,2,5,,2,,,,1,,
1994,68,7,32,5,9,21,4,9,2,4,2,11,4,1,2,4,2,10,,4,3,1,,1,,1
1995,59,16,27,5,6,17,2,12,,2,2,12,2,1,3,1,3,10,,2,2,2,,,,1
1996,56,21,22,10,9,24,5,9,6,6,2,8,2,2,3,2,,4,1,3,2,2,,1,,2
1997,70,17,27,7,8,19,2,12,2,10,4,9,3,,8,3,7,17,,4,2,2,,,1,
1998,78,21,30,7,4,37,5,19,,6,1,8,3,,5,4,3,13,,4,1,,,1,,
1999,86,22,34,10,4,41,5,17,1,6,3,7,1,2,5,6,3,15,,,1,,,2,,
2000,96,25,48,8,17,29,7,18,2,2,1,8,8,1,13,6,1,17,1,2,2,1,,1,,1
2001,96,27,51,14,16,41,6,23,,8,3,4,8,5,14,4,3,32,,8,2,,,2,,
2002,104,24,86,13,11,42,14,22,3,5,3,17,4,1,10,4,6,21,,5,3,1,,7,1,1
2003,110,28,116,15,18,42,17,19,10,14,2,29,7,2,19,3,2,26,,4,6,2,,2,,
2004,134,31,100,21,31,46,26,20,12,15,7,22,7,1,13,7,8,26,2,11,6,2,1,3,3,2
2005,170,42,101,19,23,58,23,25,8,15,,52,8,5,13,5,4,22,1,12,6,4,,5,,3
2006,168,46,113,27,31,53,29,22,11,6,5,32,10,8,27,7,11,29,2,6,8,4,1,9,1,1
2007,188,48,120,18,33,65,26,21,9,19,8,37,7,7,29,10,7,22,2,4,12,3,,9,,2
2008,194,73,129,25,30,69,32,20,12,21,7,54,16,4,19,3,12,32,2,8,9,5,2,13,1,2
2009,196,52,141,44,44,78,23,14,15,20,8,40,17,9,29,9,13,27,1,11,10,5,,7,2,5
2010,289,54,145,32,43,71,32,22,8,20,14,39,19,9,37,3,9,32,,12,12,1,,9,,1
2011,288,87,161,39,45,84,60,23,16,23,17,50,38,16,30,9,13,35,2,10,21,6,1,11,,3
2012,354,102,219,71,68,91,74,28,12,28,13,53,43,26,43,6,17,40,5,13,9,6,1,8,2,3
2013,466,105,244,81,89,111,93,25,23,37,26,62,45,30,55,11,18,45,4,19,23,9,2,19,,3
2014,510,148,293,105,131,107,94,28,30,50,20,87,54,33,56,15,21,48,4,20,31,9,2,20,3,7
2015,574,145,285,107,122,126,105,34,36,32,33,100,53,40,62,12,29,48,7,19,28,3,2,26,,9
2016,612,194,308,145,151,128,134,43,37,57,27,95,68,67,69,7,30,49,8,30,28,9,3,15,2,5
2017,765,203,402,144,157,134,159,37,32,80,32,119,80,55,77,14,40,68,14,47,36,20,1,26,4,2
2018,821,246,421,182,172,121,138,60,46,87,37,148,82,95,94,12,35,68,18,34,36,16,3,22,1,10
2019,895,259,531,208,210,160,149,60,63,113,33,133,118,103,99,14,60,94,17,34,40,25,5,31,3,5
2020,1217,375,694,279,289,203,232,90,99,133,81,171,232,119,123,20,58,92,23,77,62,21,8,44,,15
2021,1160,453,733,426,368,222,273,96,98,105,105,189,202,150,147,19,65,97,51,89,71,19,23,52,7,8
2022,1116,458,715,481,401,214,291,63,121,117,81,185,253,107,201,24,54,92,57,81,82,32,12,52,12,11
2023,1141,468,806,525,429,234,329,88,124,129,82,199,292,125,179,21,59,91,84,79,75,30,15,46,3,10
2024,923,343,594,438,374,186,267,74,98,115,67,115,201,86,129,27,51,79,64,74,72,27,6,39,5,6
