,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,72,76,82,12,12,16,4,8,4,9,21,5,16,7,17,2,4,5,4,9,2,3,,1,,5
1981,98,108,69,13,23,12,5,5,6,18,31,8,20,14,8,4,1,13,2,7,3,1,1,1,1,2
1982,110,107,86,15,21,16,6,13,6,16,30,5,13,11,18,2,4,10,7,3,4,3,,,1,1
1983,123,168,101,32,21,29,11,13,7,23,49,6,20,15,5,3,1,8,12,3,3,1,2,1,,1
1984,112,135,91,21,16,22,10,8,3,35,37,2,15,16,15,3,3,10,10,7,3,1,1,1,,2
1985,97,134,131,26,21,26,8,11,2,18,39,10,12,16,17,5,7,9,6,3,1,,,,,3
1986,113,125,122,20,43,20,3,20,3,31,54,7,15,12,19,2,3,11,14,2,2,5,1,,,
1987,80,140,89,43,24,22,10,7,4,24,48,3,14,15,9,8,6,7,9,4,1,3,1,1,1,3
1988,82,151,108,23,24,26,8,11,7,11,32,4,8,13,26,12,5,12,6,4,3,,,1,1,1
1989,130,148,123,24,31,26,7,16,8,32,55,6,23,21,19,11,8,4,11,4,2,,2,3,1,
1990,161,135,101,17,27,31,12,15,6,30,43,15,17,13,45,5,12,12,8,7,5,2,3,4,2,1
1991,206,151,102,35,19,32,14,10,15,46,60,22,29,16,8,5,8,9,8,6,1,4,10,4,2,1
1992,184,157,118,32,29,41,18,32,8,47,68,26,16,19,19,10,9,14,11,6,1,5,5,,2,2
1993,211,273,154,35,49,43,22,44,16,60,95,20,25,27,23,15,10,17,13,16,6,,8,2,3,1
1994,195,234,129,32,31,39,22,41,11,48,79,19,34,30,11,11,12,14,12,18,5,4,6,5,1,1
1995,203,283,155,49,57,55,31,23,12,67,117,30,29,28,32,8,15,20,10,17,6,3,10,4,2,4
1996,233,285,135,48,62,52,30,24,20,57,117,48,36,41,18,9,21,16,9,13,6,6,13,2,4,5
