,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,23,38,42,,9,11,2,3,,8,18,4,4,,,,,2,2,,5,,,1,,
1981,10,31,25,5,9,11,4,8,1,4,15,1,4,2,1,2,2,4,1,,2,,,2,,1
1982,19,33,19,,6,12,1,3,,5,13,1,2,1,2,,2,1,1,,3,,1,,1,4
1983,20,38,31,,23,16,2,2,,2,14,,4,2,5,,,3,2,1,3,2,,,,7
1984,22,50,43,1,16,13,4,4,,7,29,1,6,3,9,,1,3,,1,4,,,1,,2
1985,34,47,66,7,20,23,3,7,,3,25,,4,1,4,1,2,7,3,,,1,,1,,2
1986,47,41,57,1,20,19,2,8,1,11,14,1,4,3,,1,3,9,1,2,3,1,1,2,1,3
1987,31,57,47,7,21,21,,5,1,9,33,2,8,3,6,,,5,1,3,1,,1,,,2
1988,33,45,50,3,18,16,6,8,,2,27,3,10,6,3,,1,1,2,5,1,3,,1,,3
1989,23,55,64,5,15,14,6,6,1,2,21,5,7,6,8,,3,4,,1,1,1,1,,,1
1990,24,71,34,4,16,19,9,15,1,4,19,6,7,7,4,1,1,3,2,2,2,,,1,1,3
1991,30,43,45,4,15,23,5,13,5,7,20,1,2,1,2,,1,,2,2,4,2,1,,,
1992,35,74,65,5,27,21,11,10,,2,44,5,6,2,11,2,5,5,,4,1,,1,,,2
1993,43,101,68,12,20,40,13,10,3,14,30,8,17,10,5,1,2,5,3,4,1,,1,1,,1
1994,53,92,75,7,24,35,8,5,1,14,43,7,11,8,6,1,2,7,1,10,1,1,1,1,,1
1995,62,113,68,6,23,35,12,14,2,5,36,9,13,10,7,3,5,11,,9,2,,,1,1,1
1996,52,89,68,7,33,52,10,5,1,7,21,5,6,14,10,5,5,13,2,4,4,2,,5,,
1997,73,88,89,5,37,35,6,11,11,17,23,7,9,11,6,3,8,9,,6,3,2,,1,,
1998,49,92,100,14,26,38,6,11,4,5,28,11,13,13,7,2,10,4,4,6,2,1,,1,,5
1999,75,101,68,13,26,48,7,10,6,13,35,11,12,10,4,5,4,22,2,3,3,1,,3,,5
2000,100,112,113,7,35,49,17,8,7,12,37,16,15,14,13,3,14,6,7,17,2,5,4,3,1,4
2001,90,102,116,10,64,58,9,4,13,27,51,14,14,8,24,7,14,10,2,12,3,,,1,,4
2002,133,171,128,20,64,39,22,23,6,31,75,11,19,23,11,2,13,17,8,14,4,3,1,2,1,6
2003,129,166,125,18,49,54,11,28,4,33,72,21,18,23,16,4,6,8,1,7,8,2,2,2,,3
2004,159,169,158,25,93,64,16,37,3,39,76,25,20,24,19,3,6,10,3,5,4,,1,2,1,2
2005,135,212,182,28,81,72,26,21,11,30,94,19,23,20,14,3,13,12,3,14,9,2,1,3,1,6
2006,139,247,221,27,110,75,32,34,6,35,143,15,30,31,40,5,4,9,5,13,2,3,,,,2
2007,151,261,221,39,120,73,34,43,10,48,103,20,29,22,30,6,4,15,7,14,5,1,3,7,,9
2008,185,276,189,39,124,77,42,32,9,50,76,13,25,32,34,12,5,12,10,13,4,2,4,2,,4
2009,324,354,236,48,165,110,52,44,13,112,123,33,43,55,47,6,9,15,6,11,6,8,8,5,2,4
2010,280,380,228,45,129,83,74,64,10,117,115,23,38,45,38,6,12,12,9,12,5,4,12,6,4,9
2011,335,948,380,196,206,108,214,114,9,194,208,43,74,102,81,16,7,11,32,17,8,12,24,11,1,6
2012,307,631,255,79,165,115,112,94,13,157,252,26,32,59,38,12,12,17,17,15,7,6,13,5,2,7
2013,359,795,402,84,209,109,126,95,13,177,284,36,71,90,35,10,15,21,16,13,6,5,23,6,4,7
2014,409,824,355,96,229,160,148,81,26,239,304,24,57,80,47,23,16,19,15,21,9,10,25,7,2,9
2015,508,862,431,128,328,132,124,123,26,318,499,56,55,90,47,18,10,32,20,18,6,11,38,10,1,11
2016,432,979,534,145,425,183,147,105,27,256,391,56,93,118,82,17,16,30,24,20,12,19,46,11,2,8
2017,527,872,435,129,318,133,172,133,21,366,287,59,104,102,72,7,9,40,17,17,19,8,44,9,3,14
2018,704,874,430,157,348,181,165,119,33,391,249,23,86,121,86,16,29,38,20,13,13,10,40,13,1,17
2019,788,1018,440,173,453,179,189,153,28,440,260,53,145,137,85,31,25,49,31,24,19,15,36,11,2,15
2020,1288,1115,460,228,509,252,743,204,49,554,323,32,190,147,90,31,28,44,36,32,20,19,53,10,3,12
2021,1015,1177,484,183,546,229,271,204,23,519,276,33,180,136,83,33,24,54,38,41,16,25,53,10,4,11
2022,776,951,413,166,444,205,259,163,30,239,240,24,217,101,70,42,13,44,41,28,17,18,34,15,3,13
2023,674,1045,499,172,446,205,297,148,28,185,264,37,220,137,81,26,13,39,31,25,15,19,29,14,3,23
2024,637,906,387,167,331,192,275,140,20,140,229,28,133,112,59,19,12,30,27,17,10,17,34,9,,6
