,Documents,Share
1980,41,3.163912262397906e-05
1981,37,2.877525514707655e-05
1982,46,3.4843548679088646e-05
1983,36,2.628264797678366e-05
1984,102,7.162835836931723e-05
1985,83,5.6059566328598214e-05
1986,104,6.668316647580748e-05
1987,68,4.13625304136253e-05
1988,75,4.365546409250768e-05
1989,60,3.2803466232931945e-05
1990,73,3.668690141928052e-05
1991,79,3.965047354711129e-05
1992,73,3.513321262909049e-05
1993,94,4.325516266472049e-05
1994,139,6.0706033000498314e-05
1995,169,6.95739235287894e-05
1996,171,6.494564505268004e-05
1997,270,9.894546126175252e-05
1998,282,9.698867364893401e-05
1999,275,9.138170804042727e-05
2000,333,9.119422535161125e-05
2001,390,0.00010665622347268288
2002,569,0.00013347561348934107
2003,582,0.0001287129369771037
2004,667,0.00013573618258571932
2005,875,0.00016662045725985327
2006,1089,0.00019015642767140968
2007,1104,0.0001763837778689165
2008,1337,0.000200955508119835
2009,1565,0.00021705991033830693
2010,1772,0.00022988037528619913
2011,2001,0.00023887026897198162
2012,2321,0.00026874443203452156
2013,2608,0.00028684365404059653
2014,2731,0.0002840936870450574
2015,2949,0.0003004643289543383
2016,3620,0.0003573890028244591
2017,4289,0.00043001032967224673
2018,4502,0.00045043787624244366
2019,5083,0.0004941476123813968
2020,6338,0.0005761555769141787
2021,7669,0.0007609046043509376
2022,7767,0.0008052892167139348
2023,8089,0.0008020829367043623
2024,6510,0.0006903245447914059
