,Documents,Share
1980,,
1981,,
1982,2,1.5149368990908106e-06
1983,,
1984,,
1985,1,6.754164617903399e-07
1986,,
1987,1,6.08272506082725e-07
1988,9,5.238655691100921e-06
1989,4,2.1868977488621297e-06
1990,10,5.025602934148017e-06
1991,5,2.5095236422222334e-06
1992,5,2.406384426650034e-06
1993,3,1.380483914831505e-06
1994,2,8.734681007265945e-07
1995,3,1.235040062641232e-06
1996,5,1.8989954693766092e-06
1997,5,1.8323233566991207e-06
1998,3,1.0317944005205746e-06
1999,1,3.3229712014700825e-07
2000,1,2.7385653258742117e-07
2001,2,5.469549921676045e-07
2002,2,4.691585711400389e-07
2003,3,6.634687473046582e-07
2004,5,1.0175126130863517e-06
2005,4,7.616935189021864e-07
2006,3,5.238469081857017e-07
2007,8,1.2781433178906992e-06
2008,4,6.012131880922514e-07
2009,8,1.1095714266494924e-06
2010,16,2.0756693028099246e-06
2011,15,1.7906317014391427e-06
2012,21,2.4315523794592645e-06
2013,27,2.969623718978568e-06
2014,25,2.6006379260807157e-06
2015,26,2.649058173215597e-06
2016,24,2.3694298529798392e-06
2017,21,2.1054364474509633e-06
2018,27,2.7014266233998175e-06
2019,27,2.624825011665889e-06
2020,51,4.636152480691561e-06
2021,54,5.3577844093037725e-06
2022,54,5.5987662807457805e-06
2023,85,8.428365634796736e-06
2024,60,6.3624382008424504e-06
