,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,946,82,87,209,72,270,68,27,88,27,30,237,11,12,94,135,103,72,4,47,30,15,28,15,11,8
1981,1029,57,101,235,100,321,53,33,94,25,23,262,22,10,89,157,161,84,8,29,28,13,15,15,12,12
1982,1106,47,98,254,101,339,71,47,99,37,47,235,17,8,95,131,105,79,8,53,24,30,14,21,11,6
1983,1187,67,108,211,107,358,75,43,96,50,39,290,24,10,97,112,125,90,9,50,32,17,21,13,14,7
1984,1238,80,127,236,121,378,67,53,77,39,44,273,25,11,127,139,122,106,13,61,33,20,19,19,14,
1985,1392,86,119,261,113,406,70,60,94,46,60,240,22,12,130,142,81,88,9,62,43,16,37,20,14,9
1986,1397,93,135,252,137,417,79,84,100,56,46,282,42,20,123,144,95,117,9,75,35,33,30,29,14,7
1987,1730,102,136,254,137,448,94,66,117,58,38,255,50,19,117,149,127,136,7,70,36,20,30,21,27,1
1988,1899,114,141,303,140,557,127,89,101,57,56,320,48,28,141,179,125,129,18,71,67,25,25,25,21,11
1989,1888,115,139,346,129,508,134,68,120,75,45,276,51,23,144,189,143,157,8,96,54,31,40,26,14,9
1990,2186,162,137,334,168,579,193,98,104,121,76,335,72,34,160,199,128,155,12,79,40,34,41,35,29,9
1991,2231,180,171,432,212,657,200,93,133,92,75,311,66,54,174,189,145,157,13,64,49,45,46,45,34,16
1992,2130,176,179,443,251,684,239,106,171,104,89,373,73,39,178,224,159,152,15,88,45,35,63,34,31,20
1993,2229,205,182,556,247,753,239,101,157,133,81,407,88,52,224,196,149,161,15,92,63,41,44,41,30,16
1994,2486,243,220,599,315,754,304,131,157,111,114,441,83,70,265,205,185,164,9,84,58,54,53,24,41,17
1995,2302,240,259,546,305,837,332,117,149,144,127,477,84,64,240,192,174,158,13,111,63,51,49,43,39,20
1996,2391,291,301,662,341,852,348,141,183,131,110,549,122,92,246,195,183,164,20,91,68,52,41,44,36,20
1997,2370,358,302,717,385,930,354,135,203,141,125,608,147,137,312,210,240,205,27,114,63,50,57,49,38,39
1998,2558,437,353,705,423,976,349,171,206,146,141,567,206,144,352,220,254,193,31,113,62,66,47,34,43,21
1999,2479,466,341,715,411,1001,382,162,261,165,151,514,205,172,353,242,288,206,21,123,59,69,42,52,47,28
2000,2715,535,384,772,440,1115,425,201,247,172,156,641,218,166,317,218,293,239,27,130,85,50,34,31,59,24
2001,2762,563,417,781,522,1048,465,226,267,186,207,632,253,206,382,242,331,187,33,133,58,76,53,39,51,36
2002,2785,672,388,1358,615,1157,841,245,308,211,203,658,293,271,405,258,313,209,25,111,67,72,51,51,41,35
2003,2957,744,436,1201,575,1396,708,296,298,201,229,653,324,299,428,262,321,218,42,206,78,108,67,42,38,43
2004,3345,877,494,1239,603,1377,690,327,340,258,241,648,314,294,403,292,316,252,54,178,95,106,51,41,44,46
2005,3522,947,487,1423,644,1400,807,312,316,248,246,655,332,354,442,310,356,241,47,196,68,128,47,60,51,38
