,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,1,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,1,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2,1,,,,,,,,1,,,,,,,,1,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1988,,,1,,,,,1,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,1,,,,,,,,
1990,1,,,,,,,,,,,,,,,1,,,,,,,,,,
1991,,,,,,,,,,,,,1,,,,,,,,,,,,,
1992,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1993,,1,,,,,,,,,,,,,,,,,,,,,,,,
1994,,1,,,1,,,,,,,,,,,,,,,,,,,,,
1995,,,1,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,2,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,1,,,,,,,,,,,,
1998,,3,,1,,,,,,,,,,,,,,,,,,,,,,
1999,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2000,1,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1,1,,,,1,,,,,,,,,,,,2,,,,,,,,
2002,1,,,,,,,,,,,,,,,,,1,,,,,,,,
2003,1,1,,,,,,,,1,,,,,,1,,1,,,,,,,,
2004,2,1,,,,,,,,,,,,,,,,2,,,,,,,,
2005,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
2006,,1,,,2,1,,,,,,,,,,,,,,,,,,,,
2007,4,1,1,,,3,,2,,,,,,1,,1,,1,,,,,,,,
2008,3,1,1,,1,,,1,,,,,1,,,1,,,,,,,,,,
2009,1,2,,2,,1,1,2,,,,,,,,3,,,,,,,,,,
2010,5,,,,1,1,,1,,1,,,1,,1,,,1,,,,,,,,
2011,2,1,1,1,,2,,1,,1,,,1,,,1,,1,,,,,,,,
2012,13,1,,1,,3,,2,,,,,,,1,3,,,,,,,,,,
2013,7,2,,1,,1,,6,,,,,,,,2,,,,,1,1,,,,
2014,15,1,,1,1,1,,2,,,,,,,,1,,1,,,,,,1,,
2015,24,1,1,3,1,2,,1,,,,,1,,1,,,2,1,,,,,,,
2016,32,5,1,,3,3,,4,,3,,,,,,1,1,,,1,,3,,2,,
2017,22,5,1,,1,4,,2,1,3,2,,1,1,,,,,,,,,,,,
2018,20,1,1,1,1,6,1,4,2,,2,,,,,1,,2,,,1,,,,,
2019,12,3,,,3,1,,1,,1,,,1,,1,3,1,1,,,,,,,,
2020,15,1,3,1,6,3,1,1,,,,,1,,,,,,1,4,,1,,,,
2021,26,1,1,,2,3,,1,,,1,,,,,1,,,1,1,,,,1,,
2022,25,1,,,1,5,,1,,1,,,,2,,,,2,,,,,1,3,,
2023,23,7,,1,4,3,,1,,2,,,1,,,,,1,,,1,,,,,
2024,13,,,,3,1,1,,,3,,,,,,,,,,,1,,,,,
