,Documents,Share
1980,,
1981,1,7.777095985696365e-07
1982,,
1983,1,7.300735549106573e-07
1984,1,7.022388075423256e-07
1985,5,3.3770823089516996e-06
1986,,
1987,2,1.21654501216545e-06
1988,2,1.164145709133538e-06
1989,1,5.467244372155324e-07
1990,2,1.0051205868296034e-06
1991,1,5.019047284444467e-07
1992,2,9.625537706600135e-07
1993,1,4.6016130494383503e-07
1994,2,8.734681007265945e-07
1995,2,8.233600417608213e-07
1996,3,1.1393972816259654e-06
1997,1,3.6646467133982413e-07
1998,4,1.3757258673607663e-06
1999,2,6.645942402940165e-07
2000,2,5.477130651748423e-07
2001,5,1.3673874804190112e-06
2002,2,4.691585711400389e-07
2003,5,1.1057812455077638e-06
2004,5,1.0175126130863517e-06
2005,3,5.712701391766398e-07
2006,4,6.984625442476022e-07
2007,14,2.2367508063087236e-06
2008,9,1.3527296732075656e-06
2009,12,1.6643571399742386e-06
2010,12,1.5567519771074432e-06
2011,13,1.5518808079139236e-06
2012,24,2.778917005096302e-06
2013,21,2.3097073369833307e-06
2014,25,2.6006379260807157e-06
2015,38,3.871700407007411e-06
2016,59,5.824848388575439e-06
2017,43,4.311131773351972e-06
2018,43,4.302272029858969e-06
2019,28,2.7220407528387e-06
2020,39,3.5452930734700172e-06
2021,40,3.968729192076869e-06
2022,42,4.3545959961356075e-06
2023,44,4.36291868154184e-06
2024,22,2.3328940069755653e-06
