,Documents,Share
1980,43,3.318249445929511e-05
1981,38,2.9552964745646188e-05
1982,48,3.635848557817945e-05
1983,47,3.431345708080089e-05
1984,35,2.45783582639814e-05
1985,40,2.7016658471613596e-05
1986,54,3.462395182397696e-05
1987,42,2.5547445255474453e-05
1988,55,3.2014007001172295e-05
1989,37,2.02288041769747e-05
1990,42,2.110753232342167e-05
1991,48,2.409142696533344e-05
1992,42,2.0213629183860283e-05
1993,84,3.8653549615282144e-05
1994,46,2.0089766316711673e-05
1995,49,2.017232102314012e-05
1996,66,2.506674019577124e-05
1997,68,2.4919597651108043e-05
1998,83,2.85463117477359e-05
1999,66,2.1931609929702543e-05
2000,56,1.5335965824895586e-05
2001,78,2.1331244694536575e-05
2002,55,1.290186070635107e-05
2003,92,2.0346374917342853e-05
2004,80,1.6280201809381628e-05
2005,111,2.113699514953567e-05
2006,98,1.7112332334066253e-05
2007,99,1.5817023558897405e-05
2008,95,1.4278813217190969e-05
2009,93,1.2898767834800349e-05
2010,147,1.907021171956618e-05
2011,145,1.730943978057838e-05
2012,163,1.8873477992945718e-05
2013,218,2.397696187916029e-05
2014,388,4.036190061277271e-05
2015,282,2.8732092494107627e-05
2016,317,3.1296219308108715e-05
2017,402,4.030406913691844e-05
2018,513,5.1327105844596534e-05
2019,666,6.474568362109192e-05
2020,935,8.499612881267862e-05
2021,850,8.433549533163346e-05
2022,717,7.433917450545786e-05
2023,853,8.45811280762543e-05
2024,654,6.935057638918271e-05
