,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,17,10,22,3,9,3,1,,,1,1,2,,,6,,1,5,,,1,,1,1,,5
1981,5,15,8,,6,4,,1,2,4,7,,2,,5,,1,3,1,,2,,,,,
1982,4,9,11,3,4,3,,1,1,,10,1,5,2,3,,,2,1,1,,,,,,1
1983,9,20,18,5,5,4,2,1,1,1,5,2,2,,3,,1,1,1,,,,,,,1
1984,21,7,9,1,5,3,2,2,,1,2,2,4,1,2,2,2,1,1,,,1,,,,2
1985,9,20,11,3,3,1,,,1,3,4,5,1,1,4,,3,1,1,1,,,1,,,
1986,13,20,6,6,3,4,2,1,,7,9,5,5,1,2,1,1,2,1,1,1,,,1,,1
1987,20,15,6,12,4,1,4,,1,3,2,4,1,,4,,1,,1,2,,,1,,1,
1988,13,17,11,9,2,4,,1,3,5,3,3,1,,1,,,1,,1,2,,,,,
1989,15,2,4,10,5,3,3,2,,,2,4,,1,,,,1,,2,,,,1,,
1990,21,12,6,4,3,4,3,1,,3,12,7,1,1,4,1,,2,,,2,2,,,,
1991,24,4,11,11,7,3,7,,2,3,,4,4,,3,,1,,,4,,,,,,1
1992,25,3,9,12,8,3,4,,1,,1,5,2,,7,,2,2,,2,1,1,,,,1
1993,29,6,7,9,5,4,3,,1,5,5,3,2,1,2,,,3,2,4,,1,,,,
1994,35,17,9,6,9,3,1,2,,8,9,3,1,,5,,2,2,,2,2,1,1,1,,
1995,36,15,11,8,11,4,1,5,1,10,5,6,2,,4,,1,5,2,1,1,,,1,,
1996,25,11,11,7,5,5,2,,1,1,4,6,2,,8,,2,1,2,1,1,,,,,
1997,53,14,15,9,9,5,7,2,,4,3,4,3,,5,1,2,5,,6,1,,1,,,
1998,37,14,16,11,12,8,5,2,8,5,4,6,3,1,8,1,1,3,,5,,2,,,,1
1999,32,6,8,19,11,5,8,5,3,5,6,6,3,3,7,3,3,4,1,10,1,,,,,1
2000,44,40,19,12,14,12,14,2,2,6,3,18,7,4,7,1,,5,2,11,2,2,,,,1
2001,29,22,20,18,16,4,10,4,3,3,3,20,1,1,8,1,2,6,,6,2,1,1,,1,1
2002,69,48,22,27,24,13,10,1,10,8,5,12,6,4,13,1,4,4,1,6,3,,,1,,1
2003,63,32,33,24,33,16,9,5,7,5,8,7,4,2,11,1,4,9,2,11,2,1,,,1,
2004,64,39,37,25,45,21,13,4,8,7,5,11,10,2,17,1,,3,2,11,3,3,1,,,1
2005,85,49,29,32,41,17,32,5,8,17,9,7,11,13,20,1,2,6,3,8,2,3,,,1,1
2006,103,91,52,43,55,22,44,5,14,17,15,12,22,17,18,2,5,4,4,13,4,1,3,,1,
2007,101,97,49,50,66,25,35,2,16,20,12,15,21,19,26,2,8,9,3,13,5,2,1,3,,
2008,111,103,80,37,69,26,32,9,18,16,16,16,23,13,38,1,4,9,6,8,6,4,1,2,,3
2009,155,112,113,96,103,37,59,10,24,30,22,16,80,36,18,3,10,6,18,21,,8,4,1,,
2010,123,185,143,95,109,33,77,20,27,31,40,21,46,44,31,4,7,10,13,16,6,4,4,,1,2
2011,144,213,133,97,121,43,79,8,18,31,16,21,66,52,26,6,3,13,16,17,1,2,,2,4,
2012,229,182,190,146,145,56,83,24,26,47,45,23,68,42,34,6,7,16,13,20,9,7,5,3,2,3
2013,221,446,230,206,185,54,115,33,40,72,69,27,97,66,48,10,10,24,20,20,6,19,7,4,2,5
2014,328,509,268,331,249,85,206,52,73,88,69,38,132,76,64,17,15,21,28,27,16,16,14,5,5,9
2015,487,810,438,420,340,136,427,83,63,157,111,56,313,178,77,27,28,31,53,40,22,37,32,9,9,6
2016,579,1147,702,452,469,156,593,148,68,270,162,65,537,302,125,24,42,43,72,35,25,33,35,15,5,9
2017,1092,1845,872,684,647,207,908,256,66,536,483,79,980,487,137,57,48,64,108,54,37,55,78,24,9,16
2018,1023,2096,971,847,701,208,1042,290,96,609,276,82,1317,544,159,51,42,56,155,62,39,55,92,15,12,14
2019,1314,2273,986,896,849,288,949,338,107,670,297,78,1326,514,161,86,45,68,151,43,62,64,77,25,7,12
2020,1671,2844,1184,959,998,273,1384,481,138,828,262,57,1742,575,199,88,58,88,175,85,70,79,109,34,12,13
2021,1884,3041,1175,1000,1133,320,1495,635,143,917,209,64,1881,575,218,95,62,88,160,106,53,71,147,27,12,22
2022,1992,2696,1104,1007,1092,355,1340,693,139,934,213,67,1827,438,190,73,62,115,143,91,67,72,184,26,14,20
2023,2510,3283,1116,1186,1195,418,1521,817,180,1103,221,102,1811,552,166,87,80,150,161,92,89,71,218,28,22,31
2024,2184,2837,1076,1102,976,368,1161,759,128,842,205,147,1034,659,142,101,82,126,149,103,74,65,153,30,15,21
