,Documents,Share
1980,89,6.86800466715643e-05
1981,66,5.132883350559601e-05
1982,62,4.696304387181513e-05
1983,83,6.0596105057584553e-05
1984,72,5.056119414304745e-05
1985,74,4.998081817248515e-05
1986,95,6.0912507838477985e-05
1987,85,5.170316301703163e-05
1988,77,4.4819609801641216e-05
1989,56,3.0616568484069816e-05
1990,90,4.523042640733215e-05
1991,91,4.5673330288444647e-05
1992,89,4.28336427943706e-05
1993,92,4.233484005483282e-05
1994,122,5.328155414432226e-05
1995,131,5.3930082735333796e-05
1996,95,3.608091391815558e-05
1997,150,5.4969700700973625e-05
1998,153,5.262151442654931e-05
1999,150,4.9844568022051235e-05
2000,229,6.271314596251945e-05
2001,187,5.114029176767102e-05
2002,298,6.99046270998658e-05
2003,293,6.479878098675495e-05
2004,336,6.837684759940284e-05
2005,403,7.674062202939528e-05
2006,574,0.00010022937509953091
2007,603,9.634005258601146e-05
2008,653,9.814805295606004e-05
2009,986,0.00013675467833454993
2010,1098,0.00014244280590533105
2011,1140,0.00013608800930937483
2012,1442,0.0001669665967228695
2013,2057,0.00022624133296070056
2014,2757,0.00028679835048818134
2015,4423,0.0004506455500050994
2016,6147,0.0006068702210944613
2017,9868,0.0009893546125450527
2018,10913,0.0010918766200430448
2019,11771,0.0011443264893451549
2020,14496,0.001317758163923625
2021,15612,0.0015489950036676019
2022,15057,0.0015611226646146152
2023,17289,0.001714329570117656
2024,14627,0.0015510563927287088
