,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4,1,3,6,2,9,2,,7,,3,15,,,4,1,5,,,,,,,,2,
1981,,6,,6,1,12,3,1,5,,2,10,2,,3,2,7,,,,1,1,,1,1,
1982,4,4,2,8,6,9,2,,8,,1,14,,,10,2,7,,,3,,,,,,
1983,2,6,2,7,5,3,3,1,6,,2,10,1,,4,3,6,2,,2,,,,1,,
1984,8,6,8,9,2,5,2,,6,,2,15,,2,2,1,6,,,3,,,,,,
1985,8,4,3,2,3,6,2,1,5,,3,10,2,,3,1,4,1,1,1,,,,,,
1986,6,6,2,3,2,11,6,,3,,2,9,1,,3,5,4,1,,,1,,,,,
1987,15,6,9,5,4,12,8,,4,1,3,19,1,,2,3,9,2,,2,,1,,,,
1988,8,8,6,5,3,11,3,2,5,,5,21,1,2,7,3,7,2,,3,,,,,1,
1989,23,3,5,14,9,16,4,1,6,3,11,25,1,,4,6,7,1,,5,,1,,,,
1990,34,6,2,12,9,19,15,2,10,4,4,28,,2,9,9,11,,1,2,,,,,1,1
1991,33,7,8,23,22,21,16,3,14,3,3,39,1,1,11,13,14,3,,8,1,,,1,,
1992,36,9,8,33,9,29,20,3,16,1,6,37,2,,16,13,22,2,3,6,,,,2,,
1993,34,15,17,47,28,37,15,2,17,2,8,49,2,2,24,11,31,4,,6,2,1,,2,3,
1994,51,16,26,61,31,51,16,6,30,4,17,50,6,3,30,17,34,3,2,10,,1,,2,4,
1995,55,27,26,57,33,48,21,5,26,4,11,42,5,5,32,17,30,10,5,9,5,,1,2,5,
1996,84,12,24,61,52,60,32,9,26,7,9,54,3,4,40,21,36,4,1,18,5,,1,2,4,2
1997,73,22,20,64,46,52,24,18,35,14,20,62,4,4,23,19,37,6,4,20,6,1,1,1,4,2
1998,109,26,39,70,52,60,29,14,34,7,13,68,4,1,31,41,46,6,1,21,1,,,2,3,5
1999,100,24,40,77,67,62,26,15,41,5,20,48,8,2,30,25,48,5,8,23,3,2,4,3,3,1
2000,134,61,42,103,58,78,32,19,42,15,28,58,14,4,33,39,38,3,5,21,3,4,2,1,2,1
2001,135,48,31,90,46,78,43,16,32,15,31,89,12,4,45,31,39,7,5,23,4,2,1,4,3,2
2002,138,60,49,95,62,72,67,42,40,26,41,90,15,11,33,27,32,7,5,17,6,6,,2,4,
2003,189,80,50,107,83,90,62,44,42,36,29,69,22,27,53,32,37,8,1,19,3,2,2,3,3,1
2004,258,76,61,115,105,109,60,53,45,51,35,71,26,14,69,28,48,14,6,29,3,7,9,1,2,2
2005,262,111,73,146,129,120,98,36,58,28,50,74,30,13,58,23,40,13,11,23,4,7,8,,8,1
2006,273,130,126,209,125,125,138,64,44,45,76,111,24,26,90,46,62,21,5,30,6,8,6,3,9,2
2007,366,155,94,216,142,139,123,63,84,52,85,102,26,36,106,37,50,19,12,44,5,8,1,3,6,4
2008,377,153,112,223,132,143,156,75,80,52,80,93,24,46,134,49,56,20,6,35,7,14,4,6,10,3
2009,412,176,128,238,179,202,147,87,96,62,103,84,48,37,124,60,55,22,10,41,6,13,5,3,12,4
2010,482,210,150,239,204,193,180,87,110,48,117,92,52,67,138,59,56,20,14,43,11,13,5,2,15,8
2011,463,272,142,314,193,194,204,146,116,72,136,111,66,65,127,54,59,24,13,41,7,14,10,4,5,8
2012,502,329,151,341,194,192,229,140,122,63,141,123,53,63,167,57,55,30,17,27,12,21,7,3,10,3
2013,542,383,200,386,215,223,225,131,167,73,175,122,97,117,161,62,69,32,36,35,9,31,5,9,12,6
2014,599,401,197,387,221,252,256,158,156,103,168,168,91,114,180,58,74,38,30,46,12,21,15,7,12,12
2015,588,486,163,388,230,271,251,146,169,74,174,135,84,115,145,69,60,35,48,35,10,21,5,12,19,9
2016,537,463,189,412,264,293,249,183,166,65,164,144,82,116,156,60,54,38,43,46,11,21,11,6,19,11
2017,477,502,201,395,289,295,340,170,167,84,201,136,86,105,149,47,68,54,28,32,13,33,6,3,12,11
2018,561,547,214,434,307,317,301,155,148,69,198,154,85,130,142,62,46,39,43,30,12,32,9,9,10,10
2019,576,644,254,586,336,366,501,221,158,84,204,145,107,202,161,56,76,49,42,41,12,49,4,9,19,9
2020,676,663,278,665,409,362,389,221,153,83,197,181,118,164,209,71,61,36,49,44,17,29,5,8,12,7
2021,717,661,326,699,489,438,438,257,160,87,237,232,90,170,203,85,60,54,60,63,16,44,17,4,30,6
2022,628,654,260,700,480,363,426,244,162,91,221,200,95,165,183,71,66,51,63,54,14,37,6,11,21,14
2023,662,695,308,722,506,354,427,229,177,88,214,253,100,165,176,66,59,45,50,48,15,34,3,11,11,8
2024,609,463,255,585,376,299,328,158,131,71,123,148,75,113,144,45,41,35,44,40,23,35,6,5,6,5
