,Documents,Share
1980,70,5.401801423606181e-05
1981,70,5.4439671899874556e-05
1982,88,6.665722355999567e-05
1983,70,5.110514884374601e-05
1984,78,5.47746269883014e-05
1985,69,4.660373586353345e-05
1986,68,4.3600531926489505e-05
1987,111,6.751824817518248e-05
1988,109,6.344594114777782e-05
1989,155,8.474228776840753e-05
1990,195,9.799925721588633e-05
1991,261,0.00013099713412400058
1992,291,0.00014005157363103198
1993,379,0.00017440113457371347
1994,502,0.0002192404932823752
1995,496,0.00020419329035668368
1996,593,0.00022522086266806585
1997,610,0.00022354344951729273
1998,697,0.0002397202323876135
1999,715,0.0002375924409051109
2000,878,0.0002404460356117558
2001,855,0.00023382325915165093
2002,970,0.00022754190700291887
2003,1117,0.0002470315302464344
2004,1332,0.0002710653601262041
2005,1456,0.00027725644088039586
2006,1837,0.0003207689234457113
2007,2006,0.00032049443696109285
2008,2124,0.00031924420287698544
2009,2408,0.0003339809994214972
2010,2703,0.0003506583828434516
2011,2945,0.000351560690715885
2012,3100,0.0003589434464916057
2013,3577,0.00039342014973282733
2014,3847,0.00040018616406530054
2015,3826,0.00038981909887395667
2016,3889,0.0003839463624266081
2017,3989,0.00039993266613723297
2018,4166,0.00041682012270680146
2019,5085,0.0004943420438637424
2020,5236,0.0004759783213510003
2021,5762,0.0005716954401186729
2022,5397,0.0005595655855034255
2023,5575,0.0005528016283999035
2024,4240,0.00044961229952619985
