,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,113,15,124,193,48,84,30,3,84,4,6,34,3,3,23,2,130,8,17,6,10,9,4,7,17,1
1981,94,27,114,202,40,49,38,7,137,6,5,56,3,4,14,5,141,18,8,9,13,4,3,6,24,1
1982,128,15,156,223,43,76,22,4,139,2,8,40,1,2,11,9,145,18,8,7,19,2,2,12,21,6
1983,122,23,126,261,41,92,19,2,134,9,7,41,6,1,29,8,151,12,9,19,11,6,5,12,17,2
1984,124,17,161,350,41,81,39,2,143,5,4,40,4,3,24,3,200,16,13,11,4,6,1,22,14,1
1985,116,20,113,333,47,63,45,2,139,1,6,53,3,1,19,4,185,13,10,23,3,8,2,12,32,2
1986,119,9,161,362,59,79,31,5,170,5,4,53,2,2,24,4,177,27,12,24,13,4,4,15,25,3
1987,186,12,158,300,55,93,42,5,176,6,7,60,1,4,31,11,308,33,20,18,7,5,4,14,22,6
1988,169,14,197,299,56,84,37,10,175,8,7,74,1,6,24,17,330,27,27,29,13,9,7,22,23,7
1989,189,17,170,378,63,105,58,4,253,7,8,95,3,4,38,12,365,34,14,20,21,9,10,24,38,2
1990,291,20,191,354,96,120,53,6,226,7,5,78,6,5,32,8,444,74,14,29,28,8,18,24,25,14
1991,316,21,191,416,105,119,52,12,221,13,14,85,5,9,44,12,461,56,13,36,16,20,4,22,34,11
1992,315,29,207,317,106,117,49,8,225,13,10,96,3,7,45,7,404,79,15,47,19,22,9,14,25,7
1993,344,22,245,326,89,120,59,7,196,22,18,91,9,9,47,8,388,39,25,39,16,30,21,16,29,12
1994,313,44,234,354,87,129,78,10,276,39,17,101,2,10,51,19,392,48,26,51,20,22,27,20,34,7
1995,319,37,237,405,106,137,86,4,267,28,15,116,11,6,54,15,356,61,21,54,17,25,50,21,32,11
1996,371,34,226,462,110,145,69,2,239,14,19,123,10,14,47,16,336,61,15,51,12,22,9,27,27,7
1997,416,32,249,472,110,155,74,8,228,24,22,127,12,11,67,15,385,66,20,26,17,19,6,21,32,10
1998,388,46,317,431,120,166,95,16,244,18,31,108,10,8,50,16,363,77,19,32,19,19,10,32,41,10
1999,466,68,401,564,153,202,117,12,274,20,28,106,7,8,63,15,426,78,20,52,24,13,16,21,38,19
2000,523,50,667,576,163,198,99,16,321,26,34,165,9,16,55,18,437,84,35,63,38,24,10,23,44,14
2001,618,54,452,620,189,211,147,20,336,22,27,169,15,15,85,40,402,69,21,73,27,21,5,25,49,16
2002,660,59,847,1215,211,234,501,15,399,25,29,240,24,25,85,30,501,58,31,115,39,22,11,34,38,24
2003,867,59,704,978,230,280,400,16,423,37,43,249,32,36,95,38,554,88,40,151,28,33,11,42,52,17
2004,874,54,746,802,181,283,274,26,383,44,36,216,29,31,97,35,460,70,38,98,45,26,16,30,45,14
2005,990,86,812,983,206,348,421,31,425,56,47,263,29,39,112,40,580,99,30,87,42,26,18,33,37,32
2006,1230,104,959,1351,277,375,526,33,470,63,33,280,38,43,105,30,563,85,30,115,47,50,23,50,54,22
2007,1322,112,1050,1278,343,439,483,48,509,58,78,319,38,54,121,48,582,102,29,110,50,39,41,58,53,33
2008,1593,151,1123,1509,347,494,628,37,595,80,65,303,32,76,135,72,641,107,48,127,61,42,53,68,43,36
2009,2076,145,1354,1677,417,666,711,55,633,73,81,350,74,80,169,62,654,137,64,155,74,45,75,97,44,39
2010,2537,178,1308,1996,456,701,849,69,703,114,102,329,59,112,198,82,775,186,94,161,71,85,89,150,78,41
2011,3265,212,1469,2116,519,846,812,89,729,130,121,385,82,162,233,132,833,223,120,182,88,79,96,162,73,53
2012,4028,308,1610,2667,622,1061,1073,122,885,142,160,433,98,166,268,134,925,197,168,264,95,106,103,154,67,39
