,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,1,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,1,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,3,,,,,,,,2,,,,,,,,,,,,,,,,
1996,,,,2,1,1,,,,,,,,,1,,,,,,,,,,,
1997,,2,,,1,,,,,,,,,,,,,,,,,,,,,
1998,3,5,,1,2,1,,,,,,,,,2,,,,,2,,,,,,
1999,2,3,,,,,1,1,,,,,1,,2,,,1,,3,,,,,,
2000,1,4,3,,2,2,1,,,1,,,,,2,,,,,,1,,,,,3
2001,,6,8,1,,1,1,,,,,,,,5,,,,,,1,,,,,1
2002,,2,6,,2,,,,,,,3,1,,3,,,3,,,,,,,,1
2003,2,5,2,,2,1,,1,,,2,1,,1,4,,,,,1,,,,,,
2004,2,3,1,3,1,,,,,,,2,2,2,3,,,1,,,2,,,,,
2005,5,3,5,1,3,,,,,3,1,1,,,2,1,,,,2,,,,,,
2006,7,8,,,5,5,,1,,,2,1,3,3,6,,,,,,,,,,,
2007,9,6,5,3,6,4,,,,1,,,1,,2,,,,,1,,,,,,
2008,3,,1,,1,,2,,,1,,,,1,1,,,,,,,1,,,,
2009,4,3,1,1,,1,,,,,,1,,1,6,,1,,,,,1,,,,
2010,20,2,,,1,1,1,2,,2,,,1,,2,,2,,,,3,,,,,1
2011,5,2,5,2,,1,2,1,,1,,,,1,,1,,,,1,,,,,,
2012,7,6,,,,2,,,2,,1,,1,1,1,,,,1,,,1,,1,1,
2013,5,4,7,,3,2,2,2,1,,1,,1,2,5,,1,,1,2,,,,1,,2
2014,4,8,5,1,2,1,,,,,,,,2,1,,,,,,,,,,,
2015,11,3,10,1,3,1,,2,,1,2,,1,,7,,,1,1,3,1,,,,,
2016,13,11,10,1,4,1,2,3,3,3,1,,1,2,3,,2,,,11,,,,,,
2017,25,4,11,5,2,2,1,1,6,2,1,,1,1,1,,,1,1,15,1,1,2,,,
2018,29,5,9,3,2,6,1,5,,2,,,1,3,3,,1,3,2,13,,,,2,,
2019,29,8,8,8,5,1,1,,1,2,,,1,4,3,,2,6,1,11,2,,,,,
2020,54,17,9,5,7,6,1,3,3,3,,,1,2,1,,,3,2,10,5,1,,4,,
2021,45,11,7,10,5,11,2,3,1,3,,,4,,4,1,,3,,2,3,,1,2,,1
2022,48,11,4,6,9,3,2,2,,4,2,1,,1,1,1,1,5,1,2,1,,1,,,1
2023,40,13,9,8,5,1,1,4,1,3,2,,1,2,3,,,1,4,1,1,,,3,,1
2024,26,16,5,9,4,2,7,2,3,1,3,,2,,2,3,1,2,1,,1,,,2,,2
