,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,319,145,145,170,101,231,43,33,128,13,90,178,37,17,53,38,169,16,14,95,9,8,,12,23,4
1981,426,146,180,183,103,271,48,26,153,14,121,225,32,5,59,68,231,20,16,43,9,8,,11,27,5
1982,410,137,185,239,128,316,70,40,155,6,110,245,26,9,61,71,287,30,20,50,16,10,,18,28,3
1983,493,162,197,220,118,374,62,38,173,20,169,285,56,15,66,55,360,26,20,76,21,21,2,16,41,4
1984,624,186,261,306,140,374,72,43,260,22,209,335,69,20,95,94,450,33,22,105,20,11,,20,70,8
1985,840,209,292,368,142,469,92,41,271,24,179,411,59,17,86,116,511,30,32,115,32,23,3,22,79,11
1986,944,247,424,442,214,617,104,56,334,21,210,533,61,11,126,157,599,65,34,171,46,27,3,39,91,11
1987,1372,265,469,564,264,772,150,62,342,50,241,570,76,22,153,199,809,98,40,175,35,33,5,36,74,22
1988,1817,317,496,570,298,982,166,95,433,67,272,703,104,48,172,232,867,120,47,216,67,36,5,27,89,19
1989,1936,313,592,700,360,1026,222,112,491,52,303,814,106,37,176,290,900,170,46,254,63,50,17,45,126,32
1990,3148,425,663,752,458,1235,235,118,472,139,389,927,126,37,271,317,1018,221,53,248,90,45,48,70,104,27
1991,3663,428,730,929,501,1396,329,186,601,140,470,1039,109,47,316,398,990,247,87,279,99,50,40,86,103,38
1992,4141,515,945,1026,630,1520,463,206,646,169,560,1145,165,57,340,430,1158,259,58,322,136,62,21,80,112,40
1993,4185,621,1035,1264,649,1655,530,186,723,193,588,1381,169,71,385,538,1260,295,61,359,129,70,29,104,157,49
1994,4397,657,1106,1276,667,1832,593,203,815,153,564,1424,205,71,372,514,1362,319,70,437,117,82,24,102,135,41
1995,4971,763,1178,1497,795,1950,724,264,868,195,724,1552,234,129,434,502,1367,329,73,478,141,82,31,114,167,63
1996,5862,923,1449,1817,910,2277,841,237,1108,244,896,1798,304,183,522,612,1712,420,73,569,170,110,41,144,220,64
1997,6128,1079,1493,1928,982,2328,1039,328,1143,299,916,1999,362,162,567,723,1784,441,87,656,185,122,54,139,189,69
1998,6703,1278,1568,2136,1132,2552,1245,350,1215,290,979,2172,427,240,592,697,1752,452,107,644,215,158,48,131,180,81
1999,7068,1330,1694,2494,1211,2664,1397,428,1352,375,1121,2246,538,294,676,803,1950,474,114,786,195,182,57,163,243,73
2000,9024,1532,1800,2587,1323,2845,1595,494,1472,400,1148,2303,611,354,768,801,2184,549,96,845,236,203,61,175,242,76
2001,9844,1670,1828,2988,1509,3094,1921,535,1625,497,1152,2818,733,472,783,890,2176,549,133,939,194,235,81,181,257,99
2002,10392,2044,2142,5024,1657,3323,4217,653,1778,555,1304,2854,918,648,896,880,2302,627,155,975,222,308,102,191,268,89
2003,11341,2405,2363,4702,1996,3654,3591,696,1815,647,1320,3159,1180,734,943,995,2246,653,130,1187,248,338,120,218,274,106
2004,12958,2670,2600,4695,2202,3864,3805,799,2008,777,1480,3287,1182,819,1035,963,2491,648,173,1144,340,328,137,242,310,106
2005,13343,3254,2721,5670,2526,4082,4612,875,2221,723,1775,3676,1261,1014,1114,1024,2604,653,197,1142,275,377,173,206,330,119
2006,14515,3874,3159,6417,3012,4779,5310,1100,2355,826,1838,3958,1425,1137,1328,1146,2678,812,218,1235,316,489,210,223,361,137
2007,15407,4227,3096,7078,3330,4718,5706,1265,2470,884,2015,4324,1523,1341,1479,1218,2696,741,257,1427,308,555,192,209,364,109
2008,16986,5184,3410,7131,3672,5247,6239,1448,2696,1082,2525,4389,1610,1522,1603,1232,2590,857,293,1438,305,615,213,252,390,119
2009,19064,6263,3851,8388,3980,5741,6972,1685,2834,1278,3018,4741,1799,1735,1758,1392,2572,927,323,1587,351,686,227,258,391,136
2010,20397,7098,4159,9060,4396,6165,7527,1891,3092,1301,3478,5382,1814,1937,1888,1541,2700,971,423,1541,367,707,268,267,395,165
2011,22512,9094,4663,10052,4961,6770,7978,2278,3327,1629,4419,5512,2290,2314,2091,1743,2965,1101,530,1759,446,844,362,279,475,163
2012,23645,10556,4635,10406,5350,6934,8180,2456,3406,1704,5221,5868,2262,2338,2223,1771,2822,1181,550,1694,458,911,340,298,508,170
2013,24789,11844,4829,10722,5632,7041,7973,2644,3514,1733,6515,5973,2151,2334,2278,1976,2964,1266,678,1804,464,860,353,311,510,185
2014,26406,13241,4993,11321,6036,7407,8107,3112,3690,2166,6880,5646,2404,2567,2654,1995,2803,1323,729,1852,516,922,318,325,499,180
2015,27908,14081,5091,11392,6105,7804,7815,3233,3671,2279,7900,5739,2390,2547,2516,2065,2813,1316,744,1935,520,960,426,358,481,184
2016,28976,15645,5092,11666,6563,7598,7655,3581,3918,2372,7612,6148,2485,2818,2501,2068,2741,1364,935,1870,459,918,404,358,496,164
2017,31395,16356,5437,12364,6926,8118,7747,4052,3738,2618,8457,5664,2856,2909,2617,2297,2666,1448,840,1665,518,995,435,320,470,194
2018,31629,17843,5656,12970,7325,8160,8055,3964,3745,2794,10014,5616,2654,3137,2736,2223,2615,1465,1011,1886,570,1073,431,342,530,192
2019,34549,18012,5961,13560,7757,8876,8275,4460,3895,3075,9321,5819,2765,3412,2800,2570,2527,1693,1072,1924,579,1106,521,376,463,186
2020,41389,20329,6959,14086,9136,9572,9047,5577,4230,3701,9825,6246,3211,3752,3394,2804,2553,1840,1225,2353,723,1225,693,394,547,244
2021,42518,20462,7329,14659,10326,10074,9240,6402,4067,3426,9511,6190,3114,3706,3830,3085,2554,1797,1212,2418,678,1170,778,337,502,254
2022,39680,19321,7059,14294,10215,9659,8953,5796,3866,3275,9161,6538,2907,3258,7250,2913,2503,1888,1401,2062,687,1170,634,365,495,217
2023,39838,20326,7386,15600,11217,10144,9639,5755,4368,3489,9165,7353,3155,3508,6635,3094,2664,1975,1421,2054,678,1175,635,381,591,240
2024,35079,14745,6263,12417,8304,8561,7027,4665,3569,3028,6522,5074,2279,2687,2827,2540,2126,1684,1134,1512,653,860,651,375,445,250
