,Documents,Share
1980,2124,0.0016390608891056469
1981,2460,0.0019131656124813058
1982,2712,0.002054254435167139
1983,3139,0.002291700888864553
1984,3878,0.002723282095649139
1985,4512,0.0030474790755980136
1986,5638,0.003614997044140409
1987,6950,0.004227493917274939
1988,8336,0.004852159315668587
1989,9330,0.005100938999220918
1990,11736,0.005898047603516113
1991,13402,0.006726527170612474
1992,15337,0.007381343590306314
1993,16832,0.007745435084814631
1994,17669,0.007716653935869099
1995,19806,0.008153734493557413
1996,23726,0.009011113301285886
1997,25437,0.009321761844871107
1998,27604,0.009493884210656648
1999,30223,0.01004301586220303
2000,34049,0.009324541078069104
2001,37615,0.010286856015192221
2002,44893,0.010530967867094884
2003,47432,0.010489883207384849
2004,51471,0.010474478341633522
2005,56476,0.010754350793379969
2006,63420,0.011074123639045733
2007,67496,0.01078369517304383
2008,73632,0.011067132366402162
2009,82631,0.011460624569434275
2010,89695,0.01163607238222101
2011,101593,0.012127709762953787
2012,106722,0.012357149192411982
2013,112413,0.01236386337487177
2014,119239,0.012403898626717539
2015,123761,0.012609618791359058
2016,127788,0.012616029252191154
2017,134843,0.013519207946839534
2018,140666,0.014074032496561435
2019,147898,0.014378013687976357
2020,166887,0.015170854491081815
2021,171481,0.017014041264663337
2022,167824,0.01740013615370148
2023,174731,0.017325844185101982
2024,136638,0.014489180514778512
