,Documents,Share
1980,26,2.0063833859108672e-05
1981,22,1.7109611168532004e-05
1982,45,3.4086080229543236e-05
1983,39,2.847286864151563e-05
1984,37,2.598283587906605e-05
1985,42,2.8367491395194278e-05
1986,39,2.5006187428427803e-05
1987,68,4.13625304136253e-05
1988,75,4.365546409250768e-05
1989,70,3.827071060508727e-05
1990,134,6.734307931758343e-05
1991,133,6.675332888311141e-05
1992,136,6.545365640488091e-05
1993,165,7.592661531573278e-05
1994,139,6.0706033000498314e-05
1995,168,6.916224350790899e-05
1996,179,6.798403780368261e-05
1997,235,8.611919776485868e-05
1998,190,6.53469786996364e-05
1999,245,8.141279443601702e-05
2000,275,7.531054646154082e-05
2001,321,8.778627624290052e-05
2002,407,9.547376922699792e-05
2003,378,8.359706216038694e-05
2004,456,9.279715031347529e-05
2005,532,0.00010130523801399079
2006,701,0.0001224055608793923
2007,741,0.00011838802481962601
2008,844,0.00012685598268746503
2009,932,0.00012926507120466585
2010,1135,0.000147242791168079
2011,1452,0.000173333148699309
2012,1567,0.00018144012279107939
2013,2262,0.0002487884760122045
2014,3199,0.00033277762902128843
2015,3659,0.00037280399445368726
2016,3820,0.0003771342515992911
2017,5228,0.0005241534165368398
2018,6065,0.000606820461885922
2019,9405,0.0009143140457302846
2020,13457,0.0012233079202483596
2021,14249,0.0014137605564475825
2022,15967,0.0016554722445308867
2023,15288,0.0015159159273502646
2024,14911,0.0015811719335460297
