,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,712,51,83,148,77,319,60,14,42,19,28,128,10,2,19,78,75,46,5,24,12,9,23,26,10,2
1981,727,63,89,174,75,272,77,20,70,22,16,188,8,9,36,70,77,38,4,29,18,11,21,27,10,4
1982,832,85,99,179,102,285,84,24,64,46,24,173,14,7,40,67,73,67,3,35,30,4,21,22,12,5
1983,906,72,90,220,96,324,90,28,87,26,41,197,24,11,46,75,104,63,1,46,30,9,26,20,12,4
1984,964,81,106,206,82,339,85,26,80,43,46,202,35,13,40,116,88,51,7,41,36,20,43,24,10,3
1985,955,90,103,256,91,335,101,44,85,59,28,202,30,20,54,93,97,56,4,53,26,11,36,23,5,9
1986,959,111,125,289,120,345,130,34,77,47,35,206,33,14,47,84,87,57,5,45,47,23,38,24,7,7
1987,1367,94,144,324,114,376,132,70,109,54,35,255,33,12,71,130,132,103,5,57,45,19,53,27,15,8
1988,1434,112,156,335,156,467,141,55,108,73,34,289,38,28,64,136,120,92,3,78,49,20,42,25,20,5
1989,1439,104,145,385,176,432,151,55,107,59,32,318,38,23,81,144,102,119,3,70,54,34,48,30,7,7
1990,1537,103,221,386,216,498,196,63,113,77,26,386,34,25,77,150,142,87,1,56,29,27,70,30,19,9
1991,1763,140,182,433,202,544,248,82,134,82,50,358,35,33,82,166,160,102,6,58,54,18,74,29,12,13
1992,1716,140,249,464,230,601,237,91,154,77,45,346,45,41,102,179,142,110,5,79,54,41,67,28,15,8
1993,1920,130,247,482,227,553,216,74,195,111,31,343,50,26,93,189,158,111,7,91,51,33,86,37,17,14
1994,1987,185,253,515,266,630,262,126,180,103,50,406,69,39,97,219,156,98,12,82,54,27,84,28,27,16
1995,2115,164,246,532,315,695,305,136,180,124,63,400,60,76,94,246,169,112,8,86,51,39,63,27,20,15
