,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,1,,,,,,,,,,,,,,,,,,,,,,,
1982,,1,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
1984,1,,1,,,,,,,,,1,,,,,,,,,,,,,,
1985,,1,,,2,,,,,,,,,,,,,,,,,,,,,
1986,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,1,,,,,,,,,,,,,,,,,,,,,
1988,,,1,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,1,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,1,,,,,,,,,,,,,,,,,,,,
1992,,,1,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,1,,,,,,,,,,,,,,,,,,,,,1
1995,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
1996,,,,,4,,,,,,,,,,,,,,,,,,,,,
1997,,,2,,,,,,,,,,,,,,,,,,,,,,,
1998,,,2,,4,,,,,,,,,,,,,,,,,,,,,
1999,,,,,1,,,,,,,,,,1,,,,,,,,,,,
2000,,,7,,2,,,,,,,,,,,,,,,,,,,,,
2001,2,,4,,5,,,,,,,,,,,,,,,,,,,,,
2002,1,,7,,9,,,,,,,,,,,,,,,,,,,,,
2003,,1,8,,10,,,,,,,,,,,,,,,,,,,,,
2004,,,3,,8,1,,,,,,,,,,,,,,,,,,,,
2005,,,6,,10,1,,,,,,,,,1,,,,,,,,,,,
2006,,,2,,11,,,,,,,,,,,,,,,,,,,,,
2007,1,,5,,11,1,,,,1,,,,,1,,,,,,,,,,,
2008,,,9,,7,1,,,,,,,,,1,,,,,,,,,,,
2009,,,,,10,,,,,,,,,,,,,,,,,,,,,
2010,,,7,,20,1,,,,1,,,,,,,,,,,,,,,,
2011,1,,4,,11,1,,,,,,,,,1,,,,,,,,,,,
2012,,,6,,8,3,,,1,,,,,,,,,,,,,,,,,
2013,,,5,,14,1,,,,,,,,,1,,,,,,,,,,,
2014,1,,3,,10,,,,,,,,,,2,,,,,,,,,,,
2015,2,,7,,18,,,,,,,,,,1,,,,,,,,,,,
2016,,,2,,15,4,,,,,,,,,1,,,,,,,,,,,
2017,1,,3,,16,,,1,1,,,,,,1,,,,,,,,,,,
2018,,,3,,25,2,,,,1,,,,,1,,,,,,,,,,,
2019,,1,8,,18,3,,,,,,,,,1,,,,,,,,,,,
2020,,,5,,18,,,,,,,,,,7,,,,,,,,,,,
2021,1,1,9,,24,1,,,,,,,,,3,,,,,,,,,,,
2022,1,2,4,,19,2,,,,,,,1,,10,,,,,,,,,,,
2023,3,,5,2,23,2,,,,,,,,,14,,,,,,,,,,,
2024,4,,1,,11,1,,,,,,,,,4,,,1,,,,,,,,
