,Documents,Share
1980,1,7.716859176580258e-07
1981,2,1.555419197139273e-06
1982,4,3.0298737981816213e-06
1983,,
1984,5,3.5111940377116286e-06
1985,2,1.3508329235806798e-06
1986,4,2.5647371721464413e-06
1987,4,2.4330900243309e-06
1988,5,2.910364272833845e-06
1989,4,2.1868977488621297e-06
1990,4,2.0102411736592068e-06
1991,2,1.0038094568888933e-06
1992,2,9.625537706600135e-07
1993,3,1.380483914831505e-06
1994,9,3.930606453269675e-06
1995,9,3.7051201879236957e-06
1996,13,4.937388220379184e-06
1997,7,2.5652526993787693e-06
1998,10,3.4393146684019155e-06
1999,9,2.9906740813230744e-06
2000,13,3.560134923636475e-06
2001,14,3.828684945173232e-06
2002,14,3.2841099979802723e-06
2003,22,4.86543748023416e-06
2004,17,3.4595428844935964e-06
2005,27,5.141431252589758e-06
2006,31,5.413084717918917e-06
2007,23,3.6746620389357604e-06
2008,29,4.358795613668822e-06
2009,43,5.963946418241022e-06
2010,45,5.837819914152913e-06
2011,51,6.088147784893085e-06
2012,42,4.863104758918529e-06
2013,48,5.279331055961899e-06
2014,73,7.59386274415569e-06
2015,101,1.0290572134414435e-05
2016,99,9.773898143541838e-06
2017,133,1.33344308338561e-05
2018,142,1.4207502982324966e-05
2019,129,1.2540830611292581e-05
2020,141,1.281759803485314e-05
2021,158,1.567648030870363e-05
2022,187,1.9388320268508536e-05
2023,152,1.507190089987181e-05
2024,183,1.9405436512569473e-05
