,Documents,Share
1980,6,4.630115505948155e-06
1981,1,7.777095985696365e-07
1982,9,6.817216045908648e-06
1983,9,6.570661994195915e-06
1984,3,2.106716422626977e-06
1985,14,9.455830465064758e-06
1986,11,7.053027223402714e-06
1987,25,1.5206812652068127e-05
1988,30,1.746218563700307e-05
1989,42,2.296242636305236e-05
1990,36,1.8092170562932863e-05
1991,53,2.6600950607555674e-05
1992,40,1.925107541320027e-05
1993,30,1.3804839148315051e-05
1994,42,1.8342830115258482e-05
1995,44,1.8113920918738068e-05
1996,31,1.1773771910134977e-05
1997,48,1.759030422431156e-05
1998,54,1.8572299209370345e-05
1999,58,1.927323296852648e-05
2000,53,1.4514396227133322e-05
2001,64,1.7502559749363345e-05
2002,76,1.782802570332148e-05
2003,65,1.4375156191600928e-05
2004,93,1.8925734603406143e-05
2005,113,2.1517841908986765e-05
2006,111,1.9382335602870962e-05
2007,86,1.3740040667325018e-05
2008,107,1.6082452781467724e-05
2009,129,1.7891839254723065e-05
2010,145,1.881075305671494e-05
2011,225,2.685947552158714e-05
2012,181,2.0957665746767945e-05
2013,206,2.2657129115169816e-05
2014,295,3.068752752775245e-05
2015,254,2.5879260615260063e-05
2016,233,2.3003214822679275e-05
2017,261,2.6167567275461972e-05
2018,264,2.6413949206575993e-05
2019,316,3.072017421060818e-05
2020,379,3.445297627808043e-05
2021,447,4.435054872145901e-05
2022,438,4.541221538827133e-05
2023,407,4.035699780426202e-05
2024,397,4.209813276224088e-05
