,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,7885,2855,1869,4180,1478,3586,971,840,1380,588,1356,2130,761,328,977,1111,1466,529,179,705,268,263,131,249,205,102
1981,8860,3193,2077,4234,1562,3796,964,944,1377,585,1383,2494,731,350,1086,1232,1608,581,158,687,298,240,123,267,221,140
1982,9129,3133,2069,4364,1596,3870,1129,986,1240,683,1563,2467,856,381,1081,1300,1544,600,167,661,320,285,126,257,201,140
1983,9643,3329,2266,4728,1608,3925,1260,1044,1347,625,1587,2595,903,463,1198,1345,1601,616,193,717,308,310,125,228,198,166
1984,11027,3388,2449,4894,1793,4218,1356,1167,1442,743,1599,2712,940,459,1323,1423,1576,726,188,765,298,324,140,274,180,166
1985,11839,3456,2555,5111,1871,4613,1436,1148,1446,822,1733,2702,984,508,1374,1587,1576,886,155,743,358,331,147,294,218,163
1986,12262,3688,2549,5404,1857,4876,1482,1233,1487,933,1698,2838,977,520,1427,1548,1636,820,175,744,380,376,164,286,214,180
1987,14542,3959,2775,5693,2000,5376,1846,1376,1670,1010,1837,3162,1186,574,1555,1655,2576,1097,165,794,434,365,173,352,256,195
1988,15915,4280,2848,6403,2074,5678,2091,1563,1685,1223,2064,3388,1192,669,1546,1787,2526,1148,204,808,454,424,237,377,276,190
1989,16895,4610,2730,6533,2050,6108,2338,1592,1946,1345,2424,3463,1349,762,1647,1884,2496,1260,163,847,484,490,273,388,274,193
1990,17511,4841,3002,7001,2218,6526,2599,1692,1866,1651,2452,3696,1413,786,1720,1967,2502,1285,181,811,496,463,324,445,264,226
1991,18088,5154,2927,7393,2285,6641,2843,1810,2108,1733,2515,3948,1445,943,1794,2059,2597,1299,171,947,476,522,362,377,288,231
1992,19079,5551,2990,7433,2417,6948,3012,1985,2183,1886,2745,4194,1575,1048,1923,2181,2730,1336,149,942,540,559,390,379,308,269
1993,20185,6049,3200,8020,2515,7181,3049,2060,2386,2011,2817,4560,1879,1105,2013,2299,2574,1526,174,1015,564,621,381,401,255,295
1994,21346,6527,3420,8349,2768,7755,3344,2296,2436,2443,2901,4806,2054,1589,2177,2295,2574,1400,164,994,607,659,386,397,333,250
1995,22284,7486,3628,8801,3168,8275,3719,2519,2569,2843,3521,5097,2107,1803,2277,2501,2903,1485,202,1160,618,804,404,448,312,334
1996,23045,8388,3863,9654,3208,8511,4012,2717,2792,2850,3520,5745,2394,2004,2391,2806,3273,1567,231,1212,627,790,420,506,327,356
1997,23484,8816,3652,9327,3447,8535,3969,2819,2692,2994,3597,5721,2538,1979,2501,2721,3239,1698,198,1322,655,852,486,432,352,326
