,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,1,,6,1,1,,,1,,1,13,,,3,,4,,,1,,,,,,
1981,1,,,3,,2,1,,3,,,9,,,1,2,2,,,,1,,,,,
1982,1,,,10,1,,1,,6,,,11,1,,,1,5,,,,,,,,,
1983,1,,,4,,,1,,4,,,12,1,,1,,5,,,2,,,,,,
1984,1,1,,8,,2,,1,7,,1,10,,,3,,7,,,2,1,,,2,,
1985,1,,1,3,,1,,1,3,,,13,2,,,,10,,,2,,,,,,
1986,,1,,4,1,1,,,2,,,15,,,1,2,2,,,1,,,,1,,
1987,2,4,1,4,1,1,2,,4,,,14,2,,1,2,3,1,,5,,2,,,,
1988,,1,,5,1,1,3,,1,1,,10,,,1,2,7,1,,2,,,,,,
1989,2,1,,9,2,1,4,,5,,,17,,1,,,4,,,8,,1,,,1,
1990,2,1,,5,2,,3,,4,1,,15,,,,,5,1,,3,,,,,,
1991,3,6,1,5,3,1,1,,5,,3,27,,,1,,11,,,8,,,,,,
1992,1,3,3,15,1,5,4,,6,1,1,46,,,3,4,6,1,,7,,,,,,
1993,7,4,7,9,,3,4,,2,,,46,2,,7,6,10,,,11,,,,,,
1994,6,1,2,17,2,5,14,,9,,1,51,1,,2,1,12,1,,52,,2,,,1,
1995,8,8,1,26,1,3,10,,11,,1,53,,,3,,10,1,1,45,,,,1,,
1996,7,2,2,19,4,6,13,,5,2,,40,3,,5,1,10,,1,51,,1,,,,
1997,9,4,2,34,2,10,10,,12,,,65,4,1,3,4,7,,,47,,1,,,,
1998,14,5,2,34,5,12,14,1,14,,1,63,2,,13,2,11,1,,57,,,,1,,
1999,12,12,1,34,3,7,9,1,11,1,4,68,5,1,6,4,7,,,53,,,,,,
2000,14,8,7,30,2,6,8,1,14,1,4,79,5,1,9,6,13,3,,31,,1,,1,,
2001,21,13,3,25,12,9,11,1,12,,3,84,5,1,6,5,9,,1,35,,,,,,
2002,18,12,2,61,2,9,12,3,15,1,3,90,4,1,2,3,19,3,3,47,2,1,,1,,
2003,15,7,4,47,7,15,12,,15,1,6,89,9,3,9,4,16,6,,48,,3,,,,
2004,36,2,4,49,4,15,19,4,16,2,4,98,6,3,9,6,13,5,2,67,1,2,,2,,
2005,83,13,11,46,10,31,12,1,17,12,5,91,5,2,8,12,21,6,1,52,,2,1,2,,1
2006,89,9,10,63,9,27,22,1,24,5,4,103,12,1,23,9,19,3,2,61,,2,,2,,
2007,52,15,12,39,8,25,16,4,30,,18,113,11,5,18,9,18,4,1,53,2,,,2,1,
2008,63,16,10,55,7,22,24,4,13,3,11,102,17,6,10,16,12,6,,50,1,1,,1,,1
2009,76,24,11,66,10,23,35,6,30,4,10,97,9,7,20,18,19,4,2,55,1,10,1,2,1,
2010,65,28,21,45,14,24,24,8,16,7,8,93,13,4,17,11,22,5,1,39,1,5,,2,,
2011,90,35,25,61,17,38,24,10,24,6,20,102,12,5,23,16,21,1,2,57,,2,3,2,,
2012,122,101,22,49,17,36,32,10,32,13,22,110,43,22,18,8,23,4,5,81,1,2,,2,,3
2013,110,93,26,72,24,29,27,14,20,8,42,126,43,11,22,12,23,6,1,88,1,5,3,3,,
2014,115,110,34,72,21,51,49,26,29,8,44,114,49,16,32,19,21,9,6,70,1,10,5,3,1,1
2015,177,97,53,55,41,38,54,24,27,15,45,102,51,20,43,15,26,8,5,83,2,9,3,2,1,3
2016,181,138,136,114,36,49,60,34,25,14,73,136,67,13,30,21,13,14,6,123,6,9,7,5,1,2
2017,194,170,150,111,66,85,50,44,25,23,44,130,117,17,60,20,20,10,8,67,5,9,3,4,,3
2018,227,168,97,105,85,55,38,44,25,34,46,113,145,26,66,17,21,12,9,65,3,11,2,6,,1
2019,273,227,200,130,105,76,45,46,30,20,62,143,134,25,57,24,21,18,4,72,6,10,6,11,,
2020,393,267,943,147,132,190,78,48,54,30,68,186,172,32,55,42,40,14,13,72,21,15,9,30,1,
2021,444,358,558,164,154,149,86,60,43,47,114,149,199,50,79,25,29,19,17,55,4,19,7,24,2,
2022,479,507,147,151,150,86,87,94,52,45,178,142,253,73,67,26,26,17,18,92,7,11,14,9,,1
2023,613,624,184,161,150,117,128,103,76,63,197,144,269,81,95,28,33,26,16,77,7,15,12,14,4,1
2024,516,434,250,159,108,109,106,62,63,56,132,77,142,80,66,26,35,29,17,53,6,12,13,11,4,
