,Documents,Share
1980,34,2.623732120037288e-05
1981,25,1.9442739964240914e-05
1982,37,2.8026332633179995e-05
1983,31,2.2632280202230375e-05
1984,46,3.230298514694698e-05
1985,38,2.5665825548032918e-05
1986,32,2.051789737717153e-05
1987,49,2.9805352798053528e-05
1988,36,2.0954622764403685e-05
1989,56,3.0616568484069816e-05
1990,43,2.1610092616836473e-05
1991,77,3.864666409022239e-05
1992,107,5.1496626730310725e-05
1993,119,5.475919528831636e-05
1994,180,7.86121290653935e-05
1995,183,7.533744382111515e-05
1996,172,6.532544414655535e-05
1997,218,7.988929835208167e-05
1998,254,8.735859257740865e-05
1999,240,7.975130883528198e-05
2000,253,6.928570274461756e-05
2001,271,7.411240143871041e-05
2002,327,7.670742638139636e-05
2003,322,7.121231221069998e-05
2004,370,7.529593336839004e-05
2005,446,8.492882735759378e-05
2006,504,8.800628057519788e-05
2007,459,7.333347286397887e-05
2008,453,6.808739355144747e-05
2009,546,7.572824986882785e-05
2010,476,6.175116175859525e-05
2011,602,7.186401895109093e-05
2012,785,9.089374370835822e-05
2013,814,8.952865582402054e-05
2014,932,9.695178188428909e-05
2015,1020,0.00010392458987230419
2016,1324,0.0001307135468893878
2017,1450,0.0001453753737525665
2018,1442,0.000144276192257131
2019,1779,0.00017294680354643023
2020,3096,0.00028144172706315833
2021,2915,0.0002892211398726018
2022,2783,0.0002885438251725094
2023,3318,0.0003290037314853596
2024,2619,0.000277720427466773
