,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,,,,,,,,,,,,,,1,,,,,,,,,,,
1981,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,
1982,3,,1,,,,,,,,,,,,,,,,,,,,,,,
1983,3,,1,,,,,,,,,,,,,,,,,,,,,1,,
1984,1,,1,,,3,,,,,,,,,,,,,,,,,,,,
1985,3,,2,,,1,,,,,,,,,,,,,,,,,,,,
1986,2,,,,,,,,,,,,,,,,,,,,,,,1,,
1987,4,,4,,,,,,,,,,,,1,,,,,,,,,,,
1988,4,1,2,,1,1,,,,1,,,,,,,,1,,,,,,,,
1989,5,1,4,,1,,,,,,,1,,,,,,,,,,,,,,
1990,2,,1,,2,,,,,,,,,,,,,,,,,,,,,
1991,5,,,,1,1,,,,,1,,,,,,,,,,,,,,,
1992,5,,3,,3,,,,,,,,,,,,,1,,,,,,,,
1993,7,,1,,1,,,,,1,,,,,,,,2,,,,,,,,1
1994,1,,3,1,2,1,,,,,,,,,,,,,,,,,,,,
1995,5,2,5,1,4,1,,,,,,1,,,2,,,1,,,,,,,,
1996,6,1,2,1,9,,1,,,,,3,,,,,,2,,,,,,,,
1997,7,3,5,2,2,1,,1,1,,,2,,,,,,4,,,,,,,,
1998,9,3,13,1,7,2,,1,,1,,2,,1,3,,,4,,1,,,,,,
1999,10,2,3,,4,4,,1,,,,5,,1,2,,,7,,,,,,,,
2000,13,2,8,,10,1,1,2,,2,,3,,,5,,,5,,,,,,,,
2001,17,2,5,3,12,3,1,1,1,,,7,,,6,,,6,,,,,,,,
2002,8,3,8,2,8,4,4,,1,,,7,,1,8,,,2,,,,,,,,
2003,17,,25,6,13,2,2,,2,1,1,11,2,,4,,,4,,,,,,,,
2004,22,2,18,29,25,16,9,1,3,2,3,53,,,32,,1,5,,2,,,,,,
2005,26,11,19,29,27,11,4,1,4,1,,72,,,40,,3,2,,6,,,,,1,
2006,28,5,14,28,21,20,6,,,1,3,70,,,28,,2,5,1,1,,,,,,
2007,30,8,15,22,26,8,4,1,1,,2,31,,,12,,,4,,,,,,,,
2008,29,5,8,12,19,7,2,1,1,3,,7,,,5,,1,3,,,,,,,,
2009,32,10,17,7,25,10,1,1,1,2,,7,1,,2,,1,6,,2,,,,,,
2010,17,5,20,6,30,20,,,4,2,,,,,1,,,3,,1,,,,,,
2011,31,10,23,6,23,19,,1,6,,,,,,1,,,7,,,,1,,,,1
2012,36,8,25,8,26,16,,,,2,2,,4,1,7,,2,8,,1,,1,,1,,
2013,46,13,29,6,26,13,,,4,3,,,3,,5,,,5,,,1,,,,,
2014,40,17,30,8,36,14,1,3,2,,4,,3,3,7,,,2,,1,,,,1,,
2015,65,19,32,10,69,20,5,3,2,1,4,,2,,5,,,4,,1,1,,,1,,
2016,71,34,36,9,41,22,3,2,1,4,5,,4,,6,1,1,19,,,,2,,1,,
2017,91,37,27,9,47,21,2,4,1,3,11,,1,,6,,3,10,,1,,1,1,,,
2018,67,30,41,12,66,28,2,5,,4,8,1,,2,6,1,,16,1,2,,3,,,,1
2019,75,31,53,11,63,22,5,7,1,5,10,,4,1,10,,1,11,,2,1,4,1,1,,
2020,118,34,42,10,53,36,3,5,1,4,13,1,6,1,15,,2,11,,3,,2,,1,,1
2021,115,33,50,13,63,32,2,5,2,5,18,3,2,2,4,1,,15,1,2,1,3,,,1,
2022,86,40,48,11,57,25,2,7,1,10,10,1,3,5,12,4,2,16,,,,1,,1,,1
2023,92,48,37,17,62,26,4,2,1,8,8,,5,4,5,4,3,12,1,1,2,4,1,2,,2
2024,99,33,42,10,52,32,8,2,,6,3,,2,2,8,2,2,10,3,2,3,3,,2,,
