,Documents,Share
1980,3,2.3150577529740774e-06
1981,8,6.221676788557092e-06
1982,9,6.817216045908648e-06
1983,12,8.760882658927887e-06
1984,7,4.91567165279628e-06
1985,8,5.403331694322719e-06
1986,10,6.4118429303661036e-06
1987,13,7.907542579075426e-06
1988,19,1.1059384236768612e-05
1989,28,1.5308284242034908e-05
1990,20,1.0051205868296034e-05
1991,23,1.1543808754222273e-05
1992,24,1.1550645247920163e-05
1993,6,2.76096782966301e-06
1994,14,6.114276705086161e-06
1995,17,6.9985603549669815e-06
1996,17,6.4565845958804715e-06
1997,23,8.428687440815955e-06
1998,10,3.4393146684019155e-06
1999,23,7.642833763381189e-06
2000,25,6.846413314685529e-06
2001,17,4.649117433424638e-06
2002,11,2.580372141270214e-06
2003,19,4.201968732929502e-06
2004,17,3.4595428844935964e-06
2005,14,2.6659273161576525e-06
2006,16,2.7938501769904087e-06
2007,22,3.5148941241994228e-06
2008,34,5.110312098784136e-06
2009,16,2.219142853298985e-06
2010,14,1.8162106399586838e-06
2011,16,1.9100071482017523e-06
2012,33,3.8210108820074156e-06
2013,34,3.7395261646396784e-06
2014,68,7.073735158939547e-06
2015,73,7.437740255566868e-06
2016,56,5.528669656952959e-06
2017,56,5.6144971932025684e-06
2018,56,5.602958922607029e-06
2019,58,5.638512988023021e-06
2020,93,8.454160405966964e-06
2021,82,8.13589484375758e-06
2022,39,4.043553424983064e-06
2023,48,4.759547652591098e-06
2024,39,4.1355848305475925e-06
