,Documents,Share
1980,13,1.0031916929554336e-05
1981,21,1.6331901569962366e-05
1982,9,6.817216045908648e-06
1983,26,1.8981912427677087e-05
1984,23,1.615149257347349e-05
1985,22,1.4859162159387478e-05
1986,19,1.2182501567695596e-05
1987,52,3.1630170316301705e-05
1988,48,2.793949701920491e-05
1989,57,3.116329292128535e-05
1990,43,2.1610092616836473e-05
1991,62,3.1118093163555696e-05
1992,54,2.5988951807820364e-05
1993,67,3.0830807431236944e-05
1994,58,2.533057492107124e-05
1995,53,2.1819041106661764e-05
1996,67,2.5446539289646563e-05
1997,72,2.6385456336467338e-05
1998,64,2.201161387777226e-05
1999,84,2.7912958092348692e-05
2000,69,1.8896100748532062e-05
2001,70,1.9143424725866157e-05
2002,61,1.4309336419771186e-05
2003,83,1.8355968675428877e-05
2004,67,1.3634669015357114e-05
2005,74,1.4091330099690447e-05
2006,101,1.7636179242251956e-05
2007,82,1.3100969008379667e-05
2008,110,1.6533362672536912e-05
2009,105,1.4563124974774588e-05
2010,127,1.6475625091053776e-05
2011,113,1.3489425484174875e-05
2012,139,1.6094560987849417e-05
2013,140,1.5398048913222204e-05
2014,167,1.737226134621918e-05
2015,167,1.701510442026941e-05
2016,197,1.9449070043209517e-05
2017,224,2.2457988772810274e-05
2018,215,2.1511360149294842e-05
2019,287,2.7900917716596672e-05
2020,488,4.436161589367612e-05
2021,531,5.268488002482043e-05
2022,480,4.976681138440694e-05
2023,539,5.344575384888754e-05
2024,502,5.323239961371517e-05
