,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,2,,,,,,,,,,,,,,,,,,,,,,,,
1982,,1,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3,,,,,,,,,1,,,,1,,,,,,,,,,,,
1989,3,1,,,,,,,,,,,,,,,,,,,,,,,,
1990,2,1,,,,,,,1,,,,,,,,,,,,,,,,,
1991,,1,,,,,,,,,,,,,,,,,,1,,,,,,
1992,5,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,2,1,,,,,,,,,,,,1,,,,,,,,,,,
1994,3,,1,,,,,,,,,,,,,,1,1,,,,,,,,
1995,4,,2,1,,1,1,,,,,,,,,,,,,,,,,,,
1996,1,,,,,,,,,,,,,,,,,,,,1,,,,,
1997,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,6,,,,,,,,,,,,,1,,,,,,,1,,,,,
1999,2,,2,,,,,,,,,,,,,,,,,,,,,1,,
2000,4,1,1,,,,,,1,,,,,,,,,,,,,,,,,
2001,10,1,2,,2,1,,,,,,,1,,,,,,,,,,,,,
2002,3,2,2,,,1,1,,,,4,,,,2,,,,,,,,,,,1
2003,4,3,4,1,,2,,,,,1,,,,,,1,,,,,,,,,
2004,7,4,3,,,,,,,1,1,1,,,,,,2,,,1,,,1,,
2005,8,1,2,1,,2,,,,,1,,,,,,,,,,,,,1,,
2006,19,,4,,1,2,,,,1,1,,,,,,1,3,,,,,,,,
2007,14,1,8,,,3,,,,1,,,,,,,,2,,,,,1,,,1
2008,15,1,3,,,1,,,,,,,,,,1,1,,,1,,,,,,
2009,10,3,5,,3,2,,1,,,1,,,,,,,,,,,,1,,,
2010,9,,2,,3,1,,1,,2,,,,2,,,,2,,,,,,,,
2011,9,3,4,,2,3,,,,1,,,,,,,1,1,,,,,,,,
2012,28,2,34,4,4,6,2,,,1,1,,5,3,,,1,2,,1,1,1,,,,
2013,31,3,4,1,1,6,,1,1,7,,,,,,,,3,,,3,,,,,
2014,53,1,7,2,1,4,,1,,2,1,1,,,,,1,2,,,2,,4,1,,1
2015,82,1,8,1,3,11,,,1,6,,,1,1,2,,3,1,,,,,,,,
2016,80,2,7,1,,7,1,1,,5,1,,2,,,1,,4,,2,1,,,1,,
2017,108,4,6,2,6,4,,,,1,1,,2,2,,,,3,,,,,1,,,
2018,90,3,24,3,6,8,,4,1,3,,,1,,,1,,4,,1,5,1,2,,,
2019,170,8,22,6,10,9,,5,,6,,,1,3,1,1,2,2,,1,2,,1,,,
2020,185,7,18,5,10,8,1,7,,13,,1,1,1,1,3,1,6,,1,1,,,,,
2021,238,13,23,15,6,8,1,5,,13,1,,2,2,,3,1,10,2,3,1,,3,,,
2022,187,17,28,11,3,16,1,7,,2,1,,3,1,1,2,2,7,1,2,2,1,,1,,
2023,297,11,15,7,5,11,2,14,1,15,3,,5,,3,2,4,12,,1,6,,,,,1
2024,222,15,33,10,8,12,4,10,,19,,1,3,1,,3,1,9,,2,3,,,2,1,1
