,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
1990,,,,,,,,,,,,,,,,,,1,,,,,,,,
1991,,,,,,,,,,,,,,,,,,1,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,,,,,,,,,,,,,,,,,1,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1996,1,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,,,,1,,,,,1,,,,,,,,,,,,,,,,
2005,1,,,1,,,,,,,,,,,,,,,,,,,,,,
2006,5,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,,,,1,,,,,,,,,,,,,,,,,,,,,
2008,1,,,,,,,,,,,,,,,,,,,,,,,,,
2009,3,,,,,,,,,,,,,,,,,1,,,,,,,,
2010,2,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3,,,,,,,,,,,,,,,,,,,,1,,,,,
2012,4,,,1,,,,,,,,,,,,,,,,,,,,,,
2013,1,,1,,,,,1,,,,,,,,,,,,,,,,,,
2014,4,1,2,,,2,,,,,,,,,,,,,,,,,,,,
2015,4,1,,,2,,,1,,,,,,,,,,,,,,,,,,
2016,9,1,,,1,1,,1,,,,,,,2,,,,,,,,,,,
2017,7,,2,,,,,1,,,,,,,,,,,,,,,,,,
2018,9,,,,1,,,,,,,,,,,,,,,,,,,,,
2019,8,,1,,4,1,,,,,,,,,,,,,,,,,,,,
2020,11,,,,2,1,,,,,,,,,,,,,,,,,,,,
2021,14,1,,,3,,,,,,1,,1,,,,,,,1,,,,,,
2022,15,2,,,1,1,,1,,,,,,,1,,,,,1,,,,,,
2023,7,1,1,,3,,1,,,1,1,,,,,,,3,,,,,,,,
2024,6,,1,,1,,,,,1,1,,,,1,,,1,,,,,,,,
